"Activity","Average hours per day spent in primary activities(1)","","","","","Percent doing the activity on an average day","","","",""
"","Married mothers","","","Married fathers(2)","","Married mothers","","","Married fathers(2)",""
"","Employed full time","Employed part time","Not employed","Employed full time","Not employed","Employed full time","Employed part time","Not employed","Employed full time","Not employed"
"Total, all activities","24.00","24.00","24.00","24.00","24.00","100.0","100.0","100.0","100.0","100.0"
"Working and work-related activities(3)","05.30","02.82","00.10","06.26","00.43","70.7","56.7","04.0","75.1","12.8"
"Working(3)","05.27","02.78","00.04","06.23","00.13","70.4","56.0","01.1","74.7","02.3"
"Personal care activities","09.04","09.24","09.72","08.71","09.64","100.0","100.0","100.0","100.0","99.9"
"Sleeping","08.21","08.48","09.02","08.11","09.11","99.9","100.0","99.9","99.9","99.4"
"Household activities","01.86","02.67","03.60","01.18","02.22","87.6","92.9","95.9","65.3","77.2"
"Housework","00.74","01.15","01.55","00.23","00.67","48.2","63.9","72.1","17.4","39.2"
"Food preparation and cleanup","00.81","01.07","01.62","00.35","00.67","76.2","81.4","89.6","44.5","56.5"
"Lawn and garden care","00.07","00.12","00.12","00.21","00.31","04.9","07.4","08.4","09.8","13.8"
"Purchasing goods and services","00.51","00.63","00.64","00.32","00.53","48.9","55.5","50.4","36.7","42.6"
"Grocery shopping","00.13","00.19","00.21","00.07","00.16","17.3","24.0","23.3","08.9","16.8"
"Consumer goods purchases, except grocery shopping","00.31","00.34","00.31","00.21","00.25","36.4","38.5","31.6","28.8","27.8"
"Caring for and helping household members","01.32","01.75","02.52","00.87","01.53","74.4","82.1","84.2","57.5","66.6"
"Caring for and helping household children","01.30","01.72","02.49","00.85","01.45","72.8","81.3","83.4","55.5","64.1"
"Physical care","00.54","00.64","00.95","00.26","00.37","53.7","60.0","69.4","34.2","38.7"
"Education-related activities","00.11","00.20","00.29","00.08","00.15","12.3","18.8","22.7","08.0","13.3"
"Reading to/with children","00.04","00.07","00.08","00.03","00.04","10.3","14.1","14.5","06.9","06.5"
"Playing/doing hobbies with children","00.27","00.33","00.60","00.29","00.36","16.2","19.3","29.4","17.5","17.6"
"Leisure and sports","02.97","03.32","04.01","03.54","06.35","91.6","95.7","95.1","93.6","96.6"
"Socializing and communicating","00.63","00.69","00.80","00.61","00.89","37.0","42.2","41.5","34.5","39.9"
"Watching television","01.51","01.59","02.12","01.97","03.80","70.7","73.3","76.7","75.5","85.1"
"Participating in sports, exercise, and recreation","00.19","00.24","00.23","00.28","00.37","15.8","19.9","17.5","17.5","20.6"
"Travel","01.33","01.45","01.13","01.41","01.13","93.8","94.6","80.3","93.9","77.1"
"Travel related to caring for and helping household children","00.23","00.31","00.31","00.13","00.24","40.6","49.7","42.4","25.0","34.4"
"Other activities, not elsewhere classified","01.66","02.12","02.27","01.71","02.17","98.3","98.7","98.1","97.2","97.1"
