"Activity","Average hours per day","","","","","","Differences in married mothers' and fathers' time use on an average day (hours) 2","","","","",""
"","Both spouses work full time","","Mother employed part time and father employed full time","","Mother not employed and father employed full time","","Both spouses work full time","Mother employed part time and father employed full time","Mother not employed and father employed full time","","",""
"","Fathers","Mothers","Mothers","Fathers","Mothers","Fathers","","","","","",""
"Own household children under 18","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Total, all activities ","24.00","24.00","24.00","24.00","24.00","24.00","0.00","0.00","0.00","","",""
"  Personal care activities","8.59","8.96","9.15","8.52","9.43","8.74","0.37","0.63","0.69","","",""
"      Sleeping","7.98","8.12","8.41","7.96","8.80","8.15","0.15","0.45","0.65","","",""
"  Household activities","1.34","1.95","2.62","1.21","3.51","1.07","0.62","1.40","2.44","","",""
"      Housework","0.26","0.82","1.13","0.21","1.57","0.20","0.56","0.92","1.37","","",""
"      Food preparation and cleanup","0.37","0.79","1.00","0.30","1.45","0.28","0.43","0.70","1.18","","",""
"      Lawn and garden care","0.23","0.07","0.11","0.24","0.14","0.18","-0.16","-0.13","-0.05","","",""
"  Purchasing goods and services","0.34","0.55","0.63","0.34","0.72","0.37","0.21","0.30","0.35","","",""
"      Grocery shopping","0.06","0.13","0.15","0.06","0.19","0.08","0.06","0.09","0.11","","",""
"      Consumer goods purchases, except grocery shopping","0.22","0.34","0.38","0.22","0.42","0.23","0.12","0.15","0.18","","",""
"  Caring for and helping household members","0.88","1.29","1.92","0.93","2.62","0.84","0.41","0.99","1.77","","",""
"      Caring for and helping household children","0.86","1.28","1.89","0.91","2.60","0.82","0.42","0.98","1.78","","",""
"           Physical care","0.28","0.57","0.76","0.33","1.03","0.25","0.29","0.43","0.78","","",""
"           Education-related activities","0.09","0.11","0.17","0.05","0.26","0.04","0.02","0.12","0.22","","",""
"           Reading to/with children","0.03","0.05","0.07","0.03","0.09","0.03","0.02","0.03","0.05","","",""
"           Playing/doing hobbies with children","0.24","0.22","0.38","0.30","0.63","0.33","-0.02","0.08","0.30","","",""
"  Working and work-related activities 3","6.07","5.27","2.78","6.07","0.08","6.20","-0.80","-3.29","-6.12","","",""
"      Working 3","6.03","5.24","2.72","6.02","0.02","6.15","-0.79","-3.30","-6.13","","",""
"  Leisure and sports","3.68","2.91","3.45","3.62","4.09","3.55","-0.78","-0.17","0.54","","",""
"      Socializing and communicating","0.54","0.60","0.78","0.58","0.87","0.55","0.06","0.20","0.32","","",""
"      Watching television","2.15","1.53","1.65","1.89","2.13","2.06","-0.62","-0.24","0.08","","",""
"      Participating in sports, exercise, and recreation","0.32","0.18","0.24","0.35","0.24","0.27","-0.14","-0.11","-0.03","","",""
"  Travel  ","1.41","1.35","1.37","1.48","1.15","1.40","-0.06","-0.11","-0.25","","",""
"Travel related to caring for and helping household children","0.16","0.23","0.28","0.12","0.30","0.09","0.08","0.16","0.22","","",""
"  Other activities, not elsewhere classified","1.70","1.73","2.08","1.83","2.40","1.82","0.03","0.25","0.58","","",""
"","","","","","","","","","","","",""
"Own household children, youngest under 6","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Total, all activities ","24.00","24.00","24.00","24.00","24.00","24.00","0.00","0.00","0.00","","",""
"  Personal care activities","8.63","9.00","9.16","8.43","9.45","8.72","0.38","0.73","0.73","","",""
"      Sleeping","8.07","8.22","8.46","7.92","8.89","8.15","0.15","0.54","0.74","","",""
