"U.S. agricultural exports, year-to-date and current months 1/ ","","","","","",""
"","Jul.","Aug.","Change","Oct.−Aug.","","Change"
"       Item","2023","2023","Jul.−Aug.","2022","2023","2022−23"
"","Million dollars","","Percent","Million dollars","","Percent"
"","","","","","",""
"Values","","","","","",""
" Live animals","89     ","89     ","1     ","1,054     ","1,051     ","0     "
" Red meats and products","1,548     ","1,648     ","6     ","19,002     ","17,805     ","-6     "
" Poultry meats and products","511     ","537     ","5     ","6,058     ","5,866     ","-3     "
" Dairy products","647     ","635     ","-2     ","8,307     ","7,900     ","-5     "
" Hides and skins","80     ","77     ","-4     ","1,054     ","931     ","-12     "
" Grains and feeds","2,887     ","2,771     ","-4     ","44,738     ","35,759     ","-20     "
"   Wheat","545     ","461     ","-15     ","7,043     ","5,879     ","-17     "
"   Rice","158     ","127     ","-20     ","1,739     ","1,652     ","-5     "
"   Corn","696     ","700     ","1     ","18,632     ","12,374     ","-34     "
"   Other grain products","475     ","522     ","10     ","5,049     ","5,413     ","7     "
" Animal feeds and oil meal","1,424     ","1,408     ","-1     ","15,408     ","16,031     ","4     "
" Soybeans","762     ","1,006     ","32     ","31,910     ","31,307     ","-2     "
" Other oilseeds","134     ","147     ","10     ","1,794     ","1,678     ","-6     "
" Vegetable oils","215     ","229     ","7     ","4,292     ","2,819     ","-34     "
" Fruits and products","665     ","564     ","-15     ","5,458     ","5,162     ","-5     "
"   Fruits, fresh","524     ","426     ","-19     ","3,822     ","3,701     ","-3     "
"   Fruits, prepared or preserved","141     ","138     ","-2     ","1,636     ","1,461     ","-11     "
"   Fruit juices","71     ","76     ","6     ","859     ","820     ","-4     "
" Vegetables and products","640     ","656     ","2     ","6,871     ","7,348     ","7     "
"   Vegetables, fresh","233     ","196     ","-16     ","2,605     ","2,599     ","0     "
"   Vegetables, prepared or preserved","408     ","459     ","13     ","4,267     ","4,749     ","11     "
" Tree nuts and preparations","622     ","604     ","-3     ","9,707     ","8,011     ","-17     "
" Wine","83     ","102     ","22     ","1,347     ","1,082     ","-20     "
" Distilled spirits","172     ","196     ","14     ","1,678     ","2,296     ","37     "
" Ethanol (non-beverage)","313     ","278     ","-11     ","3,739     ","3,217     ","-14     "
" Cotton and linters","426     ","463     ","9     ","8,251     ","5,839     ","-29     "
" Tobacco","131     ","114     ","-13     ","727     ","1,349     ","85     "
"   Tobacco, unmanufactured","110     ","92     ","-17     ","542     ","1,140     ","110     "
"   Tobacco, manufactured","20     ","22     ","10     ","185     ","208     ","13     "
" Sugar and tropical products","474     ","511     ","8     ","4,825     ","5,107     ","6     "
"","","","","","",""
"Agricultural export value","12,171     ","12,484     ","3     ","182,527     ","166,020     ","-9     "
"  Major bulk products","2,825     ","2,944     ","4     ","70,601     ","59,088     ","-16     "
"  High-value products","9,326     ","9,518     ","2     ","111,926     ","106,932     ","-4     "
""," "," "," ","","",""
"Volumes","Thousand metric tons","","Percent","Thousand metric tons","","Percent"
"","","","","","",""
" Red meats and products","405     ","418     ","3     ","4,756     ","4,815     ","1     "
" Poultry meats","283     ","309     ","9     ","3,242     ","3,291     ","2     "
" Nonfat dry milk","69     ","71     ","3     ","791     ","793     ","0     "
" Wheat","1,740     ","1,454     ","-16     ","17,674     ","15,928     ","-10     "
" Rice","155     ","134     ","-14     ","2,679     ","2,079     ","-22     "
" Coarse grains","2,829     ","2,930     ","4     ","67,637     ","42,267     ","-38     "
"    Corn","2,398     ","2,547     ","6     ","60,298     ","39,559     ","-34     "
"    Sorghum","422     ","363     ","-14     ","7,251     ","2,633     ","-64     "
" Soybeans","1,276     ","1,703     ","33     ","56,472     ","52,130     ","-8     "
" Oil meal","1,090     ","1,079     ","-1     ","11,565     ","12,417     ","7     "
" Vegetable oils 2/","106     ","108     ","2     ","2,349     ","1,362     ","-42     "
" Fruits, fresh ","226     ","211     ","-7     ","2,012     ","1,910     ","-5     "
" Fruits, prepared or preserved","52     ","50     ","-4     ","532     ","489     ","-8     "
" Fruit juices 2/","39     ","39     ","-1     ","479     ","433     ","-10     "
" Vegetables, fresh","211     ","170     ","-19     ","2,198     ","2,077     ","-5     "
" Vegetables, prepared or preserved","185     ","223     ","20     ","2,229     ","2,304     ","3     "
" Nuts and preparations","140     ","148     ","5     ","1,987     ","1,822     ","-8     "
" Cotton and linters","214     ","227     ","6     ","3,190     ","2,643     ","-17     "
" Ethanol (non-beverage) 2/","429     ","387     ","-10     ","5,088     ","4,383     ","-14     "
"Major bulk","6,226     ","6,458     ","4     ","147,722     ","115,176     ","-22     "
"All data are preliminary.","","","","","",""
"1/ The value ""0"" indicates that a value was rounded to 0. ","","","","","",""
"2/ Thousand kiloliters. ","","","","","",""
"Source: USDA, Economic Research Service summary of data released by U.S. Department of Commerce, Bureau of the Census through October 5, 2023.","","","","","",""
"","","","","","",""
