"","Fiscal year-to-date","","September","Fiscal years 2/","","",""
"","2023","2024","2024","2020","2021","2022","2023"
"","Billion dollars","","","","","",""
"Agricultural exports","178.184 ","174.428 ","13.130","139.724","171.833","196.055","178.184 "
"Agricultural imports","195.334 ","206.207 ","17.388","143.403","163.322","194.138","195.334 "
"","","","","","","",""
"Trade balance 3/","-17.150","-31.779","-4.258","-3.679","8.511","1.917","-17.150"
"","","","","","","",""
"","Calendar year-to-date","","September","Calendar years","","",""
"","2023","2024","2024","2020","2021","2022","2023"
"","Billion dollars","","","","","",""
"Agricultural exports","126.159 ","126.415 ","13.130","149.672","176.631","195.680 ","174.172 "
"Agricultural imports","146.340 ","157.706 ","17.388","146.282","170.595","198.243 ","194.842 "
"","","","","","","",""
"Trade balance 3/","-20.181","-31.291","-4.258","3.390","6.037","-2.564","-20.669"
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
