"Crop","% Yield 50th centile",""
"","Removal of negative changes in crop yield","Inclusion of negative changes in crop yield "
"All crops","17","18.6"
"Barley ","13.7","14.5"
"Canola","46.3","NA"
"Corn","32","26.5"
"Oat","NA*","NA"
"Soybean","12","13.5"
"Wheat ","30.2","23.6"
"","",""
"Determined from R output of reviewed pesticide yield studies ","",""
"NA* = Not applicable as a cumulative frequency distribution could not be constructed due to a lack of data","",""
"NA = Not applicable as the studies for the given crop did not report negative changes in yield due to a pesticide treatment","",""
"","",""
