"Outside Layout=>","Bed length (ft)","50","Bed width(ft)","2.5","","","<=includes paths","","Total Beds","19.8","Total Outside Area","","","2,476","sq.ft","0.06","acres","","","","","",""
"Tunnel Layout=>","Bed length (ft)","40","Bed width(ft)","2.5","","","<=includes paths","","Total Beds","18.0","Total Polytunnel Area","","","1,796","sq. ft","0.04","acres","","","","","",""
"","CALCULATING STARTING AND HARVESTING DATES","","","","","","","","","","CALCULATING SEEDS NEEDED","","","","","","CALCULATING SPACE NEEDED","","","","","",""
"Crop Name","Harvest Start Date","Days to germination","Days to Transplant","Days to Maturity","DS or Mod","Plant Outside(O) or Tunnel(PT)","Seed Starting Date","Length of Harvest from this Planting (weeks)","Harvest Finishes for this planting","Total Weeks of Harvest Expected","Yield Needed Per Week","Yield per Plant","Units","Safety Factor","Seeds per Planting Interval","Total Seeds Needed","Rows per Bed","Seed Spacing in Row (inches)","Seeds per bed","Beds needed this planting","Beds needed this crop","Space needed this crop (sq ft)","Beds available to be replanted?"
"Aubergine","Jul 28","5","35","55","M","PT","Apr 24","8","Sep 22","8","28","2","each","25%","140","140","2","18","67","2.1","2.10","262","0.0"
"Beans, Broad","Jul 28","5","0","45","","O","Jun 08","3","Aug 18","3","","0.25","grams","25%","0","0","3","3","600","0","0.00","0","0.5"
"Beans, French","Jul 28","5","0","45","","PT","Jun 08","3","Aug 18","3","","0.25","grams","25%","0","0","3","3","600","0","0.00","0","0.5"
"Beans, Runner","Jul 28","5","0","45","","PT","Jun 08","3","Aug 18","3","","0.25","grams","25%","0","0","3","3","600","0.0","0.00","0","0.0"
"Beetroot","Jul 28","7","0","55","","O","May 27","2","Aug 11","2","100","1","each","25%","250","250","4","1.5","1600","0.2","0.16","20","0.0"
"Broccoli","Jul 28","5","35","45","M","O","May 04","2","Aug 11","2","20","1","each","25%","50","50","2","12","100","0.5","0.50","62","0.0"
"Brussel sprouts","Jul 28","5","35","60","M","O","Apr 19","3","Aug 18","3","","2","grams","25%","0","0","1","18","33","0.0","0.00","0","0.0"
"Cabbage","Jul 28","5","35","45","M","O","May 04","2","Aug 11","2","20","1","each","25%","50","50","2","12","100","0.5","0.50","62","0.0"
"Carrot","Jul 28","7","0","60","","O","May 22","2","Aug 11","2","","1","grams","25%","0","0","4","1.5","1600","0.0","0.00","0","0.0"
"Cauliflower","Jul 28","5","35","45","M","O","May 04","2","Aug 11","2","28","1","each","25%","70","70","2","12","100","0.7","0.70","88","0.0"
"Chillies","Jul 28","5","0","55","M","PT","May 29","9","Sep 29","9","28","0.5","each","25%","630","630","2","6","200","3.15","3.15","394","3.0"
"Courgette","Jul 28","5","0","55","M","PT","May 29","10","Oct 06","10","28","0.5","each","25%","700","700","2","6","200","3.5","3.50","438","4.0"
"Cucumber","Jul 28","5","21","45","M","PT","May 18","4","Aug 25","4","28","3","each","25%","47","47","1","18","33","1.4","1.40","175","0.0"
"Kale","Jul 28","5","0","60","M","O","May 24","8","Sep 22","8","20","1","grams","25%","200","200","4","6","400","0.5","0.50","62","0.0"
"Kohlrabi","Jul 28","5","0","50","M","O","Jun 03","2","Aug 11","2","28","1","each","25%","70","70","2","8","150","0.5","0.47","58","0.0"
"Leeks","Jul 28","7","56","45","M","O","Apr 11","2","Aug 11","2","56","1","each","25%","140","140","4","8","300","0.5","0.47","58","0.0"
"Lettuce","Jul 28","5","28","35","","O","May 21","2","Aug 11","2","56","1","grams","25%","140","140","4","6","400","0.3","0.35","44","0.0"
"Mange Tout","Jul 28","5","21","70","M","O","Apr 23","3","Aug 18","3","20","2","grams","25%","38","37.5","1","36","17","2.2","2.25","281","0.0"
"Onion","Jul 28","7","56","60","M","O","Mar 27","2","Aug 11","2","56","1","each","25%","140","140","4","4","600","0.2","0.23","29","0.0"
"Pak Choi","Jul 28","7","56","60","M","O","Mar 27","3","Aug 18","3","28","1","each","25%","105","105","4","4","600","0.2","0.17","22","1.0"
