"Regions and States","  Cropland used for crops","  Idle cropland","       Cropland pasture","Total","","","","","","","","","","","","","","","","","","","","","",""
"Northeast","  10,759 ","  1,294 ","  382 ","  12,435 ","","","","","","","","","","","","","","","","","","","","","",""
"  Maine ","  335 ","  71 ","  9 ","  415 ","","","","","","","","","","","","","","","","","","","","","",""
"  New Hampshire","  67 ","  31 ","  3 ","  101 ","","","","","","","","","","","","","","","","","","","","","",""
"  Vermont","  380 ","  35 ","  20 ","  435 ","","","","","","","","","","","","","","","","","","","","","",""
"  Massachusetts","  137 ","  20 ","  6 ","  164 ","","","","","","","","","","","","","","","","","","","","","",""
"  Rhode Island","  15 ","  4 ","  1 ","  19 ","","","","","","","","","","","","","","","","","","","","","",""
"  Connecticut","  94 ","  11 ","  6 ","  111 ","","","","","","","","","","","","","","","","","","","","","",""
"  New York","  3,541 ","  448 ","  137 ","  4,125 ","","","","","","","","","","","","","","","","","","","","","",""
"  New Jersey","  404 ","  32 ","  17 ","  453 ","","","","","","","","","","","","","","","","","","","","","",""
"  Pennsylvania","  4,091 ","  503 ","  160 ","  4,755 ","","","","","","","","","","","","","","","","","","","","","",""
"  Delaware","  410 ","  13 ","  4 ","  427 ","","","","","","","","","","","","","","","","","","","","","",""
"  Maryland","  1,285 ","  125 ","  20 ","  1,429 ","","","","","","","","","","","","","","","","","","","","","",""
"  District of Columbia","0 ","0 ","0 ","0 ","","","","","","","","","","","","","","","","","","","","","",""
"Lake States","  35,707 ","  2,789 ","  417 ","  38,913 ","","","","","","","","","","","","","","","","","","","","","",""
"  Michigan","  6,809 ","  524 ","  90 ","  7,422 ","","","","","","","","","","","","","","","","","","","","","",""
"  Wisconsin","  8,850 ","  629 ","  167 ","  9,646 ","","","","","","","","","","","","","","","","","","","","","",""
"  Minnesota  ","  20,048 ","  1,636 ","  161 ","  21,845 ","","","","","","","","","","","","","","","","","","","","","",""
"Corn Belt","  82,217 ","  5,910 ","  1,142 ","  89,269 ","","","","","","","","","","","","","","","","","","","","","",""
"  Ohio","  10,076 ","  612 ","  131 ","  10,819 ","","","","","","","","","","","","","","","","","","","","","",""
"  Indiana","  12,106 ","  487 ","  91 ","  12,684 ","","","","","","","","","","","","","","","","","","","","","",""
"  Illinois","  22,480 ","  1,253 ","  99 ","  23,832 ","","","","","","","","","","","","","","","","","","","","","",""
"  Iowa","  24,435 ","  2,031 ","  262 ","  26,728 ","","","","","","","","","","","","","","","","","","","","","",""
"  Missouri","  13,120 ","  1,528 ","  559 ","  15,207 ","","","","","","","","","","","","","","","","","","","","","",""
"Northern Plains","  89,478 ","  7,278 ","  1,832 ","  98,588 ","","","","","","","","","","","","","","","","","","","","","",""
"  North Dakota","  24,929 ","  1,997 ","  534 ","  27,461 ","","","","","","","","","","","","","","","","","","","","","",""
"  South Dakota","  17,867 ","  1,255 ","  496 ","  19,618 ","","","","","","","","","","","","","","","","","","","","","",""
"  Nebraska","  20,660 ","  1,257 ","  323 ","  22,239 ","","","","","","","","","","","","","","","","","","","","","",""
"  Kansas","  26,023 ","  2,768 ","  479 ","  29,270 ","","","","","","","","","","","","","","","","","","","","","",""
"Appalachian","  16,946 ","  2,145 ","  876 ","  19,967 ","","","","","","","","","","","","","","","","","","","","","",""
"  Virginia","  2,406 ","  283 ","  148 ","  2,837 ","","","","","","","","","","","","","","","","","","","","","",""
"  West Virginia","  660 ","  94 ","  74 ","  829 ","","","","","","","","","","","","","","","","","","","","","",""
"  North Carolina","  4,120 ","  460 ","  93 ","  4,673 ","","","","","","","","","","","","","","","","","","","","","",""
"  Kentucky","  5,421 ","  792 ","  360 ","  6,573 ","","","","","","","","","","","","","","","","","","","","","",""
"  Tennessee","  4,338 ","  516 ","  201 ","  5,055 ","","","","","","","","","","","","","","","","","","","","","",""
"Southeast","  9,588 ","  1,919 ","  635 ","  12,143 ","","","","","","","","","","","","","","","","","","","","","",""
"  South Carolina","  1,540 ","  365 ","  61 ","  1,966 ","","","","","","","","","","","","","","","","","","","","","",""
"  Georgia","  3,770 ","  584 ","  147 ","  4,501 ","","","","","","","","","","","","","","","","","","","","","",""
