"Product, country code and name 1/","","","2013","2014","2015","2016","2017","2018","Jan-Oct 18","Jan-Oct 19"
"Total","5330","India","200,584","239,900","296,783","339,188","472,002","546,215","448,304","508,163"
"","5600","Indonesia","178,894","227,754","252,244","258,158","260,272","291,709","240,859","237,222"
"","3310","Ecuador","164,341","203,719","188,933","161,404","158,314","167,481","143,921","154,619"
"","5490","Thailand","185,293","143,834","161,829","181,215","165,259","111,870","86,506","76,726"
"","5520","Vietnam","131,891","162,489","133,275","140,226","123,618","129,333","104,600","109,393"
"","5700","China (Mainland)","71,570","71,775","63,008","76,742","101,189","111,853","87,985","37,590"
"","2010","Mexico","40,674","44,878","61,698","55,802","62,762","54,816","33,788","45,123"
"","","Other countries","140,707","161,154","131,304","117,023","122,194","122,313","100,209","88,394"
"","","Total
 ","1,113,954","1,255,504","1,289,074","1,329,759","1,465,611","1,535,589","1,246,172","1,257,230"
"Frozen","5330","India","187,586","221,857","279,449","318,486","434,827","501,169","412,516","466,584"
"","5600","Indonesia","151,399","191,791","202,751","211,722","207,716","225,598","186,720","175,644"
"","3310","Ecuador","160,468","198,735","182,917","157,872","154,958","161,251","139,148","149,045"
"","5490","Thailand","99,049","67,730","72,428","100,112","86,031","47,994","36,192","32,530"
"","5520","Vietnam","81,215","104,535","75,452","74,258","56,568","51,193","41,705","46,674"
"","2010","Mexico","39,933","44,676","61,180","55,103","60,755","54,558","33,542","44,894"
"","3330","Peru","19,877","25,920","22,644","20,759","21,690","23,218","20,201","14,675"
"","","Other countries","125,614","134,722","100,113","101,323","117,284","117,028","96,621","64,551"
"","","Total
 ","865,142","989,966","996,935","1,039,634","1,139,829","1,182,010","966,645","994,596"
"Fresh","5700","China (Mainland)","1,340","1,379","1,244","1,195","973","1,220","790","480"
"","3310","Ecuador","481","650","1,078","634","598","436","366","461"
"","1220","Canada","2","13","3,165","180","53","1","1","10"
"","5490","Thailand","130","249","498","280","164","242","210","224"
"","5330","India","165","262","207","208","459","258","206","261"
"","5830","China (Taiwan)","141","160","187","171","71","127","105","23"
"","5800","South Korea","197","123","146","174","107","108","91","117"
"","","Other countries","671","723","656","888","373","491","326","345"
"","","Total
 ","3,128","3,560","7,182","3,730","2,799","2,882","2,095","1,921"
"Prepared 2/","5490","Thailand","86,114","75,855","88,903","80,823","79,064","63,634","50,104","43,971"
"","5700","China (Mainland)","53,627","56,920","52,081","59,823","73,287","83,791","63,764","36,439"
"","5520","Vietnam","50,674","57,857","57,790","65,847","66,994","78,015","62,800","62,658"
"","5600","Indonesia","27,494","35,959","49,318","46,271","52,557","66,110","54,138","61,567"
"","5330","India","12,834","17,781","17,127","20,494","36,716","44,788","35,581","41,318"
"","3310","Ecuador","3,392","4,334","4,938","2,898","2,758","5,794","4,408","5,114"
"","1220","Canada","3,549","3,716","2,921","3,345","2,943","2,419","1,975","2,251"
"","","Other countries","8,000","9,555","11,880","6,894","8,663","6,145","4,662","7,395"
"","","Total
 ","245,684","261,978","284,957","286,395","322,983","350,697","277,432","260,713"
