"","Timely indicators of entrepreneurship by enterprise characteristics, Italy","","","","","","","",""
"","Frequency of observation: Quarterly","","","","","","","",""
"","Adjustment: Neither seasonally adjusted nor calendar adjusted","","","","","","","",""
"","Combined unit of measure: Enterprises, Units","","","","","","","",""
"","","","","","","","","",""
"","Time period","","2023-Q1","2023-Q2","2023-Q3","2023-Q4","2024-Q1","2024-Q2",""
"","Legal form","","","","","","","",""
"","Measure: Business bankruptcies","","","","","","","",""
"","Reference area: Italy","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","480","490","381","","","",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Italy","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","4,517","3,218","2,268","2,596","4,567","3,045",""
"","·  Unspecified","","18","19","10","11","7","10",""
"","·  Limited liability","","933","641","495","732","982","670",""
"","·  Partnership","","158","93","66","75","168","82",""
"","·  Sole proprietorship","","3,408","2,465","1,697","1,778","3,410","2,283",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Italy","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","14,735","11,227","7,803","9,416","14,158","10,541",""
"","·  Unspecified","","18","13","16","10","16","14",""
"","·  Limited liability","","2,057","1,391","956","1,463","2,081","1,463",""
"","·  Partnership","","443","262","165","238","383","214",""
"","·  Sole proprietorship","","12,217","9,561","6,666","7,705","11,678","8,850",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Piedmont","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","410","263","208","178","422","244",""
"","·  Unspecified","","1","3","0","0","0","0",""
"","·  Limited liability","","50","41","29","36","71","45",""
"","·  Partnership","","24","6","11","8","22","5",""
"","·  Sole proprietorship","","335","213","168","134","329","194",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Piedmont","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","1,271","870","645","706","1,194","800",""
"","·  Unspecified","","2","2","2","1","0","1",""
"","·  Limited liability","","99","71","40","80","82","61",""
"","·  Partnership","","56","29","15","30","39","19",""
"","·  Sole proprietorship","","1,114","768","588","595","1,073","719",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Aosta Valley","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","6","10","9","5","13","6",""
"","·  Unspecified","","0","0","0","0","0","0",""
"","·  Limited liability","","2","3","1","3","2","1",""
"","·  Partnership","","0","1","0","0","0","0",""
"","·  Sole proprietorship","","4","6","8","2","11","5",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Aosta Valley","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","33","14","8","16","19","12",""
"","·  Unspecified","","0","0","0","0","0","0",""
"","·  Limited liability","","3","1","1","3","1","1",""
"","·  Partnership","","0","0","0","1","1","0",""
"","·  Sole proprietorship","","30","13","7","12","17","11",""
"","Measure: Business entries","","","","","","","",""
