"","Landings into","","","","","","","","","","Total landings","","","","Uptake of quota","","","","","",""," ","","","","",""
"Stock","England, Wales & N.I.","","","Abroad","","","Scotland","","","","by UK vessels","","","U.K","in past week","","so far in:","","","","","U.K","","","","",""
"","","","%","","","%","","","%","","","","%","Quota","","","2022","2023","","","","Quota","","","","",""
"","2022","2023","change","2022","2023","change","2022","2023","change","","2022","2023","change","2023","Tonnes","%","%","%","","","","2022","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NS Herring","0","641","-","23821","38199","60.4","38598","36894","-4.4","","62419","75171","20.4","73581","0","0.0","88.3","102.2","","","","70710","","","","",""
"WC Herring","0","0","-","5","170","-","2","262","-","","7","432","-","791","0","0.0","0.2","54.7","","","","4058","","","","",""
"WC Mackerel","0","5662","-","74260","113388","52.7","81547","98474","20.8","","155807","228985","47.0","227505","0","0.0","79.5","100.7","","","","195937","","","","",""
"    of which IVa","0","3936","-","72520","85213","17.5","72392","70475","-2.6","","144912","165875","14.5","228904","0","0.0","106.0","72.5","","","","136684","","","","",""
"NS Mackerel","0","52","-","48","361","658.9","1025","1287","25.6","","1072","1932","80.2","2320","0","0.0","12.5","83.3","","","","8549","","","","",""
"     of which IIIa IVbc","0","21","-","47","182","284.3","98","0","-","","145","203","39.9","1992","0","0.0","29.9","10.2","","","","484","","","","",""
"Firth of Clyde Herring","0","0","-","0","0","-","0","0","-","","0","0","-","583","0","0.0","0.0","0.0","","","","641","","","","",""
"NS Horse Mackerel","0","601","-","36","2741","-","2","0","-","","38","3341","-","4051","0","0.0","0.7","82.5","","","","5715","","","","",""
"WC Horse Mackerel","0","31","-","165","114","-31.0","392","8","-97.9","","557","153","-72.5","1550","0","0.0","6.9","9.9","","","","8077","","","","",""
"NS Blue Whiting EU","0","0","-","3","0","-","0","0","-","","3","0","-","0","0","-","#DIV/0!","-","","","","","","","","",""
"NS Sandeels","0","0","-","0","0","-","0","0","-","","0","0","-","0","0","-","0.0","-","","","","1741","","","","",""
"Sandeels (IV - Norwegian Waters)*+","0","0","-","0","0","-","0","0","-","","0","0","-","0","0","-","0.0","-","","","","0","","","","",""
"Norway Pout (IV - Norwegian Waters)*+","0","0","-","0","0","-","0","0","-","","0","0","-","0","0","-","-","-","","","","0","","","","",""
"Atlanto Scandian Herring","0","0","-","9620","7087","-26.3","0","0","-","","9620","7087","-26.3","9703","0","0.0","236.9","73.0","","","","4061","","","","",""
"Blue Whiting I-VIII, XII, XIV","0","0","-","28751","73255","154.8","17261","26877","55.7","","46012","100132","117.6","101568","0","0.0","109.9","98.6","","","","41868","","","","",""
"   of which Bay of Biscay BW","0","0","-","0","0","-","17261","26877","55.7","","17261","26877","55.7","0","0","-","#DIV/0!","-","","","","","","","","",""
"Faroes Blue Whiting","0","0","-","0","0","-","0","0","-","","0","0","-","0","0","-","0.0","-","","","","713","","","","",""
"Shetland Sandeels*","0","0","-","0","0","-","0","0","-","","0","0","-","0","0","-","0.0","-","","","","0","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022 landings are for the nearest comparable week last year (assuming an average delay of 2 weeks in notification of landings) therefore","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"comparisons will be approximate, and should be treated accordingly.","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022 uptake is of the final quota, after all swaps.","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shetland inshore sand eel fishery monitored separately.","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"* Summary Table only","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"+ Norwegian waters south of 62 degrees N","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
