"Stock","Landings into","","","","","","","","","","Total landings","","","","Uptake of quota","","","","","",""," ","","","","",""
"","Scotland","","","England, Wales & N.I.","","","Abroad","","","","by UK vessels","","","U.K","in past week","","so far in:","","","","","U.K","","","","",""
"","","","%","","","%","","","%","","","","%","Quota","","","2022","2023","","","","Quota","","","","",""
"","2022","2023","change","2022","2023","change","2022","2023","change","","2022","2023","change","2023","Tonnes","%","%","%","","","","2016","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Faroes","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cod/Haddock","1013","914","-9.8","0","0","-","0","0","-","","1013","914","-9.8","1186","0","0.0","121.2","77.1","","","","836","","","","",""
"Saithe","752","510","-32.2","0","0","-","0","0","-","","752","510","-32.2","600","0","0.0","88.9","85.0","","","","846","","","","",""
"Redfish","2","1","-51.6","0","0","-","0","0","-","","2","1","-51.6","10","0","0.0","18.2","8.8","","","","10","","","","",""
"Ling, Blue Ling","159","141","-11.5","0","0","-","0","0","-","","159","141","-11.5","180","0","0.0","72.4","78.3","","","","220","","","","",""
"Flatfish","17","20","21.4","0","0","-","0","0","-","","17","20","21.4","40","0","-","24.4","50.4","","","","68","","","","",""
"Others","198","340","71.2","0","0","-","0","0","-","","198","340","71.2","475","0","0.0","49.2","71.5","","","","403","","","","",""
"Blue Whiting","553","1831","231.1","0","0","-","2252","1211","-46.2","","2805","3042","8.4","0","0","-","100.0","-","","","","2806","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022 landings are for the nearest comparable week last year (assuming an average delay of 2 weeks in notification of landings) therefore","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"comparisons will be approximate, and should be treated accordingly.","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
