"","Exports of services (£m)","","Percentage of telecoms world total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Country","2014","2015","2014","2015","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bahrain","  61 ","  47 ","0.9","0.7","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kuwait","  6 ","  4 ","0.1","0.1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oman","  2 ","  3 ","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Qatar","  69 ","  100 ","1.0","1.6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Saudi Arabia","  51 ","  67 ","0.8","1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UAE","  206 ","  196 ","3.0","3.1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"World total","  6,779 ","  6,433 ","100.0","100.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1. Data cover exports of services only (not goods)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. Data are in current prices (i.e. have not been adjusted for inflation).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"""-"" Figure has been suppressed due to disclosiveness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"""0"" The value of trade is less than £0.5 million (figures in this table are rounded to the nearest million)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
