"Table 1b: Individual insolvencies, England and Wales, not seasonally adjusted, 1 January 2012 to 30 June 2022 [p]","","","","","","","","","","","","","",""
"Back to contents","","","","","","","","","","","","","",""
"This worksheet contains one table. Some cells refer to notes which can be found in the Notes worksheet.","","","","","","","","","","","","","",""
"Some shorthand is used in this table, [r] = revised, [p] = provisional. See Notes worksheet for further details.","","","","","","","","","","","","","",""
"Source: Insolvency Service","","","","","","","","","","","","","",""
"Year","Quarter","Total individual insolvencies ","r_total","Bankruptcies  [note 2][note 3]","r_bankruptcies","Debt relief orders [note 5]","r_total_dros","Individual voluntary arrangements ","r_total_ivas","","","","",""
"2012","","109,496","[r]","31,776","[r]","31,179","","46,541","","","","","",""
"2013","","100,989","[r]","24,565","","27,638","[r]","48,786","","","","","",""
"2014","","98,143","","20,339","","26,687","","51,117","","","","","",""
"2015","","80,029","","15,849","","24,175","","40,005","","","","","",""
"2016","","90,510","","15,051","[r]","26,195","","49,264","[r]","","","","",""
"2017","","99,094","[r]","15,107","","24,894","","59,093","[r]","","","","",""
"2018","","115,010","","16,643","[r]","27,682","[r]","70,685","","","","","",""
"2019","","122,151","[r]","16,743","[r]","27,467","","77,941","[r]","","","","",""
"2020","","111,574","[r]","12,658","","20,473","","78,443","[r]","","","","",""
"2021","","110,044","[r]","8,719","[r]","20,135","","81,190","[r]","","","","",""
"2012","Q1","28,667","[r]","9,125","[r]","7,897","","11,645","","","","","",""
"2012","Q2","27,348","","8,092","","7,956","","11,300","","","","","",""
"2012","Q3","28,053","","7,639","","7,777","","12,637","","","","","",""
"2012","Q4","25,428","","6,920","","7,549","","10,959","","","","","",""
"2013","Q1","24,986","","6,674","","7,219","","11,093","","","","","",""
"2013","Q2","25,698","","6,477","","7,132","","12,089","","","","","",""
"2013","Q3","26,104","[r]","6,009","","6,724","[r]","13,371","","","","","",""
"2013","Q4","24,201","","5,405","","6,563","","12,233","","","","","",""
"2014","Q1","24,913","","5,684","","6,549","","12,680","","","","","",""
"2014","Q2","26,741","","5,472","","7,006","","14,263","","","","","",""
"2014","Q3","24,275","","4,905","","6,807","","12,563","","","","","",""
"2014","Q4","22,214","","4,278","","6,325","","11,611","","","","","",""
"2015","Q1","19,997","","4,410","","6,213","","9,374","","","","","",""
"2015","Q2","18,579","","3,972","","5,832","","8,775","","","","","",""
"2015","Q3","20,892","","3,896","","5,629","","11,367","","","","","",""
"2015","Q4","20,561","","3,571","","6,501","","10,489","","","","","",""
"2016","Q1","20,092","","3,780","","6,722","","9,590","","","","","",""
"2016","Q2","22,714","[r]","3,709","[r]","6,740","","12,265","","","","","",""
"2016","Q3","25,222","","3,936","","6,490","","14,796","","","","","",""
"2016","Q4","22,482","[r]","3,626","","6,243","","12,613","[r]","","","","",""
"2017","Q1","24,232","","4,082","","6,119","","14,031","","","","","",""
"2017","Q2","22,361","[r]","3,722","","6,146","","12,493","[r]","","","","",""
"2017","Q3","27,797","","3,738","","6,274","","17,785","","","","","",""
"2017","Q4","24,704","","3,565","","6,355","","14,784","","","","","",""
"2018","Q1","26,286","","4,384","","6,544","","15,358","","","","","",""
"2018","Q2","28,407","","4,108","","7,021","","17,278","","","","","",""
"2018","Q3","27,025","[r]","4,209","[r]","6,997","","15,819","","","","","",""
"2018","Q4","33,292","[r]","3,942","","7,120","[r]","22,230","","","","","",""
"2019","Q1","30,243","","4,469","","6,946","","18,828","","","","","",""
"2019","Q2","30,396","[r]","4,235","","6,796","","19,365","[r]","","","","",""
"2019","Q3","33,444","","4,178","","6,788","","22,478","","","","","",""
"2019","Q4","28,068","","3,861","[r]","6,937","","17,270","[r]","","","","",""
"2020","Q1","26,923","","4,585","","6,915","","15,423","","","","","",""
"2020","Q2","32,541","[r]","2,442","","4,820","","25,279","[r]","","","","",""
"2020","Q3","21,188","[r]","2,786","","4,490","","13,912","[r]","","","","",""
"2020","Q4","30,922","[r]","2,845","","4,248","","23,829","[r]","","","","",""
"2021","Q1","26,123","[r]","2,801","","4,163","","19,159","[r]","","","","",""
"2021","Q2","28,221","","2,307","","4,374","","21,540","","","","","",""
"2021","Q3","28,175","[r]","1,889","[r]","5,735","","20,551","[r]","","","","",""
"2021","Q4","27,525","[r]","1,722","[r]","5,863","","19,940","[r]","","","","",""
"2022","Q1","29,874","[r]","1,842","[r]","6,629","","21,403","[r]","","","","",""
"2022","Q2","30,110","","1,614","","5,772","","22,724","","","","","",""
"Percentage change, latest quarter (2022 Q2) compared with:","","","","","","","","","","","","","",""
"2021","Q2","7%","","-30%","","32%","","5%","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
