"Year","Quarter","Total bankruptcies [note 8]","r_total_bankruptcies","Creditors' petitions [note 2]","r_creditor","Debtors' applications [note 3]","r_debtor",""
"2012","","31,776","[r]","6,591","","25,185","[r]",""
"2013","","24,565","","5,377","","19,188","",""
"2014","","20,339","","4,783","","15,556","",""
"2015","","15,849","","4,404","","11,445","",""
"2016","","15,051","[r]","3,902","","11,149","[r]",""
"2017","","15,107","","3,303","","11,804","",""
"2018","","16,643","[r]","3,660","","12,983","[r]",""
"2019","","16,743","[r]","3,128","[r]","13,615","",""
"2020","","12,658","","1,346","","11,312","",""
"2021","","8,719","[r]","1,109","[r]","7,610","",""
"2012","Q1","8,686","[r]","1,858","[r]","6,799","[r]",""
"2012","Q2","8,075","[r]","1,684","[r]","6,512","[r]",""
"2012","Q3","7,719","[r]","1,592","[r]","6,112","[r]",""
"2012","Q4","7,296","[r]","1,456","[r]","5,762","[r]",""
"2013","Q1","6,451","[r]","1,332","[r]","5,267","[r]",""
"2013","Q2","6,373","[r]","1,416","[r]","4,934","[r]",""
"2013","Q3","6,038","[r]","1,358","[r]","4,596","[r]",""
"2013","Q4","5,703","[r]","1,270","[r]","4,391","[r]",""
"2014","Q1","5,429","[r]","1,266","[r]","4,174","[r]",""
"2014","Q2","5,471","[r]","1,322","[r]","4,197","[r]",""
"2014","Q3","4,908","[r]","1,162","[r]","3,703","[r]",""
"2014","Q4","4,530","[r]","1,033","[r]","3,482","[r]",""
"2015","Q1","4,198","[r]","1,065","[r]","3,120","[r]",""
"2015","Q2","3,984","[r]","1,056","[r]","2,962","[r]",""
"2015","Q3","3,877","[r]","1,132","[r]","2,764","[r]",""
"2015","Q4","3,790","[r]","1,151","","2,599","[r]",""
"2016","Q1","3,612","[r]","1,052","[r]","2,617","[r]",""
"2016","Q2","3,668","[r]","962","","2,677","[r]",""
"2016","Q3","3,906","[r]","932","[r]","3,013","[r]",""
"2016","Q4","3,865","","957","[r]","2,842","[r]",""
"2017","Q1","3,815","[r]","853","[r]","2,973","[r]",""
"2017","Q2","3,744","[r]","829","[r]","2,950","[r]",""
"2017","Q3","3,733","[r]","794","[r]","2,945","[r]",""
"2017","Q4","3,816","","827","[r]","2,935","[r]",""
"2018","Q1","4,122","[r]","930","[r]","3,265","[r]",""
"2018","Q2","4,064","[r]","946","[r]","3,135","[r]",""
"2018","Q3","4,240","[r]","984","[r]","3,306","[r]",""
"2018","Q4","4,217","[r]","799","[r]","3,278","[r]",""
"2019","Q1","4,115","[r]","827","[r]","3,369","[r]",""
"2019","Q2","4,226","[r]","899","[r]","3,459","[r]",""
"2019","Q3","4,270","[r]","777","[r]","3,421","[r]",""
"2019","Q4","4,131","[r]","625","[r]","3,366","[r]",""
"2020","Q1","4,240","[r]","586","[r]","3,702","[r]",""
"2020","Q2","2,450","[r]","172","[r]","2,381","[r]",""
"2020","Q3","2,912","[r]","286","[r]","2,567","[r]",""
"2020","Q4","3,055","[r]","302","[r]","2,661","[r]",""
"2021","Q1","2,598","[r]","292","[r]","2,336","[r]",""
"2021","Q2","2,297","[r]","288","[r]","2,107","[r]",""
"2021","Q3","1,988","[r]","256","[r]","1,661","[r]",""
"2021","Q4","1,837","[r]","273","[r]","1,506","[r]",""
"2022","Q1","1,704","[r]","262","[r]","1,447","[r]",""
"2022","Q2","1,596","","266","","1,406","",""
"Percentage change, latest quarter (2022 Q2) compared with:","","","","","","","",""
"2022","Q1","-6%","","2%","","-3%","",""
"2021","Q2","-31%","","-8%","","-33%","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
