"Table 4a: Bankruptcies by employment status, England and Wales, seasonally adjusted, 1 January 2012 to 30 June 2022 [p][note 1][note 2][note 3][note 9]","","","","","","","","","","","","",""
"Back to contents","","","","","","","","","","","","",""
"This worksheet contains one table. Some cells refer to notes which can be found in the Notes worksheet.","","","","","","","","","","","","",""
"Some shorthand is used in this table, [x] = not yet available, [r] = revised, [p] = provisional. See Notes worksheet for further details.","","","","","","","","","","","","",""
"Source: Insolvency Service","","","","","","","","","","","","",""
"Year","Quarter","Total bankruptcies [note 10]","r_total_bankruptcies","Self-employed (or trader) bankruptcies [note 11]","r_self_emp","Other individuals [note 11]","r_other","","","","","",""
"2012","","31,776","[r]","7,608","[r]","24,168","","","","","","",""
"2013","","24,565","","6,287","","18,278","","","","","","",""
"2014","","20,339","","5,188","","15,151","","","","","","",""
"2015","","15,849","","4,095","","11,754","","","","","","",""
"2016","","15,051","[r]","3,833","[r]","11,218","","","","","","",""
"2017","","15,107","","3,601","","11,506","","","","","","",""
"2018","","16,643","[r]","3,894","[r]","12,749","","","","","","",""
"2019","","16,743","[r]","3,540","","13,203","[r]","","","","","",""
"2020","","12,658","","2,234","","10,424","","","","","","",""
"2021","","8,719","[r]","1,399","[r]","7,320","[r]","","","","","",""
"2012","Q1","8,686","[r]","1,997","[r]","6,673","[r]","","","","","",""
"2012","Q2","8,075","[r]","1,923","[r]","6,127","[r]","","","","","",""
"2,012","Q3","7,719","[r]","1,883","[r]","5,878","[r]","","","","","",""
"2012","Q4","7,296","[r]","1,805","[r]","5,490","[r]","","","","","",""
"2013","Q1","6,451","[r]","1,583","[r]","4,871","[r]","","","","","",""
"2013","Q2","6,373","[r]","1,658","[r]","4,687","[r]","","","","","",""
"2,013","Q3","6,038","[r]","1,610","[r]","4,457","[r]","","","","","",""
"2013","Q4","5,703","[r]","1,437","","4,264","[r]","","","","","",""
"2014","Q1","5,429","[r]","1,410","[r]","4,028","[r]","","","","","",""
"2014","Q2","5,471","[r]","1,435","[r]","4,014","[r]","","","","","",""
"2,014","Q3","4,908","[r]","1,248","[r]","3,673","[r]","","","","","",""
"2014","Q4","4,530","[r]","1,095","","3,436","[r]","","","","","",""
"2015","Q1","4,198","[r]","1,087","[r]","3,121","[r]","","","","","",""
"2015","Q2","3,984","[r]","970","[r]","3,000","[r]","","","","","",""
"2,015","Q3","3,877","[r]","996","[r]","2,888","[r]","","","","","",""
"2015","Q4","3,790","[r]","1,042","[r]","2,745","","","","","","",""
"2016","Q1","3,612","[r]","972","[r]","2,649","[r]","","","","","",""
"2016","Q2","3,668","[r]","935","[r]","2,726","[r]","","","","","",""
"2,016","Q3","3,906","[r]","969","[r]","2,941","[r]","","","","","",""
"2016","Q4","3,865","","957","[r]","2,901","[r]","","","","","",""
"2017","Q1","3,815","[r]","909","[r]","2,914","[r]","","","","","",""
"2017","Q2","3,744","[r]","922","[r]","2,826","[r]","","","","","",""
"2,017","Q3","3,733","[r]","868","[r]","2,866","[r]","","","","","",""
"2017","Q4","3,816","","902","[r]","2,900","[r]","","","","","",""
"2018","Q1","4,122","[r]","986","[r]","3,143","[r]","","","","","",""
"2018","Q2","4,064","[r]","981","[r]","3,096","[r]","","","","","",""
"2,018","Q3","4,240","[r]","1,017","[r]","3,225","","","","","","",""
"2018","Q4","4,217","[r]","911","[r]","3,285","[r]","","","","","",""
"2019","Q1","4,115","[r]","896","[r]","3,214","[r]","","","","","",""
"2019","Q2","4,226","[r]","967","[r]","3,285","[r]","","","","","",""
"2,019","Q3","4,270","[r]","913","[r]","3,357","[r]","","","","","",""
"2019","Q4","4,131","[r]","764","[r]","3,347","[r]","","","","","",""
"2020","Q1","4,240","[r]","853","[r]","3,372","[r]","","","","","",""
"2020","Q2","2,450","[r]","389","[r]","2,080","[r]","","","","","",""
"2,020","Q3","2,912","[r]","480","[r]","2,437","[r]","","","","","",""
"2020","Q4","3,055","[r]","511","[r]","2,535","[r]","","","","","",""
"2021","Q1","2,598","[r]","391","[r]","2,189","[r]","","","","","",""
"2021","Q2","2,297","[r]","365","[r]","1,954","[r]","","","","","",""
"2,021","Q3","1,988","[r]","324","[r]","1,666","[r]","","","","","",""
"2021","Q4","1,837","[r]","319","[r]","1,511","[r]","","","","","",""
"2022","Q1","1,704","[r]","299","","1,390","","","","","","",""
"2022","Q2","1,596","","[x]","","[x]","","","","","","",""
"Percentage change, latest quarter (2022 Q1) compared with:","","","","","","","","","","","","",""
"2021","Q4","-7%","","-6%","","-8%","","","","","","",""
"2021","Q1","-34%","","-24%","","-37%","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
