"Table 4: Fuel source1","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","Bioenergy & Waste","Coal & Solid Fuel","Electricity","Natural Gas","Oil","Other / Unknown","Total"
"","","","","","","",""
"England","206","11","695","11,615","156","98","12,781"
"Scotland","77","0","35","692","19","9","832"
"Wales","….","0","14","274","5","…","299"
"Northern Ireland","….","0","0","64","18","…","83"
"United Kingdom","289","11","744","12,645","198","108","13,995"
"","","","","","","",""
"","","","","","","",""
"1Primary fuel only; some may have been erroneously allocated to secondary fuel source","","","","","","",""
"… values have been supressed due to risk of disclosure","","","","","","",""
