"original vs new","","","","","","","","","","","","","",""
"ITEM","BATCH","QTY","UNIT PRICE","TOTAL","","ITEM","BATCH","QTY","UNIT PRICE","TOTAL","D/P","","",""
"1","TO TMA VEG","10","5","50","","1","TO TMA VEG","10","4","40","-10","","",""
"2","PO PTT VEG","20","10","200","","2","PO PTT VEG","20","11","220","20","","",""
"3","BAN FF FRUIT","100","12","1200","","3","BAN FF FRUIT","100","9","900","-300","","",""
"4","APP PP FRUIT","100","10","1000","","4","APP PP FRUIT","100","11","1100","100","","",""
"5","PI PIA FRUIT","12","22","264","","5","PI PIA FRUIT","12","21","252","-12","","",""
"6","TE TEE FOOD","100","23","2300","","6","TE TEE FOOD","100","18","1800","-500","","",""
"7","CU CMC VEG","120","21","2520","","7","CU CMC VEG","120","11","1320","-1200","","",""
"8","TRB POT BNG","100","22","2200","","8","TRB POT BNG","100","24","2400","200","","",""
"9","FRU BANN MU","124","22","2728","","9","FRU BANN MU","124","23","2852","124","","",""
"","","","","","","LOSE","","","","","-1578","","",""
"","","","","","","","","","","","","","",""
