"Hourly earnings","","","","","","","","","","","","","","","",""
"Time period","","","2023-Dec","2024-Jan","2024-Feb","2024-Mar","2024-Apr","2024-May","2024-Jun","2024-Jul","2024-Aug","2024-Sep","2024-Oct","2024-Nov","2024-Dec",""
"Reference area","Measure","","","","","","","","","","","","","","",""
"Institutional sector: Total economy","","","","","","","","","","","","","","","",""
"Canada","Total - all activities","","","","","","","","","","","","","","",""
"Canada","·  Earnings, Manufacturing","","126.53","124.12","127.47","125.18","125.26","125.26","125.47","125.83","126.98","","","","",""
"Costa Rica","Total - all activities","","","","","","","","","","","","","","",""
"Costa Rica","·  Earnings, Manufacturing","","104.14","101.73","110.44","116.55","113.93","106.21","106.91","108.07","116.75","121.13","","","",""
"Hungary","Total - all activities","","","","","","","","","","","","","","",""
"Hungary","·  Earnings, Manufacturing","","245.84","246.86","248.91","254.73","250.79","259.77","258.55","260.33","264.74","265.85","267.74","","",""
"Israel","Total - all activities","","","","","","","","","","","","","","",""
"Israel","·  Earnings, Manufacturing","","143.31","148.83","143.69","141.81","142.60","144.37","143.15","146.52","145.48","143.23","145.03","143.96","146.38",""
"Italy","Total - all activities","","","","","","","","","","","","","","",""
"Italy","·  Earnings, Manufacturing","","111.91","111.80","111.79","111.81","111.79","111.87","111.66","111.56","111.63","111.70","111.75","111.83","111.90",""
"Japan","Total - all activities","","","","","","","","","","","","","","",""
"Japan","·  Earnings, Manufacturing","","107.55","104.96","104.96","104.96","106.55","106.65","114.23","111.64","107.65","108.55","109.15","","",""
"Luxembourg","Total - all activities","","","","","","","","","","","","","","",""
"Luxembourg","·  Earnings, Manufacturing","","106.54","107.32","107.59","105.37","108.62","105.41","106.58","105.69","105.01","104.15","","","",""
"Mexico","Total - all activities","","","","","","","","","","","","","","",""
"Mexico","·  Earnings, Manufacturing","","193.21","194.38","196.81","197.83","198.66","200.80","201.11","202.64","205.85","204.98","208.21","","",""
"Netherlands","Total - all activities","","","","","","","","","","","","","","",""
"Netherlands","·  Earnings, Manufacturing","","126.93","129.39","129.72","130.04","130.25","130.42","131.72","134.05","134.24","134.37","","","",""
"Poland","Total - all activities","","","","","","","","","","","","","","",""
"Poland","·  Earnings, Manufacturing","","188.02","192.03","194.62","196.09","196.69","198.09","200.79","201.78","203.36","203.49","","","",""
"Slovak Republic","Total - all activities","","","","","","","","","","","","","","",""
"Slovak Republic","·  Earnings, Manufacturing","","165.27","165.17","168.41","169.57","167.79","169.00","171.23","170.48","171.47","171.47","","","",""
"Slovenia","Total - all activities","","","","","","","","","","","","","","",""
"Slovenia","·  Earnings, Manufacturing","","188.38","149.01","148.70","151.61","151.91","154.13","155.05","154.11","156.10","156.91","156.52","","",""
"Sweden","Total - all activities","","","","","","","","","","","","","","",""
"Sweden","·  Earnings, Manufacturing","","122.16","123.33","123.10","123.06","125.60","124.52","125.66","126.73","125.93","126.16","126.67","","",""
"United Kingdom","Total - all activities","","","","","","","","","","","","","","",""
"United Kingdom","·  Earnings, Manufacturing","","129.40","130.18","131.60","135.34","134.44","134.70","135.47","134.95","135.79","136.70","137.21","","",""
"United States","Total - all activities","","","","","","","","","","","","","","",""
"United States","·  Earnings, Manufacturing","","136.31","136.71","137.41","137.97","138.42","138.92","139.62","140.48","140.53","141.23","141.58","142.19","",""
"G7","Total - all activities","","","","","","","","","","","","","","",""
"G7","·  Earnings, Manufacturing","","127.58","127.47","128.14","128.62","129.13","129.44","131.07","131.16","130.70","131.29","","","",""
"OECD","Total - all activities","","","","","","","","","","","","","","",""
"OECD","·  Earnings, Manufacturing","","133.04","133.17","133.82","134.27","135.18","135.37","136.45","136.81","136.64","137.06","","","",""
"Non-OECD economies","","","","","","","","","","","","","","","",""
"·  Bulgaria","Total - all activities","","","","","","","","","","","","","","",""
"·  Bulgaria","·  Earnings, Manufacturing","","245.36","245.39","251.27","251.65","249.25","267.08","264.03","267.18","269.46","272.87","","","",""
"·  Croatia","Total - all activities","","","","","","","","","","","","","","",""
"·  Croatia","·  Earnings, Manufacturing","","164.86","166.31","167.72","170.10","171.44","173.68","175.47","176.97","178.99","180.89","","","",""
"Institutional sector: Private sector","","","","","","","","","","","","","","","",""
"Costa Rica","Earnings","","120.55","119.93","121.00","120.21","119.11","119.31","120.98","122.97","123.13","123.66","","","",""
"Hungary","Earnings","","233.74","232.96","234.40","240.01","238.93","244.58","245.71","246.55","250.12","251.45","253.38","","",""
"Japan","Earnings","","109.39","109.39","109.59","109.85","110.16","110.67","111.37","111.31","111.50","111.73","111.93","","",""
"Poland","Earnings","","190.56","194.57","197.89","199.08","199.28","200.82","202.59","203.25","205.55","205.88","","","",""
"Sweden","Earnings","","120.92","121.42","121.17","121.64","123.00","122.81","123.30","124.20","123.75","124.47","124.68","","",""
"United Kingdom","Earnings","","140.83","141.35","142.65","143.44","144.09","144.35","145.26","145.33","146.24","147.74","148.65","","",""
"United States","Earnings","","140.36","140.98","141.26","141.69","141.88","142.45","143.02","143.45","143.92","144.40","144.97","145.40","",""
"Non-OECD economies","","","","","","","","","","","","","","","",""
"·  Bulgaria","Earnings","","245.29","246.83","253.69","254.86","250.25","271.29","269.14","271.93","273.49","280.95","","","",""
"","","","","","","","","","","","","","","","",""
"© Terms & conditions ","","","","","","","","","","","","","","","","Hourly earnings"
