"Holiday Inn Docklands",""
"",""
"Sales Performance",""
"Total Orders","20"
"Staff Orders","0"
"Clients Orders","20"
"Operating days","7.00"
"Avg Orders / day","2.86"
"Gross Revenues"," ""[$£-809]* #,##0.00"" "
"Avg Spend per order"," ""[$£-809]* #,##0.00"" "
"",""
"Commission Due",""
"Net Commission to pay"," ""[$£-809]* #,##0.00"" "
"VAT @ 20%"," ""[$£-809]* #,##0.00"" "
"TOTAL (£ BACS):"," ""[$£-809]* #,##0.00"" "
"",""
"Sales Patterns",""
"Monday","3"
"Tuesday","5"
"Wednesday","5"
"Thursday","3"
"Friday","2"
"Saturday","2"
"Sunday","0"
