"Number of tables on this sheet:","","","3","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"GVA in the CASE sectors","","","","","","","","","","","","","","","","","","","","","",""
"Data owner:","","Office of National Statistics","","","","","","","","","","","","","","","","","","","",""
"Link to data owner:","","http://www.ons.gov.uk","","","","","","","","","","","","","","","","","","","",""
"Data source:","","Annual Business Inquiry (ABI)","","","","","","","","","","","","","","","","","","","",""
"Link to data source:","","http://www.statistics.gov.uk/abi/","","","","","","","","","","","","","","","","","","","",""
"Date:","","2007/08, 2006/07, 2005/06","","","","","","","","","","","","","","","","","","","",""
"Update cycle:","","Yearly","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"GVA in the CASE sectors: sector by region in 2005/06 and 2007/08 (£ thousands)","","","","","","","","","","","","","","","","","","","","","",""
"","East Midlands","","East of England","","London","","North East","","North West","","South East","","South West","","West Midlands","","Yorkshire and the Humber","","England","","",""
"Sector","2005/06","2007/08","2005/06","2007/08","2005/06","2007/08","2005/06","2007/08","2005/06","2007/08","2005/06","2007/08","2005/06","2007/08","2005/06","2007/08","2005/06","2007/08","2005/06","2007/08","",""
"Creative","£1,427,751","£1,899,271","£3,173,375","£3,302,667","£21,794,240","£24,020,716","£815,805","£930,128","£3,272,905","£4,349,957","£10,933,428","£10,882,020","£2,404,205","£2,561,668","£2,602,535","£2,775,420","£2,086,979","£2,182,638","£48,614,991","£53,708,763","",""
"Heritage","£3,010","£2,939","£2,988","£2,685","£14,615","£17,287","£1,554","£2,833","£3,711","£2,326","£15,450","£18,726","£7,653","£9,387","£7,401","£7,949","£6,845","£6,705","£43,314","£54,797","",""
"MLA","£19,112","£12,045","£17,958","£17,128","£62,406","£67,348","£7,374","£9,597","£22,062","£10,870","£61,307","£64,710","£34,413","£31,754","£28,371","£29,684","£20,535","£20,116","£250,003","£207,251","",""
"Sport","£394,168","£414,753","£636,392","£566,797","£1,368,171","£1,398,080","£240,293","£239,400","£708,198","£760,919","£1,140,244","£1,202,476","£338,839","£340,771","£385,016","£400,853","£355,185","£367,296","£5,566,505","£5,691,346","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"CASE ","£1,844,041","£2,329,007","£3,830,713","£3,889,278","£23,239,431","£25,503,431","£1,065,026","£1,181,958","£4,006,876","£5,124,072","£12,150,429","£12,167,932","£2,785,110","£2,943,580","£3,023,323","£3,213,906","£2,469,544","£2,576,756","£54,474,813","£59,662,157","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
