"Code","Description","YTD","Jan-14","Feb-14","Mar-14","Apr-14","May-14","Jun-14","Jul-14","Aug-14","Sep-14","Oct-14","Nov-14","Dec-14","Total"
"Sales","Internal",""," $ 40.00 "," $ 40.00 "," $ 40.00 "," $ 40.00 "," $ 40.00 "," $ 50.00 "," $ 50.00 "," $ 50.00 "," $ 40.00 "," $ 50.00 "," $ 50.00 "," $ 40.00 "," $ 530.00 "
"","External",""," $ 50.00 "," $ 50.00 "," $ 50.00 "," $ 50.00 "," $ 50.00 "," $ 60.00 "," $ 60.00 "," $ 60.00 "," $ 50.00 "," $ 60.00 "," $ 60.00 "," $ 50.00 "," $ 650.00 "
"","TOTAL",""," $ 90.00 "," $ 90.00 "," $ 90.00 "," $ 90.00 "," $ 90.00 "," $ 110.00 "," $ 110.00 "," $ 110.00 "," $ 90.00 "," $ 110.00 "," $ 110.00 "," $ 90.00 "," $ 1,180.00 "
"","","","","","","","","","","","","","","",""
"Costs","Internal",""," $ 10.00 "," $ 10.00 "," $ 10.00 "," $ 10.00 "," $ 10.00 "," $ 20.00 "," $ 20.00 "," $ 20.00 "," $ 10.00 "," $ 20.00 "," $ 20.00 "," $ 10.00 "," $ 170.00 "
"","External",""," $ 10.00 "," $ 10.00 "," $ 10.00 "," $ 10.00 "," $ 10.00 "," $ 40.00 "," $ 40.00 "," $ 40.00 "," $ 10.00 "," $ 40.00 "," $ 40.00 "," $ 10.00 "," $ 270.00 "
"","TOTAL",""," $ 20.00 "," $ 20.00 "," $ 20.00 "," $ 20.00 "," $ 20.00 "," $ 60.00 "," $ 60.00 "," $ 60.00 "," $ 20.00 "," $ 60.00 "," $ 60.00 "," $ 20.00 "," $ 440.00 "
"","","","","","","","","","","","","","","",""
"GP","Gross Profit",""," $ 70.00 "," $ 70.00 "," $ 70.00 "," $ 70.00 "," $ 70.00 "," $ 50.00 "," $ 50.00 "," $ 50.00 "," $ 70.00 "," $ 50.00 "," $ 50.00 "," $ 70.00 "," $ 740.00 "
"","","","","","","","","","","","","","","",""
"Other Expenses","Royalties","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Interest Income","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Salary",""," $ 20.00 "," $ 20.00 "," $ 20.00 "," $ 20.00 "," $ 20.00 "," $ 10.00 "," $ 10.00 "," $ 10.00 "," $ 20.00 "," $ 10.00 "," $ 10.00 "," $ 20.00 "," $ 190.00 "
"","Transport",""," $ 30.00 "," $ 30.00 "," $ 30.00 "," $ 30.00 "," $ 30.00 "," $ 20.00 "," $ 20.00 "," $ 20.00 "," $ 30.00 "," $ 20.00 "," $ 20.00 "," $ 30.00 "," $ 310.00 "
"","Repairs & Maintenance",""," $ 10.00 "," $ 10.00 "," $ 10.00 "," $ 10.00 "," $ 10.00 "," $ 54.00 "," $ 54.00 "," $ 54.00 "," $ 10.00 "," $ 54.00 "," $ 54.00 "," $ 10.00 "," $ 340.00 "
"","","","","","","","","","","","","","","",""
"Income","Net Profit before Tax",""," $ 10.00 "," $ 10.00 "," $ 10.00 "," $ 10.00 "," $ 10.00 "," $ -34.00 "," $ -34.00 "," $ -34.00 "," $ 10.00 "," $ -34.00 "," $ -34.00 "," $ 10.00 "," $ -100.00 "
