"Showroom:","","","Metropolitan","","","","","",""
"Date :","","","2-September-2014","","","","","",""
"Year","Q1","","","Q2","","","Q3","",""
"","Budget","Actual","Growth","Budget","Actual","Growth","Budget","Actual","Growth"
"DEC 2011","250.00 ","247.00 ","-3.00 ","152.00 ","170.00 ","18.00 ","222.00 ","247.00 ","25.00 "
"DEC 2012","332.00 ","352.00 ","20.00 ","250.00 ","225.00 ","-25.00 ","452.00 ","443.00 ","-9.00 "
"DEC 2013","452.00 ","443.00 ","-9.00 ","300.00 ","302.00 ","2.00 ","356.00 ","332.00 ","-24.00 "
"June 2014","356.00 ","332.00 ","-24.00 ","325.00 ","342.00 ","17.00 ","325.00 ","351.00 ","26.00 "
"Variance","","16.00 ","","","12.00 ","","","18.00 ",""
"Actual Growth","","-16.00 ","","","12.00 ","","","18.00 ",""
