"Indent Level","Expenditure category","Relative
importance
Sep.
2024","Unadjusted indexes","Unadjusted indexes","Unadjusted indexes","Unadjusted percent change","Unadjusted percent change","Seasonally adjusted percent change","Seasonally adjusted percent change","Seasonally adjusted percent change"
"","","","Oct.
2023","Sep.
2024","Oct.
2024","Oct.
2023-
Oct.
2024","Sep.
2024-
Oct.
2024","Jul.
2024-
Aug.
2024","Aug.
2024-
Sep.
2024","Sep.
2024-
Oct.
2024"
"","","","","","","","","","",""
"0","All items","100.000","307.671","315.301","315.664","02.6","00.1","00.2","00.2","00.2"
"1","Food","13.458","325.731","332.083","332.678","02.1","00.2","00.1","00.4","00.2"
"2","Food at home","08.070","304.788","307.767","308.200","01.1","00.1","00.0","00.4","00.1"
"3","Cereals and bakery products","01.044","355.752","356.088","359.007","00.9","00.8","-0.1","00.3","01.0"
"3","Meats, poultry, fish, and eggs","01.741","322.536","332.525","328.743","01.9","-1.1","00.8","00.8","-1.2"
"3","Dairy and related products","00.732","268.326","269.643","271.695","01.3","00.8","00.5","00.1","01.0"
"3","Fruits and vegetables","01.385","351.952","353.508","355.292","00.9","00.5","-0.2","00.9","00.4"
"3","Nonalcoholic beverages and beverage materials","01.016","216.952","219.488","220.672","01.7","00.5","-0.7","00.0","00.4"
"3","Other food at home","02.153","272.215","272.658","273.232","00.4","00.2","-0.3","00.2","00.1"
"2","Food away from home(1)","05.388","358.824","371.604","372.486","03.8","00.2","00.3","00.3","00.2"
"","","","","","","","","","",""
"1","Energy","06.627","286.754","275.740","272.807","-4.9","-1.1","-0.8","-1.9","00.0"
"2","Energy commodities","03.494","329.191","293.273","288.357","-12.4","-1.7","-0.6","-4.0","-1.0"
"3","Fuel oil","00.070","427.572","334.792","338.453","-20.8","01.1","-1.9","-6.0","-4.6"
"3","Motor fuel","03.346","322.975","287.876","282.635","-12.5","-1.8","-0.6","-4.0","-0.9"
"4","Gasoline (all types)","03.250","320.999","287.102","281.741","-12.2","-1.9","-0.6","-4.1","-0.9"
"2","Energy services","03.132","258.236","269.593","268.564","04.0","-0.4","-0.9","00.7","01.0"
"3","Electricity","02.479","268.342","282.522","280.470","04.5","-0.7","-0.7","00.7","01.2"
"3","Utility (piped) gas service","00.653","222.955","225.366","227.463","02.0","00.9","-1.9","00.7","00.3"
"","","","","","","","","","",""
"1","All items less food and energy","79.915","311.380","321.109","321.758","03.3","00.2","00.3","00.3","00.3"
"2","Commodities less food and energy commodities","18.484","166.759","165.534","165.088","-1.0","-0.3","-0.2","00.2","00.0"
"3","Apparel","02.633","132.786","135.537","133.179","00.3","-1.7","00.3","01.1","-1.5"
"3","New vehicles","03.568","179.446","177.435","177.162","-1.3","-0.2","00.0","00.2","00.0"
"3","Used cars and trucks","01.870","184.961","178.072","178.744","-3.4","00.4","-1.0","00.3","02.7"
"3","Medical care commodities(1)","01.460","408.965","413.708","412.914","01.0","-0.2","-0.2","-0.7","-0.2"
"3","Alcoholic beverages","00.841","288.303","291.683","292.871","01.6","00.4","00.0","00.1","00.4"
"3","Tobacco and smoking products(1)","00.554","1471.019","1562.356","1571.120","06.8","00.6","01.2","00.0","00.6"
"2","Services less energy services","61.431","402.549","420.286","421.731","04.8","00.3","00.4","00.4","00.3"
"3","Shelter","36.538","386.435","404.133","405.287","04.9","00.3","00.5","00.2","00.4"
"4","Rent of primary residence","07.703","406.683","423.821","425.381","04.6","00.4","00.4","00.3","00.3"
"4","Owners' equivalent rent of residences(2)","27.002","396.881","415.601","417.477","05.2","00.5","00.5","00.3","00.4"
"3","Medical care services","06.507","594.974","615.354","617.753","03.8","00.4","-0.1","00.7","00.4"
"4","Physicians' services(1)","01.809","409.755","420.170","422.425","03.1","00.5","00.0","00.9","00.5"
"4","Hospital services(1)(3)","01.985","401.752","415.293","417.499","03.9","00.5","","","00.5"
"3","Transportation services","06.521","407.526","436.331","440.755","08.2","01.0","00.9","01.4","00.4"
"4","Motor vehicle maintenance and repair(1)","01.256","392.861","411.276","415.598","05.8","01.1","00.6","01.0","01.1"
"4","Motor vehicle insurance","03.007","759.704","863.292","865.985","14.0","00.3","00.6","01.2","-0.1"
"4","Airline fares","00.751","255.480","250.030","265.939","04.1","06.4","03.9","03.2","03.2"
