"Indent Level","Expenditure category","Relative
importance
Mar.
2023","Unadjusted indexes","Unadjusted indexes","Unadjusted indexes","Unadjusted percent change","Unadjusted percent change","Seasonally adjusted percent change","Seasonally adjusted percent change","Seasonally adjusted percent change"
"","","","Apr.
2022","Mar.
2023","Apr.
2023","Apr.
2022-
Apr.
2023","Mar.
2023-
Apr.
2023","Jan.
2023-
Feb.
2023","Feb.
2023-
Mar.
2023","Mar.
2023-
Apr.
2023"
"","","","","","","","","","",""
"0","All items","100.000","289.109","301.836","303.363","04.9","00.5","00.4","00.1","00.4"
"1","Food","13.474","298.711","320.863","321.566","07.7","00.2","00.4","00.0","00.0"
"2","Food at home","08.663","282.161","301.918","302.328","07.1","00.1","00.3","-0.3","-0.2"
"3","Cereals and bakery products","01.174","314.787","353.866","353.742","12.4","00.0","00.3","00.6","00.2"
"3","Meats, poultry, fish, and eggs","01.804","310.399","318.306","318.996","02.8","00.2","-0.1","-1.4","-0.3"
"3","Dairy and related products","00.804","251.030","271.384","271.102","08.0","-0.1","00.1","-0.1","-0.7"
"3","Fruits and vegetables","01.473","339.385","345.814","346.269","02.0","00.1","00.2","-1.3","-0.5"
"3","Nonalcoholic beverages and beverage materials","01.051","197.138","216.329","215.833","09.5","-0.2","01.0","00.2","-0.1"
"3","Other food at home","02.357","244.282","268.567","269.657","10.4","00.4","00.3","00.4","00.2"
"2","Food away from home(1)","04.811","323.559","349.944","351.237","08.6","00.4","00.6","00.6","00.4"
"","","","","","","","","","",""
"1","Energy","06.908","298.469","279.084","283.352","-5.1","01.5","-0.6","-3.5","00.6"
"2","Energy commodities","03.588","372.220","311.160","325.269","-12.6","04.5","00.5","-4.6","02.7"
"3","Fuel oil(1)","00.129","482.516","403.040","384.903","-20.2","-4.5","-7.9","-4.0","-4.5"
"3","Motor fuel","03.394","365.314","304.575","319.843","-12.4","05.0","00.9","-4.7","02.8"
"4","Gasoline (all types)","03.304","362.802","302.673","318.482","-12.2","05.2","01.0","-4.6","03.0"
"2","Energy services","03.320","240.865","259.647","255.185","05.9","-1.7","-1.7","-2.3","-1.7"
"3","Electricity","02.542","242.778","265.033","263.216","08.4","-0.7","00.5","-0.7","-0.7"
"3","Utility (piped) gas service","00.779","230.916","238.182","226.062","-2.1","-5.1","-8.0","-7.1","-4.9"
"","","","","","","","","","",""
"1","All items less food and energy","79.617","290.846","305.476","306.899","05.5","00.5","00.5","00.4","00.4"
"2","Commodities less food and energy commodities","21.344","164.520","166.961","167.833","02.0","00.5","00.0","00.2","00.6"
"3","Apparel","02.605","127.126","133.112","131.762","03.6","-1.0","00.8","00.3","00.3"
"3","New vehicles","04.286","169.699","178.342","178.892","05.4","00.3","00.2","00.4","-0.2"
"3","Used cars and trucks","02.570","206.981","184.997","193.394","-6.6","04.5","-2.8","-0.9","04.4"
"3","Medical care commodities(1)","01.457","385.307","398.917","400.755","04.0","00.5","00.1","00.6","00.5"
"3","Alcoholic beverages","00.836","271.376","282.588","283.961","04.6","00.5","-0.3","00.1","00.5"
"3","Tobacco and smoking products(1)","00.498","1327.276","1413.380","1414.924","06.6","00.1","01.0","00.8","00.1"
"2","Services less energy services","58.274","368.565","392.024","393.769","06.8","00.4","00.6","00.4","00.4"
"3","Shelter","34.586","348.389","374.971","376.636","08.1","00.4","00.8","00.6","00.4"
"4","Rent of primary residence","07.542","362.951","392.910","394.898","08.8","00.5","00.8","00.5","00.6"
"4","Owners' equivalent rent of residences(2)","25.437","356.439","383.502","385.366","08.1","00.5","00.7","00.5","00.5"
"3","Medical care services","06.470","591.940","595.745","594.346","00.4","-0.2","-0.7","-0.5","-0.1"
"4","Physicians' services(1)","01.809","410.830","412.119","411.951","00.3","00.0","-0.5","-0.2","00.0"
"4","Hospital services(1)(3)","01.909","374.501","383.420","385.355","02.9","00.5","00.0","-0.4","00.5"
"3","Transportation services","05.871","351.985","387.966","390.805","11.0","00.7","01.1","01.4","-0.2"
"4","Motor vehicle maintenance and repair(1)","01.106","331.735","373.865","375.890","13.3","00.5","00.2","00.3","00.5"
"4","Motor vehicle insurance","02.578","592.317","677.445","684.166","15.5","01.0","00.9","01.2","01.4"
"4","Airline fares","00.616","297.143","286.814","294.550","-0.9","02.7","06.4","04.0","-2.6"
