"Table 3b: Debt relief order rates per 10,000 adults by location, England and Wales, 2011 to 2021 [r][note 10][note 11]","","","","","","","","","","","","",""
"Back to contents","","","","","","","","","","","","",""
"This worksheet contains one table. Some cells refer to notes which can be found in the Notes worksheet.","","","","","","","","","","","","",""
"Sources: Insolvency Service, Office for National Statistics (population estimates)","","","","","","","","","","","","",""
"Code","Name","Geography","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021 [p]"
"K04000001","ENGLAND AND WALES","Country","6.6","7.0","6.1","5.9","5.3","5.7","5.4","5.9","5.9","4.4","4.3"
"E92000001","ENGLAND","Country","6.5","7.0","6.1","5.9","5.3","5.6","5.3","5.9","5.8","4.3","4.2"
"E12000001","NORTH EAST","Region","9.2","10.1","8.5","8.4","7.1","8.1","7.7","9.7","10.0","7.5","6.5"
"E06000047","County Durham","Unitary Authority","7.3","8.4","8.3","8.5","7.4","9.1","9.0","9.5","12.0","8.0","6.1"
"E06000005","Darlington","Unitary Authority","9.4","8.9","6.6","5.1","6.0","7.6","6.0","6.1","6.8","6.6","5.1"
"E06000001","Hartlepool","Unitary Authority","7.2","8.6","6.9","5.6","6.7","7.7","6.2","12.3","14.7","7.5","10.3"
"E06000002","Middlesbrough","Unitary Authority","7.2","9.7","6.6","8.3","4.6","6.4","8.8","8.7","7.8","4.6","3.9"
"E06000057","Northumberland","Unitary Authority","9.7","10.0","9.5","7.7","4.7","6.0","5.8","5.3","5.3","5.3","4.1"
"E06000003","Redcar and Cleveland","Unitary Authority","6.5","6.2","5.7","6.4","4.8","4.5","4.2","5.9","5.7","4.7","6.8"
"E06000004","Stockton-on-Tees","Unitary Authority","8.1","5.7","6.0","10.3","9.5","7.7","9.4","16.0","12.1","9.3","8.0"
"E11000007","Tyne and Wear (Met County)","Metropolitan County","10.9","12.5","9.5","9.1","8.0","9.0","8.0","10.6","10.7","8.4","7.2"
"E08000037","Gateshead","Metropolitan District","10.1","11.9","11.9","9.0","9.9","10.1","8.2","10.1","11.6","8.3","7.9"
"E08000021","Newcastle upon Tyne","Metropolitan District","13.1","16.4","10.4","9.3","9.2","8.6","9.9","13.5","9.9","7.7","6.0"
