"Table 4a: Number of Individual Voluntary Arrangements by location, England and Wales, 2011 to 2021 [r]","","","","","","","","","","","","",""
"Back to contents","","","","","","","","","","","","",""
"This worksheet contains one table. Some cells refer to notes which can be found in the Notes worksheet.","","","","","","","","","","","","",""
"Source: Insolvency Service","","","","","","","","","","","","",""
"Code","Name","Geography","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"K04000001","ENGLAND AND WALES","Country","48,966","46,541","48,786","51,117","40,007","49,265","59,092","70,685","77,946","78,448","81,199"
"E92000001","ENGLAND","Country","45,522","43,535","45,576","47,585","37,282","45,857","55,684","66,708","73,458","73,978","76,654"
"E12000001","NORTH EAST","Region","3,044","2,992","3,142","3,063","2,282","2,804","3,254","4,063","4,344","4,309","4,299"
"E06000047","County Durham","Unitary Authority","750","718","736","679","521","632","736","915","994","948","875"
"E06000005","Darlington","Unitary Authority","132","122","121","116","100","119","148","200","229","192","223"
"E06000001","Hartlepool","Unitary Authority","81","130","149","111","104","101","107","165","140","169","166"
"E06000002","Middlesbrough","Unitary Authority","128","93","126","121","102","147","186","240","239","191","234"
"E06000057","Northumberland","Unitary Authority","361","386","365","376","247","309","356","427","462","511","486"
"E06000003","Redcar and Cleveland","Unitary Authority","183","153","172","201","119","160","189","194","248","257","251"
"E06000004","Stockton-on-Tees","Unitary Authority","206","161","230","200","174","180","228","299","311","335","313"
"E11000007","Tyne and Wear (Met County)","Metropolitan County","1,203","1,229","1,243","1,259","915","1,156","1,304","1,623","1,721","1,706","1,751"
"E08000037","Gateshead","Metropolitan District","230","245","258","228","139","212","232","268","299","254","275"
"E08000021","Newcastle upon Tyne","Metropolitan District","236","240","233","264","199","258","280","355","357","376","367"
"E08000022","North Tyneside","Metropolitan District","210","191","207","212","151","201","225","320","312","334","346"
"E08000023","South Tyneside","Metropolitan District","140","178","175","197","135","161","196","258","255","244","271"
"E08000024","Sunderland","Metropolitan District","387","375","370","358","291","324","371","422","498","498","492"
"E12000002","NORTH WEST","Region","6,715","6,586","6,909","7,240","5,673","7,085","8,338","10,135","11,227","10,415","11,301"
