"","Annual government non-financial accounts and key indicators (for 'Developer API')","","","","","","","","","","","","","","","","",""
"","Reference area: Italy","","","","","","","","","","","","","","","","",""
"","Valuation: Standard valuation based on SNA/ESA","","","","","","","","","","","","","","","","",""
"","Combined unit of measure: National currency, Current prices, Millions, Euro","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","Time period","","2019","","","2020","","","2021","","","2022","","","2023","","",""
"","Accounting entry","","Balance (revenue minus expenditure)","Revenue","Expenditure","Balance (revenue minus expenditure)","Revenue","Expenditure","Balance (revenue minus expenditure)","Revenue","Expenditure","Balance (revenue minus expenditure)","Revenue","Expenditure","Balance (revenue minus expenditure)","Revenue","Expenditure",""
"","Combined transaction","","","","","","","","","","","","","","","","",""
"","Institutional sector: Total economy > General government","","","","","","","","","","","","","","","","",""
"","Imputed social contributions from employers and households","","","E   4,236.00","","","E   4,282.00","","","E   4,665.00","","","E   4,266.00","","","E   4,248.00","",""
"","Production account","","","","","","","","","","","","","","","","",""
"","·  Output","","","335,547.00","","","338,502.00","","","357,691.00","","","370,932.00","","","377,571.00","",""
"","·  ·  Market output and output for own final use","","","30,384.00","","","27,267.00","","","29,946.00","","","30,730.00","","","32,154.00","",""
"","·  ·  ·  Market output","","","20,304.00","","","17,010.00","","","19,134.00","","","19,827.00","","","20,422.00","",""
"","·  ·  ·  Output for own final use","","","10,080.00","","","10,257.00","","","10,812.00","","","10,903.00","","","11,732.00","",""
"","·  ·  Non-market output","","","305,163.00","","","311,235.00","","","327,745.00","","","340,202.00","","","345,417.00","",""
"","·  ·  ·  Payments for other non-market output","","","13,927.00","","","11,292.00","","","13,441.00","","","15,312.00","","","16,134.00","",""
"","·  ·  ·  Other non-market output, n.e.c.","","","291,236.00","","","299,943.00","","","314,304.00","","","324,890.00","","","329,283.00","",""
"","·  ·  Market output, output for own final use and payments for other non-market output","","","44,311.00","","","38,559.00","","","43,387.00","","","46,042.00","","","48,288.00","",""
"","·  Intermediate consumption","","","","101,050.00","","","102,351.00","","","111,433.00","","","119,900.00","","","121,490.00",""
"","·  Value added, gross","","234,497.00","","","236,151.00","","","246,258.00","","","251,032.00","","","256,081.00","","",""
"","·  ·  Consumption of fixed capital","","","","50,620.00","","","51,145.00","","","53,486.00","","","56,693.00","","","57,844.00",""
"","·  Value added, net","","183,877.00","","","185,006.00","","","192,772.00","","","194,339.00","","","198,237.00","","",""
"","Generation of income account","","","","","","","","","","","","","","","","",""
"","·  Compensation of employees","","","","173,522.00","","","174,541.00","","","181,825.00","","","183,341.00","","","187,131.00",""
"","·  ·  Wages and salaries","","","","121,131.00","","","121,852.00","","","127,135.00","","","128,568.00","","","131,474.00",""
"","·  ·  Employers' social contributions","","","","52,391.00","","","52,689.00","","","54,690.00","","","54,773.00","","","55,657.00",""
"","·  Other taxes on production","","","52,064.00","10,241.00","","46,404.00","10,425.00","","51,331.00","10,838.00","","61,996.00","10,923.00","","60,380.00","10,851.00",""
"","·  Other subsidies on production","","","261.00","18,087.00","","268.00","21,538.00","","259.00","22,588.00","","328.00","29,115.00","","301.00","23,889.00",""
"","·  Operating surplus, net","","375.00","","","308.00","","","368.00","","","403.00","","","556.00","","",""
"","Allocation of primary income account","","","","","","","","","","","","","","","","",""
"","·  Taxes on production and imports","","","261,488.00","","","231,180.00","","","262,100.00","","","279,901.00","","","290,724.00","",""
"","·  ·  Taxes on products","","","209,424.00","","","184,776.00","","","210,769.00","","","217,905.00","","","230,344.00","",""
"","·  ·  ·  Value added type taxes","","","111,464.00","","","99,683.00","","","120,980.00","","","138,533.00","","","140,005.00","",""
"","·  ·  Other taxes on production","","","52,064.00","10,241.00","","46,404.00","10,425.00","","51,331.00","10,838.00","","61,996.00","10,923.00","","60,380.00","10,851.00",""
"","·  Subsidies on production and imports","","","","29,860.00","","","34,271.00","","","36,975.00","","","45,985.00","","","39,036.00",""
"","·  ·  Subsidies on products","","","","11,773.00","","","12,733.00","","","14,387.00","","","16,870.00","","","15,147.00",""
