"","Fossil Fuel Support - China","","","","","","","","","","","","","","","","","","","",""
"","Combined unit of measure: Chinese yuan renminbi","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","Time period","","","","","","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",""
"","Instrument","Beneficiary","Stage","Fuel type","Institutional sector","","","","","","","","","","","","","","","",""
"","Support mechanism: Tax expenditure","","","","","","","","","","","","","","","","","","","",""
"","2008 Operating Subsidies to Sinopec and PetroChina","Total","","","","","","","","","","","","","","","","","","",""
"","2008 Operating Subsidies to Sinopec and PetroChina","·  Beneficiary","","","","","","","","","","","","","","","","","","",""
"","2008 Operating Subsidies to Sinopec and PetroChina","·  ·  Producer Support Estimate","Refining or processing stage","Petroleum","","","","","","","","","","","","","","","","",""
"","2008 Operating Subsidies to Sinopec and PetroChina","·  ·  Producer Support Estimate","Refining or processing stage","·  Crude Oil","Total economy","","","","","","","","","","","","","","","",""
"","2008 Operating Subsidies to Sinopec and PetroChina","·  ·  Producer Support Estimate","Refining or processing stage","·  Crude Oil","·  General government","","","","","","","","","","","","","","","",""
"","2008 Operating Subsidies to Sinopec and PetroChina","·  ·  Producer Support Estimate","Refining or processing stage","·  Crude Oil","·  ·  Central government","","..","..","..","..","..","..","..","..","..","..","..","..","..","..",""
"","2008 Operating Subsidies to Sinopec and PetroChina","·  ·  Producer Support Estimate","Refining or processing stage","·  Liquefied Petroleum Gases","Total economy","","","","","","","","","","","","","","","",""
"","2008 Operating Subsidies to Sinopec and PetroChina","·  ·  Producer Support Estimate","Refining or processing stage","·  Liquefied Petroleum Gases","·  General government","","","","","","","","","","","","","","","",""
"","2008 Operating Subsidies to Sinopec and PetroChina","·  ·  Producer Support Estimate","Refining or processing stage","·  Liquefied Petroleum Gases","·  ·  Central government","","..","..","..","..","..","..","..","..","..","..","..","..","..","..",""
"","2008 Operating Subsidies to Sinopec and PetroChina","·  ·  Producer Support Estimate","Refining or processing stage","·  Motor gasoline excl. biofuels","Total economy","","","","","","","","","","","","","","","",""
"","2008 Operating Subsidies to Sinopec and PetroChina","·  ·  Producer Support Estimate","Refining or processing stage","·  Motor gasoline excl. biofuels","·  General government","","","","","","","","","","","","","","","",""
"","2008 Operating Subsidies to Sinopec and PetroChina","·  ·  Producer Support Estimate","Refining or processing stage","·  Motor gasoline excl. biofuels","·  ·  Central government","","..","..","..","..","..","..","..","..","..","..","..","..","..","..",""
"","2008 Operating Subsidies to Sinopec and PetroChina","·  ·  Producer Support Estimate","Refining or processing stage","·  Gas/diesel oil excl. biofuels","Total economy","","","","","","","","","","","","","","","",""
"","2008 Operating Subsidies to Sinopec and PetroChina","·  ·  Producer Support Estimate","Refining or processing stage","·  Gas/diesel oil excl. biofuels","·  General government","","","","","","","","","","","","","","","",""
"","2008 Operating Subsidies to Sinopec and PetroChina","·  ·  Producer Support Estimate","Refining or processing stage","·  Gas/diesel oil excl. biofuels","·  ·  Central government","","..","..","..","..","..","..","..","..","..","..","..","..","..","..",""
"","VAT Refund Relating to Change from Business Tax to VAT to PetroChina","Total","","","","","","","","","","","","","","","","","","",""
"","VAT Refund Relating to Change from Business Tax to VAT to PetroChina","·  Beneficiary","","","","","","","","","","","","","","","","","","",""
"","VAT Refund Relating to Change from Business Tax to VAT to PetroChina","·  ·  Producer Support Estimate","Refining or processing stage","Natural Gas","Total economy","","","","","","","","","","","","","","","",""
"","VAT Refund Relating to Change from Business Tax to VAT to PetroChina","·  ·  Producer Support Estimate","Refining or processing stage","Natural Gas","·  General government","","","","","","","","","","","","","","","",""
"","VAT Refund Relating to Change from Business Tax to VAT to PetroChina","·  ·  Producer Support Estimate","Refining or processing stage","Natural Gas","·  ·  Central government","","..","..","..","..","..","..","3,215,000,000","3,059,000,000","2,528,000,000","2,093,000,000","1,976,000,000","153,000,000","106,000,000","206,000,000",""
"","VAT Rebate on Imported LNG 2005-10","Total","","","","","","","","","","","","","","","","","","",""
"","VAT Rebate on Imported LNG 2005-10","·  Beneficiary","","","","","","","","","","","","","","","","","","",""
"","VAT Rebate on Imported LNG 2005-10","·  ·  Producer Support Estimate","Refining or processing stage","Natural Gas","Total economy","","","","","","","","","","","","","","","",""
"","VAT Rebate on Imported LNG 2005-10","·  ·  Producer Support Estimate","Refining or processing stage","Natural Gas","·  General government","","","","","","","","","","","","","","","",""
"","VAT Rebate on Imported LNG 2005-10","·  ·  Producer Support Estimate","Refining or processing stage","Natural Gas","·  ·  Central government","","2,659,286,464","..","..","..","..","..","..","..","..","..","..","..","..","..",""
"","Excise Tax Suspension for Domestic Aviation Fuel","Total","","","","","","","","","","","","","","","","","","",""
"","Excise Tax Suspension for Domestic Aviation Fuel","·  Beneficiary","","","","","","","","","","","","","","","","","","",""
