"Column1","Column2","Column3","Column4","Column5","","","","","",""
"","Total","","","","","","","","",""
"","Sales Team South","Customer Service","Sales Team North","","","","","","",""
"","Untaxed Total","Untaxed Total","Untaxed Total","Untaxed Total","","","","","",""
"Total","213811153.015","1250393.09","27279099.014","242340645.119","","","","","",""
"     April 2024","141545141.51","238298","3373029.2","145156468.71","","","","","",""
"          Sales Team South","141545141.51","","","141545141.51","","","","","",""
"               Aero Club","182281","","","182281","","","","","",""
"                    India","182281","","","182281","","","","","",""
"                         Uncovered Flat Sheet","182281","","","182281","","","","","",""
"               Alina Private Limited","315139","","","315139","","","","","",""
"                    India","315139","","","315139","","","","","",""
"                         Covered Flat Sheet","201537","","","201537","","","","","",""
"                         Uncovered Flat Sheet","113602","","","113602","","","","","",""
"               Alpine Shoes Private Limited","3502112.4","","","3502112.4","","","","","",""
"                    India","3502112.4","","","3502112.4","","","","","",""
"                         Die Cut","3200565.4","","","3200565.4","","","","","",""
"                         Uncovered Flat Sheet","301547","","","301547","","","","","",""
"               Apache Footwear India Private Limited","50994773.475","","","50994773.475","","","","","",""
"                    India","50994773.475","","","50994773.475","","","","","",""
"                         Covered Flat Sheet","22488286.8","","","22488286.8","","","","","",""
"                         Uncovered Flat Sheet","28506486.675","","","28506486.675","","","","","",""
"               Array Fashions Private Limited","63012.9","","","63012.9","","","","","",""
"                    India","63012.9","","","63012.9","","","","","",""
"                         DIECUT","63012.9","","","63012.9","","","","","",""
"               Aston Shoes Private Limited","141283.31","","","141283.31","","","","","",""
"                    India","141283.31","","","141283.31","","","","","",""
"                         Uncovered Flat Sheet","141283.31","","","141283.31","","","","","",""
"               At Exports","305244","","","305244","","","","","",""
"                    India","305244","","","305244","","","","","",""
"                         Uncovered Flat Sheet","305244","","","305244","","","","","",""
"               Basant Overseas","24705","","","24705","","","","","",""
"                    India","24705","","","24705","","","","","",""
"                         Uncovered Flat Sheet","24705","","","24705","","","","","",""
"               Bata India Limited- Kolkata","20730","","","20730","","","","","",""
"                    India","20730","","","20730","","","","","",""
"                         Covered Flat Sheet","20730","","","20730","","","","","",""
"               Bbk Shoes","1280168.56","","","1280168.56","","","","","",""
"                    India","1280168.56","","","1280168.56","","","","","",""
"                         Uncovered Flat Sheet","1280168.56","","","1280168.56","","","","","",""
"               Bright Sports Shoes Manufacturing Co","442240","","","442240","","","","","",""
"                    India","442240","","","442240","","","","","",""
"                         Covered Flat Sheet","442240","","","442240","","","","","",""
"               Delta Shoes Private Limited","3213284.24","","","3213284.24","","","","","",""
"                    India","3213284.24","","","3213284.24","","","","","",""
"                         DIECUT","2100175.8","","","2100175.8","","","","","",""
"                         Uncovered Flat Sheet","1113108.44","","","1113108.44","","","","","",""
"               East Wind Footwear Company Limited- (India Branch) Unit-1","9773079.525","","","9773079.525","","","","","",""
"                    India","9773079.525","","","9773079.525","","","","","",""
"                         Die Cut","9773079.525","","","9773079.525","","","","","",""
"               East Wind Footwear Company Limited- (India Branch) Unit-2","4551559.95","","","4551559.95","","","","","",""
"                    India","4551559.95","","","4551559.95","","","","","",""
"                         Covered Flat Sheet","4551559.95","","","4551559.95","","","","","",""
"               Expo International","198720","","","198720","","","","","",""
"                    India","198720","","","198720","","","","","",""
"                         Die Cut","198720","","","198720","","","","","",""
"               Fairway Enterprises Company Limited (India Branch) - Unit 1","12665512.13","","","12665512.13","","","","","",""
"                    India","12665512.13","","","12665512.13","","","","","",""
"                         Die Cut","12665512.13","","","12665512.13","","","","","",""
"               Fairway Enterprises Company Limited (India Branch) - Unit 2","2554544.78","","","2554544.78","","","","","",""
"                    India","2554544.78","","","2554544.78","","","","","",""
"                         Die Cut","2554544.78","","","2554544.78","","","","","",""
"               Farida Classic Shoes Private Limited","966401.37","","","966401.37","","","","","",""
"                    India","966401.37","","","966401.37","","","","","",""
"                         Uncovered Flat Sheet","966401.37","","","966401.37","","","","","",""
"               Farida Shoes Private Limited","982877.59","","","982877.59","","","","","",""
"                    India","982877.59","","","982877.59","","","","","",""
"                         Uncovered Flat Sheet","982877.59","","","982877.59","","","","","",""
"               Farida Shoes Private Limited Unit C","1042506.56","","","1042506.56","","","","","",""
"                    India","1042506.56","","","1042506.56","","","","","",""
"                         Uncovered Flat Sheet","1042506.56","","","1042506.56","","","","","",""
"               Florence Shoes Company Private Limited","275626.86","","","275626.86","","","","","",""
"                    India","275626.86","","","275626.86","","","","","",""
"                         Uncovered Flat Sheet","275626.86","","","275626.86","","","","","",""
"               Fuzail Shoes Private Limited","84699.06","","","84699.06","","","","","",""
"                    India","84699.06","","","84699.06","","","","","",""
"                         Uncovered Flat Sheet","84699.06","","","84699.06","","","","","",""
"               Gadsyll Shooes","14700","","","14700","","","","","",""
"                    India","14700","","","14700","","","","","",""
"                         DIECUT","14700","","","14700","","","","","",""
"               Good Leather Shoes Private Limited","642212.5","","","642212.5","","","","","",""
"                    India","642212.5","","","642212.5","","","","","",""
"                         Uncovered Flat Sheet","642212.5","","","642212.5","","","","","",""
"               Gsb Footwear Private Limited","23000","","","23000","","","","","",""
"                    India","23000","","","23000","","","","","",""
"                         Uncovered Flat Sheet","23000","","","23000","","","","","",""
"               Gupta H.C.Overseas (I) Private Limited","1133520","","","1133520","","","","","",""
"                    India","1133520","","","1133520","","","","","",""
"                         Uncovered Flat Sheet","1133520","","","1133520","","","","","",""
"               Habeeb Tanning Company","473964.75","","","473964.75","","","","","",""
"                    India","473964.75","","","473964.75","","","","","",""
"                         Die Cut","27340","","","27340","","","","","",""
"                         Uncovered Flat Sheet","446624.75","","","446624.75","","","","","",""
"               Humming Bird Leather Incorporated","31321.94","","","31321.94","","","","","",""
"                    India","31321.94","","","31321.94","","","","","",""
"                         Covered Flat Sheet","31321.94","","","31321.94","","","","","",""
"               India Shoes Exports Private Limited","1375624.07","","","1375624.07","","","","","",""
"                    India","1375624.07","","","1375624.07","","","","","",""
"                         Covered Flat Sheet","18016.96","","","18016.96","","","","","",""
"                         DIECUT","11951","","","11951","","","","","",""
"                         Uncovered Flat Sheet","1345656.11","","","1345656.11","","","","","",""
"               Jasmine Knitting Industries Private Limited","214210","","","214210","","","","","",""
"                    India","214210","","","214210","","","","","",""
"                         Covered Flat Sheet","214210","","","214210","","","","","",""
"               KNS Trading Private Limited","2508240.6","","","2508240.6","","","","","",""
"                    India","2508240.6","","","2508240.6","","","","","",""
"                         Die Cut","743682","","","743682","","","","","",""
"                         Uncovered Flat Sheet","1764558.6","","","1764558.6","","","","","",""
"               Kaps Overseas","41860","","","41860","","","","","",""
"                    India","41860","","","41860","","","","","",""
"                         Uncovered Flat Sheet","41860","","","41860","","","","","",""
"               Kenmore Shoes Private Limited","7469","","","7469","","","","","",""
"                    India","7469","","","7469","","","","","",""
"                         Uncovered Flat Sheet","7469","","","7469","","","","","",""
"               Lamba Footwear Industries","13779.72","","","13779.72","","","","","",""
"                    India","13779.72","","","13779.72","","","","","",""
"                         Covered Flat Sheet","13779.72","","","13779.72","","","","","",""
"               Leiner Shoes Private Limited","68967","","","68967","","","","","",""
"                    India","68967","","","68967","","","","","",""
"                         Uncovered Flat Sheet","68967","","","68967","","","","","",""
"               Lotus Footwear Enterprises Limited (India Branch) - Unit 1","17482032.61","","","17482032.61","","","","","",""
"                    India","17482032.61","","","17482032.61","","","","","",""
"                         Covered Flat Sheet","32779.595","","","32779.595","","","","","",""
"                         Die Cut","17449253.015","","","17449253.015","","","","","",""
"               Lotus Footwear Enterprises Limited (India Branch) - Unit 2","670306.27","","","670306.27","","","","","",""
"                    India","670306.27","","","670306.27","","","","","",""
"                         Die Cut","670306.27","","","670306.27","","","","","",""
"               Maxking (India) Footwear Private Limited","2821391.93","","","2821391.93","","","","","",""
"                    India","2821391.93","","","2821391.93","","","","","",""
"                         Covered Flat Sheet","1774810.87","","","1774810.87","","","","","",""
"                         Uncovered Flat Sheet","1046581.06","","","1046581.06","","","","","",""
"               Mochiko Shoes Private Limited1","10230972.9","","","10230972.9","","","","","",""
"                    India","10230972.9","","","10230972.9","","","","","",""
"                         DIECUT","5972640.7","","","5972640.7","","","","","",""
"                         Die Cut","3080700","","","3080700","","","","","",""
"                         Uncovered Flat Sheet","1177632.2","","","1177632.2","","","","","",""
"               Mosons Enterprises","27200","","","27200","","","","","",""
"                    India","27200","","","27200","","","","","",""
"                         Die Cut","27200","","","27200","","","","","",""
"               N M Zackriah LLP","415903.62","","","415903.62","","","","","",""
"                    India","415903.62","","","415903.62","","","","","",""
"                         Uncovered Flat Sheet","415903.62","","","415903.62","","","","","",""
"               Naagu International","53490","","","53490","","","","","",""
"                    India","53490","","","53490","","","","","",""
"                         Covered Flat Sheet","53490","","","53490","","","","","",""
"               Nuova Shoes","86952.11","","","86952.11","","","","","",""
"                    India","86952.11","","","86952.11","","","","","",""
"                         Uncovered Flat Sheet","86952.11","","","86952.11","","","","","",""
"               Olive Shoes Private Limited","1159338","","","1159338","","","","","",""
"                    India","1159338","","","1159338","","","","","",""
"                         Uncovered Flat Sheet","1159338","","","1159338","","","","","",""
"               P A Footwear Private Limited","3674688.55","","","3674688.55","","","","","",""
