"","Shared","Tor","Mary","","""+/-"""
"","","","","",""
"Beverage","","","","",""
"Coffee Fltr","","$12.78 ","","","$12.78 "
"Coffee T","","$14.99 ","","","$14.99 "
"Coffee M","","","$29.99 ","","$29.99 "
"Herbal Tea","$34.27 ","","","","$34.27 "
"Tea","","","","","$0.00 "
"Pop T","$9.99 ","","","","$9.99 "
"Pop M","","","","","$0.00 "
"Water","","","","","$0.00 "
"Dairy ","","","","",""
"Butter M","","","$14.99 ","","$14.99 "
"Butter T","","","","","$0.00 "
"Eggs","$2.99 ","","$12.22 ","","$15.21 "
"Ice cream","$15.76 ","","","","$15.76 "
"Milk 0%","","$9.99 ","$35.00 ","","$44.99 "
"milk 1%","","$12.00 ","","","$12.00 "
"milk 2%","$22.98 ","","","","$22.98 "
"Chop Sticks","","","","","$0.00 "
"House","","","","",""
"Chef Knife","","","","",""
"HP Ink","","","","",""
"Chop Sticks","$8.65 ","","$18.99 ","","$27.64 "
