"SellerRu","SellerBu","SellerCitCode","SellerPg","CpRu","CpBu","CpCitCode","CpPg","IgAccount","InvoiceNumber","InvoiceDate","PoReferenceNumber","Currency","Amount","Comment","DueDate","ProjectName","Poc","ProjectContractValue","AmountLocalCurrency","LoadDate","ReportingPeriod","Item"
"CZABB","EPMV","CZABB-F","3442","QAABB","EPMV","QAABB","3446","IGB165","90779825","2/10/2016 0:00","3197405820","USD","1165","","4/14/2016 0:00","","","","","4/1/2016 18:04","2016_03A","5426"
"","PAPG","CZABB-Z","2869","QAABB","PAOG","QAABB","4449","IGB165","56042003","3/16/2016 0:00","3197405398","USD","209501.4","","5/26/2016 0:00","","","","","4/1/2016 18:04","2016_03A","5425"
"","EPMV","CZABB-F","3410","QAABB","EPMV","QAABB","3446","IGB705","89006169","3/22/2016 0:00","vyrov.fa se zal.89006169","EUR","-41475.7","","11/12/2014 0:00","","","","","4/1/2016 18:04","2016_03A","5424"
"","PGGA","CZABB-Z","2875","QAABB","PGGA","QAABB","2879","IGB165","90789470","3/29/2016 0:00","3197405892","EUR","9322","","6/15/2016 0:00","","","","","4/1/2016 18:04","2016_03A","5423"
"CHABB","ZCCO","CHABB","9941","QAABB","EPMV","QAABB","3442","IGB165","90260474","3/21/2016 0:00","91012497","CHF","3501.35","","","","","","","4/1/2016 14:30","2016_03A","3433"
"","ZCCO","CHABB","9941","QAABB","EPMV","QAABB","3442","IGB165","90256051","2/22/2016 0:00","91012497","CHF","3501.35","","","","","","","4/1/2016 14:30","2016_03A","3431"
"","ZCCO","CHABB","9941","QAABB","EPMV","QAABB","3442","IGB165","90259780","3/18/2016 0:00","91012496","CHF","795","","","","","","","4/1/2016 14:30","2016_03A","3432"
"","PGGA","CHABB","2875","QAABB","PGGI","QAABB","2882","IGB705","1400156613","2/26/2015 0:00","","CHF","-330000","","","","","","","4/1/2016 14:29","2016_03A","453"
"","PGGA","CHABB","2875","QAABB","PGGI","QAABB","2881","IGB705","1400170351","9/14/2015 0:00","","CHF","-28500","","","","","","","4/1/2016 14:29","2016_03A","451"
"","PGGA","CHABB","2875","QAABB","PGGI","QAABB","2881","IGB705","90251837","1/21/2016 0:00","3197404977","CHF","25333.3","","","","","","","4/1/2016 14:29","2016_03A","452"
"AEFLC","DMDR","AEFLC","4159","QAABB","DMDR","QAABB","4159","IGB165","1663200746","3/22/2016 0:00","3197405975","EUR","1135.75","","","","","","4703.49","4/1/2016 10:20","2016_03A","121"
"","DMDR","AEFLC","4159","QAABB","DMDR","QAABB","4159","IGB165","1663200791","3/24/2016 0:00","3197405612","EUR","11833.88","","","","","","48621.74","4/1/2016 10:20","2016_03A","122"
"","DMDR","AEFLC","4159","QAABB","DMDR","QAABB","4159","IGB165","1663200120","1/24/2016 0:00","3197405755","EUR","4461.64","","","","","","17748.58","4/1/2016 10:20","2016_03A","117"
"","DMDR","AEFLC","4159","QAABB","DMDR","QAABB","4159","IGB165","1663200340","10/2/2016 0:00","3197405726","EUR","18238.02","","","","","","75170.92","4/1/2016 10:20","2016_03A","118"
"","PAMP","AEFLC","3199","QAABB","PAPG","QAABB","2869","IGB195","1505001436","12/18/2015 0:00","CIT-2015-24","USD","35.63","","","","","","130.88","4/1/2016 10:20","2016_03A","66"
"","DMDR","AEFLC","4117","QAABB","PAOG","QAABB","4449","IGB705","1405000888","8/26/2014 0:00","CIT 2014 16","USD","-94864.4","","","","","","-348484.37","4/1/2016 10:20","2016_03A","29"
"","","","","","","","","","","","","","","","","","","","","","",""
