"","","Labour","","","","","","Labour","","","","","","","","","",""
"","R/O ","Sales","Hours","Effective","Tech","%","R/O ","Sales","Hours","Effective","Tech","%","","","","","",""
"","Number","Amount","Charged","Rate","","Gross","Number","Amount","Charged","Rate","","Gross","","","","","",""
"1","RV63758","$19.99","0.5"," $ 39.98 ","148","50%","RV63769","$11.00","0.1"," $ 110.00 ","92","67%","","","","","",""
"2","RV63768","$50.08","0.5"," $ 100.16 ","176","86%","RV63754","$79.60","1.0"," $ 79.60 ","187","84%","","","","","",""
"3","RV63766","$35.00","0.5"," $ 70.00 ","92","74%","RV63762","$34.95","0.5"," $ 69.90 ","148","71%","","","","","",""
"4","RV63755","$47.03","0.6"," $ 78.38 ","148","74%","RV63720","$241.40","2.0"," $ 120.70 ","185","87%","","","","","",""
"5","RV63761","$104.90","1.5"," $ 69.93 ","176","80%","RV63751","$52.00","0.7"," $ 74.29 ","092","76%","","","","","",""
"6","RV63625","$225.30 ","2.0"," $ 112.65 ","187","88%","RV63703","$153.90","1.4"," $ 109.93 ","176","87%","","","","","",""
"7","RV63628","$11.00","1.0"," $ 11.00 ","185","","RV63629","$57.10","0.7"," $ 81.57 ","187","","","","","","",""
"8","RV63607","$70.36","0.8"," $ 87.95 ","185","","RV63632","$79.95","1.0"," $ 79.95 ","148","","","","","","",""
"9","RV63627","$236.80","2.5"," $ 94.72 ","92","","RV63637","$18.99","0.5"," $ 37.98 ","148","","","","","","",""
"10","RV63634","$248.60","2.7"," $ 92.07 ","185","","RV63641","$35.00","0.5"," $ 70.00 ","176","","","","","","",""
"11","RV63633","$87.10","1.2"," $ 72.58 ","187","","RV63643","$32.99","0.3"," $ 109.97 ","148","","","","","","",""
"12","RV63630","$156.72","1.5"," $ 104.48 ","185","","RV63595","$54.98","0.5"," $ 109.96 ","148","","","","","","",""
"13","RV63607","$246.40","2.2"," $ 112.00 ","185","","RV63636","$57.02","0.6"," $ 95.03 ","92","","","","","","",""
"14","RV63642","$116.60","1.7"," $ 68.59 ","187","","RV63644","$29.95","0.5"," $ 59.90 ","185","","","","","","",""
"15","RV63638","$149.16","2.2"," $ 67.80 ","92","","RV63626","$355.12","3.7"," $ 95.98 ","144","","","","","","",""
"16","RV63631","$51.10","1.0"," $ 51.10 ","92","","RV63658","$281.70","2.8"," $ 100.61 ","187","","","","","","",""
"17","RV63639","$288.35","3.3"," $ 87.38 ","176","","RV63721","$89.99","0.9"," $ 99.99 ","148","","","","","","",""
"18","RV63640","$543.27","5.6"," $ 97.01 ","148","","RV63740","$49.99","0.5"," $ 99.98 ","148","","","","","","",""
"19","RV63661","$150.50","2.1"," $ 71.67 ","176","","RV63731","$39.00","1.2"," $ 32.50 ","92","","","","","","",""
"20","RV63656","$209.95","2.1"," $ 99.98 ","92","","","","","","","","","","","","",""
"21","RV63649","$176.93","2.2"," $ 80.42 ","148","","","","","","","","","","","","",""
"22","RV63654","$124.60","1.3"," $ 95.85 ","185","","","","","","","","","","","","",""
"23","RV63715","$168.03","2.2"," $ 76.38 ","148","","","","","","","","","","","","",""
"24","RV63733","$412.78","4.0"," $ 103.20 ","148","","","","","","","","","","","","",""
"25","RV63743","$19.99","0.5"," $ 39.98 ","148","","","","","","","","","","","","",""
"26","RV63736","$19.99","0.5"," $ 39.98 ","185","","","","","","","","","","","","",""
"27","RV63734","$79.95","1.0"," $ 79.95 ","176","","","","","","","","","","","","",""
"28","RV63708","$79.95","1.0"," $ 79.95 ","92","","","","","","","","","","","","",""
"29","RV63696","$79.95","0.6"," $ 133.25 ","185","","","","","","","","","","","","",""
"","Totals","$4,210.38","48.8"," $ 86.28 ","","75%","Totals"," $ 1,754.63 ","19.4"," $ 90.44 ","","79%","","","","","",""
"","","# of R.O.'s","10","","","","","# of R.O.'s","7","","","","","","","","",""
"","","Hours per repair order*","4.88","","","","","Hours per repair order*","2.77","","","","","","","","",""
"","","","","* Hours per repair order equals total hours sold divided by number of repair orders closed","","","","","","","","","","","","","",""
"","","","","","","","R.O.'s","Hours","Hrs/R.O.","","","","","","","","",""
"","","","","","","","17.0","0.0","0.00","","","","","","","","",""
