"City","Name","Sum of Calls","Sum of Units","Sum of Value"
"Lima","Drew","4","7","$327.60"
"","Morgan","11","18","$571.14"
"","Taylor","5","3","$120.60"
"Cairo","Drew","9","58","$1,461.60"
"","Morgan","9","21","$967.47"
"","Taylor","11","15","$645.45"
"London","Drew","7","18","$502.02"
"","Morgan","1","0","$0.00"
"","Taylor","13","27","$1,291.95"
"Montreal","Drew","8","19","$621.87"
"","Morgan","2","5","$232.45"
"","Taylor","10","16","$530.88"
"New York","Drew","10","23","$901.60"
"","Morgan","10","11","$381.26"
"","Taylor","12","10","$458.80"
"Rome","Drew","6","12","$568.32"
"","Morgan","16","23","$607.43"
"","Taylor","16","103","$4,900.74"
"Shanghai","Drew","5","4","$141.64"
"","Morgan","15","20","$787.20"
"","Taylor","20","28","$1,072.40"
"Grand Total","","200","441","$17,092.42"
