"","Model","Fuel","Incentive on Orders  (1st Dec'16 ~ 29th Dec'16)","","","Incentive on Retail
 (1st Dec'16 ~ 29th Dec'16)","",""
"","","","Month End ","Higher Slab","","","",""
"","Eon","Petrol","5,000","7,000","","2,000","",""
"","i10","Petrol","5,000","7,000","","2,000","",""
"","Grand i10","P & D","10,000","12,000","","2,000","",""
"","Xcent","Petrol","7,000","9,000","","2,000","",""
"","","Diesel","5,000","7,000","","2,000","",""
"","Elite i20","P & D","8,000","10,000","","2,000","",""
"","Active","P & D","8,000","10,000","","2,000","",""
"","Verna","P & D","10,000","12,000","","2,000","",""
"","Santa Fe","Diesel","100,000","100,000","","2,000","",""
"","Eligibility Condition","",">=100% Orders &
>= 100% Retails
All Dealers","A1,A2,A3",">=110% Orders &
>= 110% Retails","
>=100% Orders &
 >=100  % Retails
","",""
"","","","","A4,A5,A6",">=115% Orders &
>= 115% Retails","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
