"Sales Report","","","","",""
"Item","Country","Budget","Actual","Variance"," Absolute Variance"
"Pen","USA","15","13","-2","2"
"","UK","29","41","12","12"
"","Belgium","14","10","-4","4"
"","Denmark","11","36","25","25"
"","Germany","42","55","13","13"
"","Austria","3","22","19","19"
"","France","66","1","-65","65"
"","Italy","5","30","25","25"
"","New Zealand","37","32","-5","5"
"Pencil","France","25","22","-3","3"
"","Denmark","18","3","-15","15"
"","New Zealand","43","33","-10","10"
"","Germany","28","27","-1","1"
"","Australia","4","23","19","19"
"","UK","19","24","5","5"
"","USA","9","1","-8","8"
"","Spain","16","34","18","18"
"","Ukraine","45","21","-24","24"
"Ruler","Spain","8","46","38","38"
"","Denmark","38","42","4","4"
"","New Zealand","39","35","-4","4"
"","Belgium","26","20","-6","6"
"","UK","40","31","-9","9"
"","France","17","7","-10","10"
"","Germany","2","6","4","4"
"","USA","44","12","-32","32"
