Zone Name,Market Name,Location,UPC,Name,PSA Category Name,Pack Type,CORE,Capacity,Total Unit Movement,Total PFP Facings,Total $ Movement,Delete- store only- no package,desired outcome for location 10298 considering package
FLORIDA,WEST FLORIDA,10298,1820053047,Bud Light 12/12C,Premium,Multi,CORE,6,1.64,8,20.52,,
,WEST FLORIDA,10298,1820000545,Natural Ice 4/16C,Sub Premium,Multi,,20,3.54,10,15.2,,
,WEST FLORIDA,10298,1820000542,Busch 4/16C,Sub Premium,Multi,,16,3.21,8,13.82,,
,WEST FLORIDA,10298,1820053308,Bud Light 18/12B,Premium,Multi,,6,0.82,12,13.13,,
,WEST FLORIDA,10298,1820053218,Bud Light 18/12C,Premium,Multi,,5,0.71,9,11.42,,
,WEST FLORIDA,10298,7199030069,Coors Light 12/12B,Premium,Multi,,2,0.86,3,10.7,,
,WEST FLORIDA,10298,1820000833,Bud Light 6/12B,Premium,Multi,CORE,5,1.32,3,10.55,,
,WEST FLORIDA,10298,7199030104,Coors Light 9/16AL,Premium,Multi,,6,0.93,6,10.21,,
,WEST FLORIDA,10298,8066095605,Corona Extra 6/12B,Imports,Multi,,3,0.79,2,8.25,,
,WEST FLORIDA,10298,8992427898,Yuengling Traditional Lager 12/12C,Premium,Multi,,4,0.61,6,7.88,,
,WEST FLORIDA,10298,1820000538,Bud Light 4/16C,Premium,Multi,,4,1.5,2,7.85,,
,WEST FLORIDA,10298,1820006991,Michelob Ultra 12/12C SC,Specialty,Multi,,6,0.5,8,7.5,,
,WEST FLORIDA,10298,8066095615,Corona Extra 12/12B,Imports,Multi,,4,0.43,6,7.15,,
,WEST FLORIDA,10298,3410057636,Miller Lite 12/12C,Premium,Multi,CORE,3,0.57,4,7.13,,
,WEST FLORIDA,10298,1820000544,Natural Light 4/16C,Sub Premium,Multi,,8,1.68,4,7.1,,
,WEST FLORIDA,10298,1820020998,Bud Light 8/16AL,Premium,Multi,,5,0.68,4,6.78,,
,WEST FLORIDA,10298,1820005989,Michelob Ultra 6/12B,Specialty,Multi,,3,0.75,2,6.74,,
,WEST FLORIDA,10298,78615000014,Stella Artois 12/11B,Imports,Multi,,4,0.39,6,6.68,,
,WEST FLORIDA,10298,1820005990,Michelob Ultra 12/12B,Specialty,Multi,,4,0.43,6,6.43,,
,WEST FLORIDA,10298,3410057023,Miller Lite 9/16AL,Premium,Multi,,6,0.57,6,6.28,,
,WEST FLORIDA,10298,8992427896,Yuengling Traditional Lager 12/12B,Premium,Multi,,4,0.46,6,6.03,,
,WEST FLORIDA,10298,1820000801,Busch Light 12/12C,Sub Premium,Multi,,3,0.64,4,5.78,,
,WEST FLORIDA,10298,1820015047,Natural Light 12/12C,Sub Premium,Multi,,3,0.64,4,5.78,,
,WEST FLORIDA,10298,3410000160,Icehouse 4/16C,Sub Premium,Multi,,8,1.32,4,5.47,,
,WEST FLORIDA,10298,1820000769,Bud Light 12/12B,Premium,Multi,CORE,4,0.43,6,5.36,,
,WEST FLORIDA,10298,1820011047,Budweiser 12/12C,Premium,Multi,,5,0.43,6,5.36,,
,WEST FLORIDA,10298,7199000048,Coors Light 12/12C,Premium,Multi,,3,0.43,4,5.36,,
,WEST FLORIDA,10298,3410000783,Icehouse Edge 4/16C,Sub Premium,Multi,,4,1.25,2,5.35,,
,WEST FLORIDA,10298,1820000537,Budweiser 4/16C,Premium,Multi,,4,1.04,2,5.22,,
,WEST FLORIDA,10298,1820017999,Bud Light 12/8C,Premium,Multi,,3,0.64,4,5.14,,
,WEST FLORIDA,10298,8992427891,Yuengling Traditional Lager 6/12B,Premium,Multi,,3,0.64,2,5.14,,
,WEST FLORIDA,10298,1820000771,Budweiser 12/12B,Premium,Multi,,3,0.39,4,4.91,,
,WEST FLORIDA,10298,8992460016,Yuengling Traditional Lager 4/16C,Premium,Multi,,4,0.86,2,4.42,,
,WEST FLORIDA,10298,75452700022,New Belgium Fat Tire Amber Ale 6/12B,Micro,Multi,,3,0.39,2,4.32,,
,WEST FLORIDA,10298,7289000016,Heineken 12/12B,Imports,Multi,,2,0.25,3,4,,
,WEST FLORIDA,10298,3410057340,Miller Lite 18/12C,Premium,Multi,,3,0.21,6,3.53,,
,WEST FLORIDA,10298,8769230050,Samuel Adams Seasonal 6/12B,Micro,Multi,,3,0.32,2,3.53,,
,WEST FLORIDA,10298,1820000834,Budweiser 6/12B,Premium,Multi,,3,0.32,2,2.56,,
,WEST FLORIDA,10298,3410008716,Redd's Apple Ale 6/12B,Specialty,Multi,,3,0.21,2,2.35,,
,WEST FLORIDA,10298,2210000078,Pabst 4/16C,Sub Premium,Multi,,4,0.5,2,2.19,,
,WEST FLORIDA,10298,1820014990,Bud Light Lime 12/12B,Specialty,Multi,,2,0.14,3,2.14,,
,WEST FLORIDA,10298,1820061047,Busch 12/12C,Sub Premium,Multi,,6,0.21,9,1.92,,
,WEST FLORIDA,10298,7199030202,Coors Light 4/16C,Premium,Multi,,5,0.36,2,1.89,,
,WEST FLORIDA,10298,7289000011,Heineken 6/12B,Imports,Multi,,3,0.14,2,1.5,,
,WEST FLORIDA,10298,3410057505,Miller Lite 6/12B,Premium,Multi,,3,0.18,2,1.29,,
,WEST FLORIDA,10298,1820000543,Busch Light 4/16C,Sub Premium,Multi,,4,0.29,2,1.23,,
,WEST FLORIDA,10298,3410000158,Miller Lite 4/16C,Premium,Multi,,5,0.25,2,1.23,,
,WEST FLORIDA,10298,8066095675,Corona Light 12/12B,Imports,Multi,,4,0.07,6,1.21,,
,WEST FLORIDA,10298,9200002000,Small Town Not Your Fathers RtBr 6/12B,Micro,Multi,,3,0.11,2,1.18,,
,WEST FLORIDA,10298,8066095715,Modelo 12/12C,Imports,Multi,,4,0.07,6,0.99,,
,WEST FLORIDA,10298,7825000464,Steel Res. High Gravity 4/16C,Malt Liquor,Multi,,4,0.18,2,0.77,,
,WEST FLORIDA,10298,1820020002,Best Damn Root Beer 6/12B,Specialty,Multi,,3,0.07,2,0.74,,delete
