"","","","",""
"","Actual Table","","",""
"","A","A01101","  21,051,960 ",""
"","","A01158","  1,337,120 ",""
"","","A01202","  31,507,272 ",""
"","","A01203","  39,588,720 ",""
"","","A01207","  2,687,400 ",""
"","TOTAL","","  96,172,472 ",""
"","B","A01101","  31,336,020 ",""
"","","A01158","0",""
"","","A01202","  25,717,440 ",""
"","","A01203","  42,072,852 ",""
"","","A01207","  2,745,000 ",""
"","TOTAL","","  101,871,312 ",""
"","C","A01101","  3,924,390 ",""
"","","A01158","0",""
"","","A01202","  497,760 ",""
"","","A01203","  514,452 ",""
"","","A01207","  10,800 ",""
"","TOTAL","","  4,947,402 ",""
