"","",""
"Row labels","Cost","% of Total"
"A & A GLOBAL INDUSTRIES  EQ","",""
"Cranes/Merchandisers - New","",""
"4 COL STICKER MACHINE W/STAND","348.20 ","0.59%"
"Cranes/Merchandisers - New Total","348.20 ","0.59%"
"Redemption- New","",""
"2001 MACHINE 25""","96.65 ","0.16%"
"PN95 MACHINE W/PLASTIC GLOBE","53.00 ","0.09%"
"Redemption- New Total","149.65 ","0.25%"
"A & A GLOBAL INDUSTRIES  EQ Total","497.85 ","0.84%"
"AMERICAN CHANGER CORP       EQ","",""
"Bill Changers/Token Dispensers","",""
"AC 1000 HEADER","34.00 ","0.06%"
"AC 1072 BASE","0.01 ","0.00%"
"AC 2000 BASE & HEADER COMBO","99.00 ","0.17%"
"AC 2071 DOUBLE DEBIT BASE","0.01 ","0.00%"
"AC 6002","740.53 ","1.25%"
"AC1000","0.01 ","0.00%"
"AC1000 Base","110.00 ","0.18%"
"AC1000 No Validator","1,060.00 ","1.78%"
"AC1001 With Coinco Validator","0.01 ","0.00%"
"AC1001 With PYRAMID Validator","1,269.00 ","2.13%"
"AC1002 High Security","1,475.00 ","2.48%"
"AC1005 Rear Load","1,409.00 ","2.37%"
"AC1070 AC1000-AC1001 Base","110.01 ","0.18%"
"AC1075 AC1000-AC1001 Header","60.01 ","0.10%"
"AC1076 AC1002 Regular Base","0.01 ","0.00%"
"AC1090 Large Alarm","0.01 ","0.00%"
"AC2000 No Validator","1,475.00 ","2.48%"
"AC2001 Coinco Validator","0.01 ","0.00%"
"AC2001 WITH VALIDATOR","1,679.00 ","2.82%"
"AC2002 High Security 2 Validat","2,329.00 ","3.92%"
"AC2002.1 High Security 1 Valid","2,039.00 ","3.43%"
"AC2003 Change or Token Front","1,785.00 ","3.00%"
"AC2004","1,195.00 ","2.01%"
"AC2005 Rear Load Dual Hoppers","1,845.00 ","3.10%"
"AC2006 Credit Card to Token Fr","3,679.00 ","6.19%"
"AC2070 AC2001 Base","145.00 ","0.24%"
"AC2075 AC2001 HEADER","69.00 ","0.12%"
"AC2076 AC2002 H/S Base","320.00 ","0.54%"
"AC2076 AC2002-AC7000 Base","320.00 ","0.54%"
"AC2076.1 AC2002 Regular Base","378.00 ","0.64%"
"AC2077 Vending Header AC2002","81.00 ","0.14%"
"AC2221 Rear Load (2 AC1005's)","2,515.00 ","4.23%"
"AC2225 Rear Load (2 in 1)","2,575.00 ","4.33%"
"AC250 Token Dispenser","1,205.00 ","2.03%"
"AC300 Mini Changer","339.00 ","0.57%"
"AC3070 AC300 Base","0.01 ","0.00%"
"AC3075 AC300 Header","0.01 ","0.00%"
"AC400 $1.00 Acceptor","799.00 ","1.34%"
"AC500 $1 & $5 Acceptor","979.01 ","1.65%"
"AC500 No Validator","0.01 ","0.00%"
"AC501 1-Bin Phone Card Machine","1,649.00 ","2.77%"
"AC502 2-Bin Phone Card Machine","1,989.00 ","3.34%"
"AC5070 AC400-AC500 Base","110.00 ","0.18%"
"AC5075 AC400-AC500 Header","55.00 ","0.09%"
"AC6000 Change Front","3,505.01 ","5.89%"
"AC6000 Token Front","3,505.01 ","5.89%"
"AC6007 Credit Card to Token","5,509.00 ","9.26%"
"AC6075 AC6000 Change Marquee","147.00 ","0.25%"
"AC6075.1 AC6000 Token Marquee","147.00 ","0.25%"
"AC7000 Bill Dispenser","3,295.00 ","5.54%"
"AC7505 Rear Load Bill to B & C","0.02 ","0.00%"
"HOPPER EXTENSION (AMER CHANG)","0.01 ","0.00%"
"Bill Changers/Token Dispensers Total","52,028.71 ","87.48%"
"AMERICAN CHANGER CORP       EQ Total","52,028.71 ","87.48%"
"BETSON CARLSTADT WAREHOUSE 210","",""
"Bill Changers/Token Dispensers","",""
"AC 1076  1002 REGULAR BASE","89.00 ","0.15%"
"AC 2065.1 ROLL DOWN COIN MECH","99.00 ","0.17%"
"AC1002 High Security","0.00 ","0.00%"
"AC1076 AC1002 REG BASE","0.00 ","0.00%"
"AC1077 AC1002 Header","69.00 ","0.12%"
"AC2002 High Security 2 Validat","0.00 ","0.00%"
"AC2003 Change or Token Front","0.00 ","0.00%"
"AC2066.5 IDX Electronic C/A","269.00 ","0.45%"
"AC2070 AC2001 Base","0.00 ","0.00%"
"AC2076 AC1002 H/S BASE","0.00 ","0.00%"
"AC250 Token Dispenser","0.00 ","0.00%"
"AC400 $1.00 Acceptor","0.01 ","0.00%"
"AC6007 Credit Card to Token","0.01 ","0.00%"
"AC6075.1 AC6000 Token Marquee","0.00 ","0.00%"
"AC7000 Bill Dispenser","0.00 ","0.00%"
"AC7005 Bill Dispenser Rear Loa","3,495.00 ","5.88%"
"AC7502 Bill to Bill & Coin","0.00 ","0.00%"
"AMERICAN CHANGER 400 BASE","60.00 ","0.10%"
"Bill Changers/Token Dispensers Total","4,081.02 ","6.86%"
"Cranes/Merchandisers - Used","",""
"4 COL STICKER MACHINE W/STAND","0.00 ","0.00%"
"Cranes/Merchandisers - Used Total","0.00 ","0.00%"
"Redemption- Used","",""
"2001 MACHINE 25""","0.00 ","0.00%"
"PN95 MACHINE W/PLASTIC GLOBE","0.00 ","0.00%"
"Redemption- Used Total","0.00 ","0.00%"
"BETSON CARLSTADT WAREHOUSE 210 Total","4,081.02 ","6.86%"
"BETSON ENTERPRISES          EQ","",""
"Bill Changers/Token Dispensers","",""
"AC7502 Bill to Bill & Coin","68.00 ","0.11%"
"Bill Changers/Token Dispensers Total","68.00 ","0.11%"
"Redemption- New","",""
"SOLAR SPIN","1,400.00 ","2.35%"
"Redemption- New Total","1,400.00 ","2.35%"
"Redemption- Used","",""
"SOLAR SPIN","1,400.00 ","2.35%"
"Redemption- Used Total","1,400.00 ","2.35%"
"BETSON ENTERPRISES          EQ Total","2,868.00 ","4.82%"
"JOSEPH CIRILLO","",""
"Bill Changers/Token Dispensers","",""
"CENTURY 6 CHANGER COMPLETE","0.01 ","0.00%"
"Bill Changers/Token Dispensers Total","0.01 ","0.00%"
"JOSEPH CIRILLO Total","0.01 ","0.00%"
"LAZER-TRON CORP             EQ","",""
"Amusement Games - New","",""
"CABINET - 25"" CONVERSION","0.01 ","0.00%"
"Amusement Games - New Total","0.01 ","0.00%"
"Redemption- New","",""
"SOLAR SPIN","0.01 ","0.00%"
"Redemption- New Total","0.01 ","0.00%"
"Redemption- Used","",""
"SOLAR SPIN","0.01 ","0.00%"
"Redemption- Used Total","0.01 ","0.00%"
"Video Games- Used","",""
"BATMAN FOREVER U/R","0.01 ","0.00%"
"CABINET - 25"" CONVERSION","0.01 ","0.00%"
"NBA JAM EXTREME","0.01 ","0.00%"
"Video Games- Used Total","0.03 ","0.00%"
"LAZER-TRON CORP             EQ Total","0.06 ","0.00%"
"Total","59,475.65 ","100.00%"
