"Cornwall Glass Plymouth Trade Counter","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"Customer Ref: Jones","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"Product","Quanity","Width in mm","X","Height in mm","M/2","Price","Corner Notch's","","Cut - Outs","","Holes 6 -15 mm","","Holes 16 -38 mm","","","Total"
"","","","","","","","quanity","price","quanity","price","quanity","price","quanity","price","",""
"6mm White Toughened, Lacobel, P/A/R","1","0.600","X","0.250","0.15","20.48","2","£65.00","","£0.00","1","£4.00","1","£8.00","","£97.48"
"6mm Black Toughened, Lacobel, P/A/R","1","1.200","X","0.800","0.96","131.04","1","£32.50","2","£100.00","2","£8.00","","£0.00","","£271.54"
"6mm Light Grey Toughened, Lacobel, P/A/R","1","0.600","X","0.300","0.18","24.57","3","£97.50","1","£50.00","3","£12.00","1","£8.00","","£192.07"
"6mm Dark Grey Toughened, Lacobel, P/A/R","","","X","","0.00","0.00","","£0.00","","£0.00","","£0.00","","£0.00","","£0.00"
"","","","X","","0.00","0.00","","£0.00","","£0.00","","£0.00","","£0.00","","£0.00"
"","","","X","","0.00","0.00","","£0.00","","£0.00","","£0.00","","£0.00","","£0.00"
"","","","X","","0.00","0.00","","£0.00","","£0.00","","£0.00","","£0.00","","£0.00"
"","","","X","","0.00","0.00","","£0.00","","£0.00","","£0.00","","£0.00","","£0.00"
"","","","X","","0.00","0.00","","£0.00","","£0.00","","£0.00","","£0.00","","£0.00"
"","","","X","","0.00","0.00","","£0.00","","£0.00","","£0.00","","£0.00","","£0.00"
"","","","","","","","","","","","","","","","",""
"Template Charge","","","","","","","","","","","","","","","","£0.00"
"","","","","","","","","","","","","","","","",""
"Silicone","","","","","","","","","","","","","","","","£0.00"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","Total","","£561.09"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","Vat 20%","","£112.22"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","Grand Total","","£673.30"
