"code","description","","price €"," DISCOUNTED PRICE","","QUANTITY"
"FIXTURE ZIRTI STRAIGHT and SP","","","","","",""
"A-ZT-330-085","PREMIUM STRAIGHT IMPLANT ZIRTI","D.3.30 H.8.5 MM","146.00","","","10"
"A-ZT-330-100","PREMIUM STRAIGHT IMPLANT ZIRTI","D.3.30 H.10 MM","146.00","","","10"
"A-ZT-330-115","PREMIUM STRAIGHT IMPLANT ZIRTI","D.3.30 H.11.5 MM","146.00","","","10"
"A-ZT-330-130","PREMIUM STRAIGHT IMPLANT ZIRTI","D.3.30 H.13 MM","146.00","","","20"
"A-ZT-330-150","PREMIUM STRAIGHT IMPLANT ZIRTI","D.3.30 H.15 MM","146.00","","","10"
"A-ZT-380-085","PREMIUM STRAIGHT IMPLANT ZIRTI","D.3.80 H.8.50 MM","146.00","","","5"
"A-ZT-380-100","PREMIUM STRAIGHT IMPLANT ZIRTI","D.3.80 H.10 MM","146.00","","","10"
"A-ZT-380-115","PREMIUM STRAIGHT IMPLANT ZIRTI","D.3.80 H.11.5 MM","146.00","","","10"
"A-ZT-380-130","PREMIUM STRAIGHT IMPLANT ZIRTI","D.3.80 H.13 MM","146.00","","","20"
"A-ZT-380-150","PREMIUM STRAIGHT IMPLANT ZIRTI","D.3.80 H.15 MM","146.00","","","5"
"A-ZT-380-180","PREMIUM STRAIGHT IMPLANT ZIRTI","D.3.80 H.18 MM","146.00","","",""
"A-ZT-380SP-085","PREMIUM SP IMPLANT ZIRTI","D.3.80 H.8.5 MM","146.00","","",""
"A-ZT-380SP-100","PREMIUM SP IMPLANT ZIRTI","D.3.80 H.10 MM","146.00","","",""
"A-ZT-380SP-115","PREMIUM SP IMPLANT ZIRTI","D.3.80 H.11.5 MM","146.00","","",""
"A-ZT-380SP-130","PREMIUM SP IMPLANT ZIRTI","D.3.80 H.13 MM","146.00","","",""
"A-ZT-380SP-150","PREMIUM SP IMPLANT ZIRTI","D.3.80 H.15 MM","146.00","","",""
"A-ZT-425-070","PREMIUM STRAIGHT IMPLANT ZIRTI","D.4.25 H.7 MM","146.00","","","5"
"A-ZT-425-085","PREMIUM STRAIGHT IMPLANT ZIRTI","D.4.25 H.8.5 MM","146.00","","","10"
"A-ZT-425-100","PREMIUM STRAIGHT IMPLANT ZIRTI","D.4.25 H.10 MM","146.00","","","10"
"A-ZT-425-115","PREMIUM STRAIGHT IMPLANT ZIRTI","D.4.25 H.11.5 MM","146.00","","","10"
"A-ZT-425-130","PREMIUM STRAIGHT IMPLANT ZIRTI","D.4.25 H.13 MM","146.00","","","10"
"A-ZT-425-150","PREMIUM STRAIGHT IMPLANT ZIRTI","D.4.25 H.15 MM","146.00","","",""
"A-ZT-425-180","PREMIUM STRAIGHT IMPLANT ZIRTI","D.4.25 H.18 MM","146.00","","",""
"A-ZT-425SP-070","PREMIUM SP IMPLANT ZIRTI","D.4,25 H.7 MM","146.00","","",""
"A-ZT-425SP-085","PREMIUM SP IMPLANT ZIRTI","D.4.25 H.8.5 MM","146.00","","",""
"A-ZT-425SP-100","PREMIUM SP IMPLANT ZIRTI","D.4.25 H.10 MM","146.00","","",""
"A-ZT-425SP-115","PREMIUM SP IMPLANT ZIRTI","D.4.25 H.11.5 MM","146.00","","",""
"A-ZT-425SP-130","PREMIUM SP IMPLANT ZIRTI","D.4.25 H.13 MM","146.00","","",""
"A-ZT-425SP-150","PREMIUM SP IMPLANT ZIRTI","D.4.25 H.15 MM","146.00","","",""
"A-ZT-500-070","PREMIUM STRAIGHT IMPLANT ZIRTI","D.5.00 H.7 MM","146.00","","","10"
"A-ZT-500-085","PREMIUM STRAIGHT IMPLANT ZIRTI","D.5.00 H.8.5 MM","146.00","","","20"
"A-ZT-500-100","PREMIUM STRAIGHT IMPLANT ZIRTI","D.5.00 H.10 MM","146.00","","","20"
"A-ZT-500-115","PREMIUM STRAIGHT IMPLANT ZIRTI","D.5.00 H.11.5 MM","146.00","","","10"
"A-ZT-500-130","PREMIUM STRAIGHT IMPLANT ZIRTI","D.5.00 H.13 MM","146.00","","","10"
"A-ZT-500-150","PREMIUM STRAIGHT IMPLANT ZIRTI","D.5.00 H.15 MM","146.00","","",""
"A-ZT-500SP-070","PREMIUM SP IMPLANT ZIRTI","D.5.00 H.7 MM","146.00","","",""
"A-ZT-500SP-085","PREMIUM SP IMPLANT ZIRTI","D.5.00 H.8.5 MM","146.00","","",""
"A-ZT-500SP-100","PREMIUM SP IMPLANT ZIRTI","D.5.00 H.10 MM","146.00","","",""
"A-ZT-500SP-115","PREMIUM SP IMPLANT ZIRTI","D.5.00 H.11.5 MM","146.00","","",""
"A-ZT-500SP-130","PREMIUM SP IMPLANT ZIRTI","D.5.00 H.13 MM","146.00","","",""
"A-ZT-500SP-150","PREMIUM SP IMPLANT ZIRTI","D.5.00 H.15 MM","146.00","","",""
"TOTAL","","","","58.4","","225"
"SURICAL COVER SCREW","","","","","",""
"A-VT-330","SURGICAL COVER SCREW PREMIUM","D.3.30 MM","22.00","","",""
"A-VT-380","SURGICAL COVER SCREW PRE/KOH","D.3.80 MM","22.00","","",""
"A-VT-425","SURGICAL COVER SCREW PRE/KOH","D.4.25 MM","22.00","","",""
"A-VT-500","SURGICAL COVER SCREW PRE/KOH","D.5.00 MM","22.00","","",""
"PROSTHESIS","","","","","",""
"I-ANALOGUE for IMPLANT ","","","","","",""
"A-ANA-330","ANALOGUE FOR IMPLANT ","PREMIUM D.3.30 MM","31.00","","","25"
"A-ANA-380","ANALOGUE FOR IMPLANT ","PREMIUM D.3.80 MM","31.00","","","25"
