"Weekly Café Target - w/e 21st September  to w/e 26th October 2014 - 6 weeks","","","","","",""
"Druckers","","","","","",""
"Café","Target ","Target ","Target","Target ","Target ","Target"
"","w/e 14/12","w/e 21/12","w/e28/12","w/e 04/01","w/e 11/01","w/e 18/01"
"TOUCHWOOD","  18,200 ","  18,100 ","  15,400 ","  16,100 ","  13,000 ","  13,500 "
"MILTON KEYNES","  28,000 ","  28,000 ","  27,100 ","  25,800 ","  15,700 ","  15,200 "
"WESTON","  8,800 ","  7,800 ","  8,100 ","  6,300 ","  6,100 ","  6,000 "
"CHELTENHAM","  14,800 ","  14,500 ","  11,600 ","  11,700 ","  8,700 ","  8,700 "
"MERRY HILL","  14,400 ","  13,600 ","  9,300 ","  11,500 ","  10,000 ","  9,300 "
"NOTTINGHAM","  16,300 ","  16,400 ","  14,100 ","  13,600 ","  11,000 ","  10,400 "
"TELFORD","  18,200 ","  18,600 ","  15,400 ","  14,900 ","  11,400 ","  10,400 "
"PAVILIONS","  9,700 ","  9,300 ","  6,300 ","  6,300 ","  5,600 ","  5,800 "
"COVENTRY","  5,600 ","  6,000 ","  4,000 ","  3,800 ","  4,200 ","  4,800 "
"LEAMINGTON","  12,800 ","  13,100 ","  10,800 ","  10,200 ","  8,600 ","  8,900 "
"REDDITCH","  9,400 ","  9,500 ","  6,400 ","  7,600 ","  6,000 ","  6,200 "
"HENLEY STREET","  4,800 ","  4,900 ","  6,000 ","  5,600 ","  4,000 ","  3,700 "
"GT.WESTERN","  5,100 ","  5,500 ","  2,800 ","  2,700 ","  3,000 ","  3,100 "
"TAMWORTH","  6,300 ","  6,800 ","  4,600 ","  4,800 ","  5,000 ","  5,200 "
"BURTON","  11,600 ","  12,200 ","  9,600 ","  8,800 ","  8,400 ","  7,900 "
"FOSSE PARK","  12,600 ","  12,600 ","  8,600 ","  10,700 ","  9,700 ","  10,400 "
"SUTTON","  7,800 ","  7,900 ","  5,800 ","  6,200 ","  5,700 ","  5,700 "
"WOLVERHAMPTON","  6,700 ","  7,300 ","  5,200 ","  4,800 ","  5,100 ","  4,900 "
"SPARKHILL","  1,000 ","  1,000 ","  1,000 ","  1,000 ","  1,000 ","  1,000 "
"BULLRING","  23,600 ","  23,100 ","  21,100 ","  19,100 ","  14,700 ","  15,700 "
"CRIBBS","  31,800 ","  31,200 ","  25,800 ","  26,200 ","  20,200 ","  19,900 "
"HALESOWEN","  6,600 ","  7,300 ","  4,800 ","  5,100 ","  5,600 ","  5,700 "
"BROMLEY","  21,000 ","  23,200 ","  17,400 ","  17,400 ","  14,100 ","  14,900 "
"CRAWLEY","  10,600 ","  12,500 ","  9,200 ","  9,600 ","  7,200 ","  6,600 "
"POOLE","  10,500 ","  12,000 ","  10,000 ","  7,900 ","  6,800 ","  7,200 "
"BANBURY","  8,700 ","  8,900 ","  6,900 ","  7,400 ","  6,700 ","  6,500 "
"HANLEY","  17,200 ","  18,600 ","  15,400 ","  14,000 ","  11,500 ","  10,900 "
"LEEDS","  15,500 ","  15,600 ","  12,200 ","  12,600 ","  9,400 ","  9,400 "
"MANCHESTER","  15,700 ","  14,500 ","  11,600 ","  11,700 ","  8,700 ","  9,200 "
"","","","","","",""
"Baker & Spice","","","","","",""
"Belgravia","  24,000 ","  24,000 ","  17,000 ","  19,500 ","  19,500 ","  19,500 "
"Chelsea","  34,000 ","  34,000 ","  23,000 ","  27,000 ","  30,000 ","  30,000 "
"Maida Vale","  22,000 ","  22,000 ","  16,000 ","  18,000 ","  18,000 ","  18,100 "
"Selfridge's","  25,600 ","  24,600 ","  18,000 ","  19,000 ","  22,000 ","  22,000 "
"Other Income","","","","","",""
"Wholesale-Druckers","1000","1000","1000","1000","1000","1000"
"FPC","50000","50000","50000","50000","50000","50000"
"Websales-Druckers","1000","1000","1000","1000","1000","1000"
"Websales-P.V","35000","35000","35000","35000","35000","35000"
"","","","","","",""
"Patisserie Valerie","w/e 14/12","w/e 21/12","w/e28/12","w/e 04/01","w/e 11/01","w/e 18/01"
"Queensway","  13,000 ","  13,000 ","  9,000 ","  9,000 ","  12,000 ","  13,000 "
"Spitalfield","  27,000 ","  27,000 ","  17,500 ","  17,500 ","  23,000 ","  23,000 "
"Kensington","  6,900 ","  6,900 ","  4,900 ","  5,900 ","  5,900 ","  6,600 "
"Piccadilly","  22,200 ","  22,200 ","  17,700 ","  20,000 ","  20,000 ","  22,000 "
"Soho","  20,200 ","  20,200 ","  18,000 ","  18,000 ","  20,000 ","  20,200 "
"Chelsea","0","0","0","0","0","0"
"Gelateria","0","0","0","0","0","0"
"Belgravia","  10,000 ","  9,500 ","  7,600 ","  8,500 ","  8,800 ","  9,500 "
"Marylebone","  24,000 ","  24,000 ","  20,800 ","  20,400 ","  29,100 ","  22,400 "
"Marble Arch","  18,500 ","  18,500 ","  14,400 ","  16,700 ","  15,500 ","  16,000 "
"Covent Garden","  15,500 ","  15,500 ","  13,500 ","  15,500 ","  14,500 ","  14,500 "
"Torrington","  13,500 ","  13,500 ","  7,500 ","  6,500 ","  10,000 ","  11,000 "
"Brunswick","  10,000 ","  10,000 ","  6,500 ","  6,500 ","  8,500 ","  8,500 "
"Cabot's Circus","  19,000 ","  19,000 ","  16,300 ","  17,100 ","  11,800 ","  13,000 "
"Oxford","  12,000 ","  12,000 ","  9,000 ","  8,400 ","  8,600 ","  9,800 "
"Chiswick","  5,750 ","  6,000 ","  5,000 ","  4,500 ","  5,000 ","  5,500 "
"Holland Park","  6,500 ","  6,750 ","  5,500 ","  5,000 ","  6,000 ","  6,250 "
"Clifton","  5,000 ","  5,000 ","  4,000 ","  4,500 ","  4,500 ","  4,500 "
"Kingston","  16,700 ","  16,700 ","  16,400 ","  15,100 ","  12,500 ","  12,800 "
"Long Acre","  12,500 ","  12,500 ","  10,000 ","  11,000 ","  11,000 ","  13,000 "
"Sicilian Avenue","  11,200 ","  10,200 ","  8,200 ","  12,300 ","  11,100 ","  11,800 "
"Victoria","  10,500 ","  10,500 ","  10,000 ","  9,000 ","  9,000 ","  9,500 "
"Cambridge","  25,000 ","  25,000 ","  21,500 ","  23,000 ","  18,000 ","  20,000 "
"Canterbury","  13,000 ","  13,000 ","  12,500 ","  11,900 ","  10,100 ","  10,500 "
"Bath","  20,300 ","  14,400 ","  13,800 ","  12,900 ","  10,100 ","  10,600 "
"Leeds PV","  14,000 ","  13,600 ","  10,200 ","  12,000 ","  10,000 ","  10,000 "
"Marshall Street","  12,000 ","  12,000 ","  9,600 ","  9,000 ","  7,500 ","  8,200 "
"Twickenham","  7,500 ","  8,000 ","  7,000 ","  7,000 ","  7,250 ","  7,750 "
"Charing Cross","  23,000 ","  23,000 ","  22,300 ","  21,000 ","  20,000 ","  22,000 "
"Salisbury","  11,000 ","  11,000 ","  8,200 ","  8,200 ","  9,000 ","  9,000 "
"York","  20,000 ","  19,500 ","  15,200 ","  15,200 ","  10,500 ","  10,500 "
"Windsor","  15,000 ","  15,000 ","  15,000 ","  16,600 ","  10,700 ","  11,500 "
"MANCHESTER","  26,600 ","  24,100 ","  21,500 ","  20,700 ","  15,800 ","  17,700 "
"Liverpool","  16,000 ","  16,000 ","  13,700 ","  12,800 ","  10,500 ","  10,500 "
"Chichester","  14,500 ","  13,100 ","  11,100 ","  10,800 ","  9,900 ","  8,500 "
"Chester","  16,200 ","  16,000 ","  14,800 ","  15,200 ","  9,300 ","  9,800 "
"Peterborough","  9,300 ","  9,800 ","  8,600 ","  7,700 ","  6,200 ","  6,500 "
"Richmond","  6,000 ","  6,800 ","  5,500 ","  5,000 ","  5,700 ","  6,000 "
"Knightsbridge","  30,100 ","  30,100 ","  27,800 ","  32,900 ","  23,100 ","  23,800 "
"Hove","  9,900 ","  9,200 ","  9,600 ","  11,700 ","  10,900 ","  11,100 "
"Edgware Road","  21,600 ","  21,600 ","  17,000 ","  19,000 ","  21,000 ","  22,000 "
"Henley on Thames","  8,800 ","  8,600 ","  9,600 ","  8,600 ","  8,500 ","  8,900 "
"Sheffield","  18,600 ","  20,200 ","  15,800 ","  14,900 ","  13,500 ","  14,900 "
"Bury","  12,000 ","  1,200 ","  10,300 ","  8,900 ","  7,000 ","  7,400 "
"Sutton ","  12,500 ","  12,500 ","  10,000 ","  9,500 ","  10,500 ","  10,000 "
"Leicester","  15,900 ","  16,500 ","  13,100 ","  12,200 ","  10,000 ","  10,300 "
"Kings Cross","  21,500 ","  20,000 ","  11,200 ","  16,400 ","  16,000 ","  17,000 "
"Reading","  20,500 ","  20,700 ","  17,000 ","  18,300 ","  14,400 ","  15,000 "
"Trafford Centre","  11,500 ","  11,100 ","  7,500 ","  11,000 ","  7,100 ","  7,400 "
"North Bridge","  19,750 ","  19,750 ","  15,500 ","  20,600 ","  14,500 ","  14,750 "
"Rose street","  14,500 ","  14,500 ","  13,400 ","  15,900 ","  10,000 ","  10,000 "
"Lincoln","  11,700 ","  11,300 ","  12,500 ","  10,700 ","  8,600 ","  8,700 "
"Eastbourne","  13,800 ","  14,100 ","  13,400 ","  12,800 ","  10,400 ","  10,600 "
"Nottingham","  23,800 ","  22,800 ","  22,000 ","  18,900 ","  14,800 ","  15,800 "
"Ipswich","  13,400 ","  15,400 ","  13,500 ","  12,300 ","  9,800 ","  10,100 "
"Norwich","  18,400 ","  18,200 ","  17,000 ","  15,400 ","  12,100 ","  12,100 "
"Bournemouth","  12,900 ","  13,400 ","  13,400 ","  11,100 ","  9,500 ","  9,200 "
"Portsmouth","  11,000 ","  11,000 ","  8,000 ","  8,500 ","  7,100 ","  6,700 "
"Gloucester","  8,300 ","  8,100 ","  7,000 ","  6,700 ","  6,400 ","  6,300 "
"Southend","  21,300 ","  21,000 ","  19,000 ","  19,000 ","  16,000 ","  16,000 "
"Colchester","  10,000 ","  9,900 ","  9,000 ","  7,800 ","  7,100 ","  7,300 "
"Paddington Station","  6,300 ","  6,000 ","  4,000 ","  4,500 ","  5,000 ","  5,000 "
"Euston Station","  11,000 ","  11,000 ","  5,000 ","  4,500 ","  7,000 ","  7,200 "
"Victoria Station","  9,100 ","  9,000 ","  5,000 ","  6,600 ","  7,000 ","  7,400 "
"Waterloo Station","0","0","0","0","0","0"
"Marylebone Station","  20,400 ","  19,300 ","  11,400 ","  14,300 ","  16,300 ","  16,800 "
"26 St Pancras Station","  21,000 ","  21,000 ","  13,800 ","  15,300 ","  14,100 ","  15,700 "
"41 St Pancras","0","0","0","0","0","0"
"Derby","  13,900 ","  14,600 ","  12,300 ","  12,600 ","  9,500 ","  9,100 "
"Edinburgh George IV Bridge","  11,000 ","  11,000 ","  8,200 ","  8,500 ","  7,500 ","  7,500 "
"Leeds St Pauls","  6,200 ","  7,100 ","  1,200 ","  2,100 ","  5,100 ","  6,300 "
