"60507 - Fitness Memberships","","","","","","",""
"November 30, 2014","","","","","","",""
"November 30, 2014","","","","","","",""
"","","","","FEB2014","","",""
"Membership Type","Month Sold","Proration","GL Code","Opening Balance","Sold","Revenue","Closing Balance"
"2,013.00 ","","","","","","",""
"3month","JAN","3 ??/12","114003-40","0","","","0"
"12 month","JAN","12 ??/12","114003-40","  (0.00)","","0","  (0.00)"
"3month","FEB","3 ??/12","114003-40","0","","","0"
"12 month","FEB","12 ??/12","114003-40","  (0.00)","","","  (0.00)"
"3month","MAR","3 ??/12","114003-40","0","","","0"
"12 month","MAR","12 ??/12","114003-40","0","","0","0"
"3month","APR","3 ??/12","114003-40","0","","","0"
"12 month","APR","12 ??/12","114003-40","0","","","0"
"3month","MAY","3 ??/12","114003-40","0","","","0"
"12 month","MAY","12 ??/12","114003-40","  (0.00)","","","  (0.00)"
"3month","JUN","3 ??/12","114003-40","0","","","0"
"12 month","JUN","12 ??/12","114003-40","0","","","0"
"3month","JUL","3 ??/12","114003-40","0","","","0"
"12 month","JUL","12 ??/12","114003-40","  (0.00)","","0","  (0.00)"
"3month","AUG","3 ??/12","114003-40","0","","0","0"
"12 month","AUG","12 ??/12","114003-40","  (0.00)","","0","  (0.00)"
"3month","SEP","3 ??/12","114003-40","0","","","0"
"12 month","SEP","12 ??/12","114003-40","0","","","0"
"3month","OCT","3 ??/12","114003-40","0","","","0"
"12 month","OCT","12 ??/12","114003-40","  (0.00)","","","  (0.00)"
"3month","NOV","3 ??/12","114003-40","0","","","0"
"12 month","NOV","12 ??/12","114003-40","0","","","0"
"3month","DEC","3 ??/12","114003-40","0","","","0"
"12 month","DEC","12 ??/12","114003-40","  208.35 ","","  208.35 ","0"
"2,014.00 ","","","","","","",""
"3month","JAN","3 ??/12","114003-40","0","","","0"
"12 month","JAN","12 ??/12","114003-40","  416.70 ","","  208.35 ","  208.35 "
"3month","FEB","3 ??/12","114003-40","0","","","0"
"12 month","FEB","12 ??/12","114003-40","  750.00 ","","  250.00 ","  500.00 "
"3month","MAR","3 ??/12","114003-40","0","","","0"
"12 month","MAR","12 ??/12","114003-40","  1,120.00 ","","  280.00 ","  840.00 "
"3month","APR","3 ??/12","114003-40","0","","0","0"
"12 month","APR","12 ??/12","114003-40","  1,000.00 ","","  200.00 ","  800.00 "
"3month","MAY","3 ??/12","114003-40","0","","0","0"
"12 month","MAY","12 ??/12","114003-40","  (0.00)","","","  (0.00)"
"3month","JUN","3 ??/12","114003-40","0","","","0"
"12 month","JUN","12 ??/12","114003-40","  1,166.65 ","","  166.67 ","  999.98 "
"3month","JUL","3 ??/12","114003-40","0","","","0"
"12 month","JUL","12 ??/12","114003-40","  2,266.66 ","","  283.33 ","  1,983.33 "
"3month","AUG","3 ??/12","114003-40","0","","","0"
"12 month","AUG","12 ??/12","114003-40","  1,499.99 ","","  166.66 ","  1,333.33 "
"3month","SEP","3 ??/12","114003-40","  480.00 ","","  480.00 ","0"
"12 month","SEP","12 ??/12","114003-40","  833.34 ","","  83.34 ","  750.00 "
"3month","OCT","3 ??/12","114003-40","  1,600.00 ","","  800.00 ","  800.00 "
"12 month","OCT","12 ??/12","114003-40","  916.67 ","","  83.34 ","  833.33 "
"3month","NOV","3 ??/12","114003-40","0","  2,240.00 ","  746.67 ","  1,493.33 "
"12 month","NOV","12 ??/12","114003-40","  0.00 ","  1,500.00 ","  125.00 ","  1,375.00 "
"3month","DEC","3 ??/12","114003-40","0","","","0"
"12 month","DEC","12 ??/12","114003-40","0","","","0"
"TOTAL","","","0","  12,258.36 ","  3,740.00 ","  4,081.71 ","  11,916.65 "
