"Package Details","",""
"","Monthly","Annual"
"CTC ","  50,000 ","  600,000 "
"Earnings:","",""
"BASIC SALARY","  20,000 ","  240,000 "
"HRA","  8,000 ","  96,000 "
"TRANSPORT ALLOWANCE","  800 ","  9,600 "
"MEDICAL REIMBURSEMENT","  1,250 ","  15,000 "
"SPECIAL ALLOWANCE","  13,083 ","  156,996 "
"TOTAL EARNINGS (Gross)","  30,050 ","  517,596 "
"","",""
"Employer's Contribution:","",""
"Gratuity","  962 ","  11,544 "
"Employer's Provident Fund Contribution","  2,400 ","  28,800 "
"Employer's ESI Contribution","0","0"
"Medical Insuramce","  500 ","  6,000 "
"Peformance Incentive","  3,005 ","  36,060 "
"Total of employer's contribution","  6,867 ","  82,404 "
"","",""
"TOTAL CTC (Cross Verification)","  36,917 ","  600,000 "
