"Year","Agent","Close Date","City","State","Zip Code","Volume / Loan Amount","Property Type","Lender","Gross Fee","Referral Fee","Income","PC Commission"
"2007","Advisor_9","09/13/2007","Concord","CA","94521"," $ 472,000 ","Multifamily","GreenPoint"," $ 9,210.00 "," $ 1,952.00 "," $ 4,379.00 "," $ 4,379.00 "
"","Advisor_9","09/17/2007","Concord","CA","94521"," $ 547,000 ","Multifamily","World Savings"," $ 3,351.25 "," $ 710.25 "," $ 2,070.50 "," $ 2,070.50 "
"","Advisor_9","09/18/2007","San Leandro","CA","94577"," $ 650,000 ","Multifamily","Washington Mutual"," $ 5,600.00 "," $ 1,120.00 "," $ 2,240.00 "," $ 2,240.00 "
"","Advisor_9","09/24/2007","Berkeley","CA","94705"," $ 430,000 ","Multifamily","Washington Mutual"," $ 5,000.00 "," $ 1,000.00 "," $ 2,000.00 "," $ 2,000.00 "
"","Advisor_9","10/26/2007","Yuba City","CA","95991"," $ 1,349,000 ","Multifamily","Washington Mutual"," $ 7,803.75 "," $ 1,560.75 "," $ 3,121.50 "," $ 3,121.50 "
"","Advisor_9","11/08/2007","South Lake Tahoe","CA","96150"," $ 1,160,000 ","Motels","Metro United"," $ 12,325.00 ","0"," $ 6,162.50 "," $ 6,162.50 "
"","Advisor_9","11/26/2007","Alameda","CA","94501"," $ 585,000 ","Multifamily","Luther Burbank Savings"," $ 7,293.75 "," $ 1,458.75 "," $ 2,917.50 "," $ 2,917.50 "
"","Advisor_9","11/30/2007","Redwood City","CA","94062"," $ 720,000 ","Multifamily","Washington Mutual"," $ 3,600.00 ","0"," $ 1,800.00 "," $ 1,800.00 "
"","Advisor_9","12/05/2007","San Francisco","CA","94111"," $ 1,000,000 ","Office","Washington Mutual"," $ 8,500.00 ","0"," $ 4,250.00 "," $ 4,250.00 "
"2008","Advisor_9","01/24/2008","Oakland","CA","94603"," $ 488,000 ","Multifamily","Tamalpais Bank"," $ 5,230.00 ","0"," $ 2,615.00 "," $ 2,615.00 "
"","Advisor_9","01/29/2008","Oakland","CA","94607"," $ 829,000 ","Multifamily","Greystone"," $ 8,290.00 ","0"," $ 4,145.00 "," $ 4,145.00 "
"","Advisor_9","03/10/2008","Lafayette","CA","94549"," $ 550,000 ","Multifamily","Washington Mutual"," $ 5,550.00 "," $ 1,110.00 "," $ 2,220.00 "," $ 2,220.00 "
"","Advisor_9","03/10/2008","Moraga","CA","94556"," $ 550,000 ","Multifamily","Washington Mutual"," $ 5,550.00 "," $ 1,110.00 "," $ 2,220.00 "," $ 2,220.00 "
"","Advisor_9","05/09/2008","San Francisco","CA","94110"," $ 500,000 ","Mixed Use","Tamalpais Bank"," $ 5,000.00 ","0"," $ 2,500.00 "," $ 2,500.00 "
"","Advisor_10","06/10/2008","Santa Clara","CA","95051"," $ 1,835,000 ","","Fremont Bank","0","0","0","0"
"","Advisor_9","06/27/2008","Oakland","CA","94606"," $ 1,250,000 ","Multifamily","Fremont Bank"," $ 9,250.00 "," $ 1,850.00 "," $ 3,700.00 "," $ 3,700.00 "
"","Advisor_10","07/29/2008","Berkeley","CA","94703"," $ 445,000 ","Multifamily","Greystone","0","0","0","0"
"","Advisor_9","09/25/2008","Berkeley","CA","94704"," $ 831,750 ","Multifamily","Washington Mutual"," $ 8,317.50 ","0"," $ 4,158.75 "," $ 4,158.75 "
"","Advisor_9","09/30/2008","Oakland","CA","94610"," $ 1,268,000 ","Multifamily","Washington Mutual"," $ 8,242.00 ","0"," $ 4,121.00 "," $ 4,121.00 "
"","Advisor_10","10/07/2008","San Francisco","CA","94114"," $ 1,590,000 ","","Greystone","0","0","0","0"
"","Advisor_9","10/10/2008","San Leandro","CA","94577"," $ 1,468,250 ","Multifamily","Washington Mutual"," $ 14,682.50 ","0"," $ 7,341.25 "," $ 7,341.25 "
"","Advisor_9","10/17/2008","Sumter","SC","29150"," $ 500,000 ","NNN","Stanford Federal Credit Union Bank"," $ 5,000.00 "," $ 1,000.00 "," $ 2,000.00 "," $ 2,000.00 "
"","Advisor_9","10/29/2008","Oakland","CA","94612"," $ 237,500 ","Multifamily","Greystone"," $ 2,372.50 "," $ 474.50 "," $ 949.00 "," $ 949.00 "
"","Advisor_9","11/06/2008","San Francisco","CA","94102"," $ 2,100,000 ","Mixed Use","Wells Fargo Bank"," $ 21,000.00 ","0"," $ 10,500.00 "," $ 10,500.00 "
"2009","Advisor_9","01/08/2009","San Leandro","CA","94578"," $ 1,360,000 ","Multifamily","Sonoma Bank"," $ 19,900.00 "," $ 1,360.00 "," $ 9,270.00 "," $ 9,270.00 "
"","Advisor_9","03/10/2009","Mountain View","CA","94040"," $ 2,000,000 ","Multifamily","Greystone"," $ 40,000.00 ","0"," $ 20,000.00 "," $ 20,000.00 "
"","Advisor_3","04/06/2009","Richmond","CA","94806"," $ 386,250 ","","Sonoma Bank","0","0","0","0"
"","Advisor_7","04/08/2009","Oakland","CA","94611"," $ 3,337,500 ","","United Commercial Bank","0","0","0","0"
"","Advisor_9","06/21/2009","San Francisco","CA","94115"," $ 1,660,000 ","Multifamily","JPMorgan Chase Bank"," $ 16,600.00 "," $ 3,320.00 "," $ 6,640.00 "," $ 6,640.00 "
"","Advisor_9","07/31/2009","San Francisco","CA","94123"," $ 2,640,000 ","Multifamily","Luther Burbank Savings"," $ 26,400.00 "," $ 5,280.00 "," $ 10,560.00 "," $ 10,560.00 "
"","Advisor_9","09/10/2009","Oakland","CA","94619"," $ 820,000 ","Multifamily","Greystone"," $ 5,984.00 "," $ 1,197.00 "," $ 2,393.60 "," $ 2,393.60 "
"","Advisor_9","09/10/2009","Oakland","CA","94606"," $ 750,000 ","Multifamily","Greystone"," $ 6,970.00 "," $ 1,394.00 "," $ 2,886.60 "," $ 2,886.60 "
"","Advisor_9","09/22/2009","Salinas","CA","93901"," $ 347,750 ","Multifamily","United Commercial Bank"," $ 3,477.50 "," $ 695.50 "," $ 1,391.00 "," $ 1,391.00 "
"","Advisor_9","12/08/2009","Alameda","CA","94501"," $ 917,000 ","Multifamily","JPMorgan Chase Bank"," $ 9,170.00 ","0"," $ 4,585.00 "," $ 4,585.00 "
"2010","Advisor_9","01/15/2010","Oakland","CA","94602"," $ 557,000 ","Multifamily","Greystone"," $ 4,734.50 "," $ 947.00 "," $ 1,893.80 "," $ 1,893.80 "
"","Advisor_9","01/27/2010","San Diego","CA","92101"," $ 795,000 ","Multifamily","Greystone"," $ 7,975.00 "," $ 3,000.00 "," $ 2,487.50 "," $ 2,487.50 "
"","Advisor_9","01/29/2010","Berkeley","CA","94702"," $ 200,000 ","Multifamily","Stonecrest"," $ 3,000.00 "," $ 600.00 "," $ 1,200.00 "," $ 1,200.00 "
"","Advisor_9","02/26/2010","San Francisco","CA","94114"," $ 2,275,000 ","Multifamily","Technology Credit Union Bank"," $ 22,750.00 ","0"," $ 11,375.00 "," $ 11,375.00 "
