"Attainment","","H1","H2","Y1"
"Territory and Team",""," $ 550,000 "," $ 550,000 "," $ 1,100,000 "
"Personal",""," $ 150,000 "," $ 150,000 "," $ 300,000 "
"New Rep Quota",""," $ 100,000 "," $ 100,000 "," $ 200,000 "
"MBO","","100%","100%",""
"","","","",""
"Compensation","","H1","H2","Y1"
"Salary",""," $ 52,500 "," $ 52,500 "," $ 105,000 "
"Region Commission Override","","0","0","0"
"Personal Commission",""," $ 9,000 "," $ 9,000 "," $ 18,000 "
"New Rep Quota",""," $ 3,500 "," $ 3,500 "," $ 7,000 "
"MBO's",""," $ 5,000 "," $ 5,000 "," $ 10,000 "
"Total Income",""," $ 70,000 "," $ 70,000 "," $ 140,000 "
"","","","",""
"Quota","","H1","H2","Y1"
"Salary",""," $ 52,500 "," $ 52,500 "," $ 105,000 "
"Territory and Team",""," $ 550,000 "," $ 550,000 "," $ 1,100,000 "
"Personal Led",""," $ 150,000 "," $ 150,000 "," $ 300,000 "
"MBO",""," $ 5,000 "," $ 5,000 "," $ 10,000 "
