"","","2010","2011","2012"
"","","","",""
"Inflation (% change in GDP Deflator Each Year)","","","",""
"US","","1.8","2.0","1.8"
"Australia","","6.5","2.9","-0.4"
"Japan","","-1.9","-1.8","-0.9"
"UK","","2.6","2.2","2.8"
"Singapore","","-1.6","0.2","-1.8"
"France","","1.5","1.5","1.6"
"","","","",""
"Real Wage (% change per year)","","","",""
"US","","3.6","1.3","1.7"
"Australia","","-0.1","0.9","3.2"
"Japan","","4.5","2.8","1.2"
"UK","","1.5","0.5","2.0"
"Singapore","","10.4","2.5","2.2"
"France","","1.3","1.1","-0.2"
