"Category Name","Menu Item Name","Price"
"Lunch Specials","Lunch Special 1","10.95"
"","Lunch Special 2","10.95"
"","Lunch Special 3","10.95"
"","Lunch Special 4","10.95"
"","Lunch Special 5","10.95"
"Beverages","Juice: Cranberry","2.00"
"","Juice: Orange","2.00"
"","Juice: Apple","2.00"
"","Tea: Herbal","2.00"
"","Tea: Turkish","2.00"
"","Soda: Regular","1.50"
"","Soda: Diet","1.50"
"","Coffee","2.00"
"","Coffee: Decaf","2.00"
"","Coffee: Turkish","2.50"
"","Hot Chocolate","2.50"
"Soups & Salads","Red Lentile Soup","4.00"
"","Chicken Soup","4.00"
"Appetizers","Hummus","4.95"
"","Mashed Veggies","4.95"
"","Babagannush","4.95"
"","Stuffed Grape Leaves","4.95"
"","App: String Beans","4.95"
"","White Beans","4.95"
"","Eggplant Salad","4.95"
"","App: Spinach Stew","4.95"
"","Cacik","4.95"
"","Cold Hot Combo","24.95"
"","Cold Combo Lg","19.95"
"","Cold Combo Sm","15.95"
"","Veal Liver","7.95"
"","Falafel","6.95"
"","Feta Cheese","6.95"
"","Spinach Pie","6.95"
"","Fried Calamari","8.95"
"","Zucchini Pancakes","6.95"
"Soups & Salads","Salad: Shepherd Sm","6.95"
"","Salad: Shepherd Lg","8.95"
"","Salad: Season Sm","6.95"
"","Salad: Season Lg","8.95"
"","Salad: Garden Sm","6.95"
"","Salad: Garden Lg","8.95"
"","Salad: Caesar Sm","6.95"
"","Salad: Caesar Lg","8.95"
"Main Courses","Kebab: Shish","17.95"
"","Kebab: Chicken","14.95"
"","Kebab: House Combo","29.95"
"","Kebab: Adana","14.95"
"","Burger: Lamb","14.95"
"","Burger: Chicken","14.95"
"","Lamb Chops","22.95"
"","Gyro: Chicken","14.95"
"","Gyro: Lamb","14.95"
"","Chicken Breast","14.95"
"","Chicken Adana","14.95"
"Kebabs & Yogurt","Gyro: Lamb & Yog","16.95"
"","Gyro: Chicken & Yog","16.95"
"","Kebab: Adana & Yog","16.95"
"","Kebab: Shish & Yog","16.95"
"","Kebab: Chicken & Yog","16.95"
"","Kebab: Chkn Adana & Yog","16.95"
"Seafood","Stripe Bass","21.95"
"","Salmon","21.95"
"","Orata","21.95"
"","Tilapia","21.95"
"Traditional Dishes","Stuffed Cabbage","16.95"
"","Baby Okra w/ Lamb","14.95"
"","Baby Okra w/ Chicken","14.95"
"","String Beans w/ Chicken","14.95"
"","Spinach Stew","13.95"
"","Baby Okra","13.95"
"","Veggie Grill","15.95"
"","String Beans","13.95"
"Kids Menu","Kids: Lamb Burger","9.95"
"","Kids: Chicken Kebab","9.95"
"","Kids: Chicken Breast","9.95"
"","Kids: French Fries Lg","4.95"
"","Kids: Mozz Sticks","9.95"
"","Kids: Lamb Gyro","9.95"
"","Kids: Chicken Gyro","9.95"
"","Kids: French Fries Sm","2.95"
"","Kids: Chicken Fingers","9.95"
"","Kids: Tilapia","9.95"
"Wraps","Lamb Gyro Wrap","6.00"
"","Chicken Kebab Wrap","6.00"
"","Adana Kebab Wrap","6.50"
"","Falafel Wrap","6.00"
"","Chicken Gyro Wrap","6.00"
"","Chicken Adana Wrap","6.00"
"","Lamb Burger Wrap","6.50"
"Desserts","Kazandibi","4.50"
"","Vanilla Ice Cream","4.50"
"","Chocolate Ice Cream","4.50"
"","Baklava","4.50"
"","4 Season Yogurt","4.50"
"Beverages","Tea: Green","1.95"
"","Water Lg","3.00"
"","Tea: Iced","1.95"
"","Sparkling Waters","3.00"
"","Ayran","2.00"
"","Tea: Turkish Black","1.50"
"Dinner Specials","Create Dinner","19.95"
"","Salad Dinner Special","16.95"
