"Item","FOB","#/Pal","freight","Brok","Del"
"Bulk Beets","","","","",""
"Tx 25#","$8.85","80","0.00","$0.35","$9.20"
"Tx 50#","$12.85","40","0.00","$0.35","$13.20"
"Mx Jbo","$0.00","0","0.00","$0.35","$0.35"
"Gold 25","$11.85","80","0.00","$0.35","$12.20"
"","","","","",""
"BEETS","","","","",""
"12's","$9.35","56","0.00","$0.35","$9.70"
"24's","$12.35","35","0.00","$0.35","$12.70"
"","","","","",""
"Collards","","","","",""
"12's","$5.85","64","0.00","$0.35","$6.20"
"24's","$8.85","42","0.00","$0.35","$9.20"
"","","","","",""
"Daikon","","","","",""
"W/Tops","$12.35","35","0.00","$0.35","$12.70"
"no/Tops","$20.00","42","0.00","$0.35","$20.35"
"","","","","",""
"BukTturnips","","","","",""
"25#","$10.85","80","0.00","$0.35","$11.20"
"","","","","",""
"TURNIP GREENS","","","","",""
"12's","$5.85","64","0.00","$0.35","$6.20"
"24's","$8.85","42","0.00","$0.35","$9.20"
"","","","","",""
"Plain Mustard","","","","",""
"12's","$0.00","64","0.00","$0.35","$0.35"
"24's","$0.00","42","0.00","$0.35","$0.35"
"","","","","",""
"Curly Mustard","","","","",""
"12's","$5.85","64","0","$0.35","$6.20"
"24's","$8.85","42","#REF!","$0.35","$0.00"
"Item","FOB","#/pal","freight","Brok","Del"
"","","","","",""
"Cabbage Sprouts","","","","",""
"Ctn","$0.00","42","$0.00","$0.35","$0.35"
"","","","","",""
"","","","","",""
"Curly parsly","","","","",""
"30's","$11.35","64","$0.00","$0.35","$11.70"
"60's","$14.85","42","$0.00","$0.35","$15.20"
"","","","","",""
"Plain Parsley","","","","",""
"30's","$11.35","64","$0.00","$0.35","$11.70"
"60's","$14.85","42","$0.00","$0.35","$15.20"
"Root 12's","$0.00","80","$0.00","$0.35","$0.35"
"Root 24's","$0.00","42","$0.00","$0.35","$0.35"
"","","","","",""
"Tx Cilantro","","","","",""
"30's","$7.85","64","$0.00","$0.35","$8.20"
"60's","$10.85","42","$0.00","$0.35","$11.20"
"","","","","",""
"Cilantro Root","","","","",""
"ctn 24's","$8.35","64","$0.00","$0.35","$8.70"
"wood 24's","$8.85","48","$0.00","$0.35","$9.20"
