"","","","","","Betfair Odds","","","My Odds","","","Difference","",""
"Date","Time","League","Home Team","Away Team","Home","Draw","Away ","Home","Draw","Away ","Home","Draw","Away "
"2015/8/8","12:45","English Premier League","Man Utd","Tottenham","1.67","4.10","6.20","1.41","10.33","5.17","11.04","-14.71","3.21"
"2015/8/8","15:00","English Premier League","Bournemouth","Aston Villa","2.06","3.60","4.10","2.00","4.50","3.60","1.46","-5.56","3.39"
"2015/8/8","15:00","English Premier League","Everton","Watford","1.74","4.00","5.50","1.64","4.50","6.00","3.50","-2.78","-1.52"
"2015/8/8","15:00","English Premier League","Leicester","Sunderland","2.00","3.50","4.50","2.88","2.56","3.83","-15.28","10.49","3.89"
"2015/8/8","15:00","English Premier League","Norwich","C Palace","2.68","3.35","2.98","2.45","2.70","4.50","3.50","7.19","-11.33"
"2015/8/8","17:30","English Premier League","Chelsea","Swansea","1.39","5.00","11.50","1.15","31.00","10.33","15.01","-16.77","0.98"
"2015/8/9","13:30","English Premier League","Arsenal","West Ham","1.31","6.20","12.50","1.23","10.67","10.67","4.96","-6.76","1.37"
"2015/8/9","13:30","English Premier League","Newcastle","Southampton","2.88","3.35","2.78","2.82","3.44","2.82","0.74","-0.78","-0.51"
"2015/8/9","16:00","English Premier League","Stoke","Liverpool","3.50","3.45","2.32","2.46","5.33","2.46","12.08","-10.22","-2.45"
"2015/8/10","20:00","English Premier League","West Brom","Man City","5.90","4.00","1.70","4.25","5.67","1.74","6.58","-7.36","-1.35"
"2015/8/14","19:30","Bundesliga 1","Bayern Munich","Hamburg","1.10","13.50","42.00","1.16","9.67","29.00","-4.70","2.93","1.07"
"2015/8/14","19:45","English Premier League","Aston Villa","Man Utd","6.20","3.95","1.69","6.60","4.13","1.65","-0.98","-1.10","1.43"
"2015/8/15","12:45","English Premier League","Southampton","Everton","1.99","3.60","4.40","2.00","2.80","7.00","-0.25","7.94","-8.44"
"2015/8/15","14:30","Bundesliga 1","Augsburg","Hertha Berlin","2.08","3.50","4.10","2.07","3.88","3.88","0.23","-2.80","1.38"
"2015/8/15","14:30","Bundesliga 1","Leverkusen","Hoffenheim","1.55","4.70","7.00","1.50","5.00","7.50","2.15","-1.28","-0.95"
"2015/8/15","14:30","Bundesliga 1","Mainz","Ingolstadt","2.06","3.55","4.00","1.45","8.00","5.30","20.42","-15.67","-6.13"
"2015/8/15","14:30","Bundesliga 1","SV Darmstadt","Hannover","2.62","3.40","3.00","2.00","8.00","2.67","11.83","-16.91","4.12"
"2015/8/15","14:30","Bundesliga 1","W Bremen","Schalke","3.20","3.60","2.40","2.64","3.60","2.90","6.63","0.00","-7.18"
"2015/8/15","15:00","English Premier League","Sunderland","Norwich","2.60","3.35","3.10","2.29","4.00","3.20","5.21","-4.85","-1.01"
