"Type of Property","","Heirs rate
second floor","","Heirs rate
third floor",""
"","Heirs rate
first floor","Internal heirs","Heirs foreigner","Internal heirs","Heirs foreigner"
"Paragraph 1 of Article 17 bank accounts","  0.03 ","  0.06 ","  0.03 ","  0.12 ","  0.03 "
"Paragraph 2 of Article 17 is out of stock","  0.06 ","  0.12 ","  0.06 ","  0.24 ","  0.06 "
"Paragraph 2 of Article 17-Exchange","  0.0075 ","  0.015 ","  0.0075 ","  0.030 ","  0.0075 "
"Paragraph 3 of Article 17, other property","  0.10 ","  0.20 ","  0.10 ","  0.40 ","  0.10 "
"Paragraph 4 of Article 17-type vehicles","  0.02 ","  0.04 ","  0.02 ","  0.08 ","  0.02 "
"Paragraph 5 of Article 17-Property","  0.075 ","  0.150 ","  0.075 ","  0.300 ","  0.075 "
"Paragraph 5 of Article 17, the right to give","  0.03 ","  0.06 ","  0.03 ","  0.12 ","  0.03 "
"Paragraph 6 of Article 17-property abroad","  0.10 ","  0.20 ","  0.10 ","  0.40 ","  0.10 "
