"Apples—Average retail price per pound or pint and per cup equivalent, 2022","","","","","",""
"Form","Average retail price ","","Preparation yield factor","Size of a cup equivalent ","","Average price per cup equivalent"
"Fresh1","$1.85"," per pound","0.9","0.243","Pounds","$0.50"
"Applesauce2","$1.17"," per pound","1","0.540","Pounds","$0.63"
"Juice","","","","","",""
"Ready to drink3","$0.87"," per pint","1","8","Fluid ounces","$0.43"
"Frozen4","$0.61"," per pint","1","8","Fluid ounces","$0.30"
"1USDA, Agricultural Research Service’s (ARS) National Nutrient Database for Standard Reference (SR) reports that the inedible stem and core of a raw apple account for 10 percent of the fruit's weight, implying a preparation yield of 90 percent, when apples are eaten raw including the peel.","","","","","",""
"2Excludes applesauce packed in individual containers that are 4 ounces in size or smaller. Includes flavors like ""original,"" ""cinnamon,"" ""plain,"" ""unsweetened,"" ""old fashioned,"" ""homestyle,"" ""sweetened,"" and ""brown sugar cinnamon."" Excludes certain other flavors like ""strawberry,"" ""honey cinnamon,"" ""peach,"" and ""maple."" ","","","","","",""
"3Includes refrigerated and unrefrigerated juice. ","","","","","",""
"4Includes juice sold as frozen concentrate. The consumer reconstitutes this juice after purchase by adding three containers of water per container of concentrate. Retail price is dollars per pint after reconstitution.","","","","","",""
"Source: USDA, Economic Research Service calculations from 2022 Circana (formerly Information Resources, Inc. (IRI)) OmniMarket Core Outlets (formerly InfoScan) data; and USDA, ARS, National Nutrient Database for Standard Reference (SR), Legacy Release, Food Patterns Equivalents Database (FPED) 2017–18, and the FPED's accompanying Methodology and User Guide.","","","","","",""
