"Direct Loan Portfolio by Repayment Plan","","","","","","","","","","","","","","","","","","","","",""
"Includes outstanding principal and interest balances of Direct Loan borrowers in Repayment, Deferment, and Forbearance","","","","","","","","","","","","","","","","","","","","",""
"Data Source: National Student Loan Data System (NSLDS)","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","Level:  10 Yrs or Less","","Level: > 10 Yrs","","Graduated: 10 Yrs or Less","","Graduated: > 10 Yrs","","Income-Contingent","","Income-Based","","Pay As You Earn*","","SAVE","","Alternative","","Other",""
"Federal Fiscal Year","","Dollars Outstanding           (in billions)","Recipients     (in millions)","Dollars Outstanding            (in billions)","Recipients     (in millions)","Dollars Outstanding           (in billions)","Recipients     (in millions)","Dollars Outstanding            (in billions)","Recipients     (in millions)","Dollars Outstanding           (in billions)","Recipients     (in millions)","Dollars Outstanding            (in billions)","Recipients     (in millions)","Dollars Outstanding           (in billions)","Recipients     (in millions)","Dollars Outstanding           (in billions)","Recipients     (in millions)","Dollars Outstanding            (in billions)","Recipients     (in millions)","Dollars Outstanding           (in billions)","Recipients     (in millions)"
"2013","Q3","$139.9 ","9.84","$62.1","1.63","$27.8 ","1.27","$17.5","0.45","$20.1 ","0.63","$50.9","0.91","$1.3 ","0.04","-","-","$4.4","0.23","$37.3 ","0.76"
"","Q4","$143.2 ","10.00","$63.6","1.58","$35.0 ","1.52","$11.9","0.30","$19.1 ","0.59","$58.0","1.04","$2.0 ","0.06","-","-","$5.6","0.30","$33.5 ","0.58"
"2014","Q1","$169.5 ","10.88","$65.7","1.61","$39.1 ","1.66","$11.5","0.28","$19.2 ","0.58","$67.9","1.21","$4.1 ","0.11","-","-","$5.9","0.31","$30.5 ","0.46"
"","Q2","$168.5 ","10.81","$65.5","1.60","$41.8 ","1.77","$11.3","0.27","$20.0 ","0.60","$80.6","1.44","$7.4 ","0.19","-","-","$6.1","0.31","$37.8 ","0.54"
"","Q3","$175.8 ","11.11","$66.1","1.61","$44.8 ","1.89","$11.3","0.27","$20.3 ","0.60","$91.2","1.65","$9.8 ","0.26","-","-","$6.4","0.32","$38.6 ","0.50"
"","Q4","$169.8 ","10.82","$67.2","1.61","$48.2 ","2.02","$11.4","0.27","$20.4 ","0.60","$102.5","1.85","$12.2 ","0.32","-","-","$6.7","0.34","$39.3 ","0.54"
"2015","Q1","$192.1 ","11.44","$70.9","1.66","$53.6 ","2.18","$11.7","0.27","$20.9 ","0.60","$116.0","2.07","$16.9 ","0.41","-","-","$6.7","0.34","$34.5 ","0.40"
"","Q2","$188.4 ","11.26","$70.9","1.66","$56.7 ","2.29","$11.9","0.27","$21.4 ","0.60","$130.6","2.33","$21.8 ","0.53","-","-","$6.5","0.32","$44.2 ","0.57"
"","Q3","$191.3 ","11.36","$70.5","1.66","$59.1 ","2.38","$12.1","0.28","$21.8 ","0.61","$145.2","2.61","$26.4 ","0.66","-","-","$6.1","0.31","$42.3 ","0.42"
