"Public Service Loan Forgiveness Employment Certification Forms (ECFs)","","","","","","","",""
"Source: FedLoan Servicing","","","","","","","",""
"Through March 31, 2018","","","","","","","",""
"","","","","","","","",""
"Calendar Year","","Total Approved ECFs","Total Denied ECFs","Cumulative PSLF Borrowers ","","","",""
"2015","Q1","  44,202 ","  19,014 ","  222,387 ","","","",""
"","Q2","  50,710 ","  27,260 ","  265,724 ","","","",""
"","Q3","  59,247 ","  34,907 ","  294,546 ","","","",""
"","Q4","  64,151 ","  39,298 ","  334,708 ","","","",""
"2016","Q1","  75,761 ","  47,426 ","  378,839 ","","","",""
"","Q2","  91,938 ","  47,049 ","  431,853 ","","","",""
"","Q3","  107,820 ","  56,352 ","  494,200 ","","","",""
"","Q4","  106,850 ","  56,062 ","552,931","","","",""
"2017","Q1","  116,488 ","  63,559 ","611,598","","","",""
"","Q2","  121,922 ","  62,789 ","669,426","","","",""
"","Q3","  144,809 ","  78,615 ","739,719","","","",""
"","Q4","  130,243 ","  71,915 ","802,040","","","",""
"2018","Q1","  169,513 ","  71,518 ","874,379","","","",""
"2012","","  28,788 ","  14,643 ","  25,683 ","","","",""
"2013","","  71,083 ","  27,510 ","  82,995 ","","","",""
"2014","","  147,172 ","  58,963 ","  191,432 ","","","",""
"TOTAL","","  1,283,654 ","  675,764 ","  874,379 ","","","",""
"","","","","","","","",""
"Notes:","","","","","","","",""
"This report includes information only about those borrowers who have self-identified themselves as interested in PSLF based on their submission of an ECF.","","","","","","","",""
"Although no borrower will be eligible for forgiveness under this program until October 2017, the Department introduced a voluntary Employment Certification Form in January 2012 to help borrowers track their progress toward meeting PSLF requirements.","","","","","","","",""
"Borrowers are encouraged, but not required, to submit an ECF annually or whenever they change jobs to help track their progress toward meeting the PSLF eligibility requirements. Some borrowers may choose to wait until they are eligible for forgiveness before submitting documentation about their employment. ","","","","","","","",""
"Cumulative PSLF borrowers are borrowers who have one or more approved ECFs.","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
