"Changes in Producer Price Indexes, 2022 through 2025","","","","","","","","","","","",""
"Producer Price Index item","Month-to-month August 2024 to September 2024","Year-over-year September 2023 to September 2024","Year-to-date avg. 2024 to avg. 2023","Annual 2022","Annual 2023","20-year historical average 
 (2004–2023)","Prediction Interval 20241","","","Prediction Interval 20251","",""
"","Percent change","Percent change","Percent change","Percent change","Percent change","Percent change","Percent change","","","Percent change","",""
"","","","","","","","Lower","Mid","Upper","Lower","Mid","Upper"
"Unprocessed foodstuffs and feedstuffs","0.2","0.1","-3.5","26.7","-10.3","4.3","NA","NA","NA","NA","NA","NA"
"Processed foods and feeds","0.6","1.1","-1.0","14.0","-2.0","3.6","NA","NA","NA","NA","NA","NA"
"Finished consumer foods","0.8","5.0","2.6","14.2","2.0","3.1","NA","NA","NA","NA","NA","NA"
"","","","","","","","","","","","",""
"Farm-level cattle","-3.6","3.3","10.8","18.1","22.0","4.4","8.2","10.7","13.5","-19.3","-0.9","21.5"
"Wholesale beef","-0.5","-0.1","4.9","-5.2","13.5","4.2","0.6","4.3","8.8","-19.7","0.2","25.7"
"","","","","","","","","","","","",""
"Wholesale pork","0.8","13.1","11.2","-2.2","-3.7","2.2","8.8","11.9","15.3","-19.9","2.1","30.4"
"","","","","","","","","","","","",""
"Wholesale poultry","9.1","6.3","0.3","17.3","-18.0","2.5","1.3","3.3","5.3","-8.4","10.8","34.7"
"","","","","","","","","","","","",""
"Farm-level eggs","-7.3","124.3","30.0","163.1","-28.3","11.7","22.2","39.2","68.0","-49.1","31.3","260.2"
"","","","","","","","","","","","",""
"Farm-level milk","1.3","13.9","6.9","36.7","-19.9","4.6","4.8","9.0","13.7","-24.2","6.3","50.6"
"Wholesale dairy","1.5","7.8","2.3","18.3","-6.1","2.9","2.4","3.9","5.4","-8.6","5.3","21.5"
"","","","","","","","","","","","",""
"Farm-level soybeans","-1.6","-27.1","-19.7","11.2","-8.3","5.9","-25.1","-22.5","-19.6","-36.2","-11.6","25.1"
"Wholesale fats and oils","-0.8","-10.4","-10.2","26.1","-16.3","5.6","-12.3","-11.0","-9.7","-24.4","-7.1","14.6"
"","","","","","","","","","","","",""
"Farm-level fruits","8.3","4.6","-5.2","18.1","-0.6","4.0","-7.3","-4.6","-1.6","-11.4","1.9","17.5"
"Farm-level vegetables","-2.5","7.7","-2.5","51.4","-12.1","5.0","-8.9","-3.5","3.6","-27.1","-3.5","29.1"
"","","","","","","","","","","","",""
"Farm-level wheat","4.5","-19.7","-21.0","31.0","-23.1","6.5","-25.3","-22.5","-19.0","-35.8","-7.3","35.7"
"Wholesale wheat flour","1.2","-4.9","-6.4","23.3","-5.8","3.3","-8.2","-6.7","-5.0","-13.2","-0.1","14.5"
"NA = Not available.","","","","","","","","","","","",""
"Note: The most recent forecast was published on October 25, 2024. The next forecast will be published on November 25, 2024.","","","","","","","","","","","",""
"1About this table:","","","","","","","","","","","",""
"1. Forecasts are grouped in three columns by the lower-bound, midpoint, and upper-bound of the prediction interval.","","","","","","","","","","","",""
"2. Each cell represents the percent-change range for each point in the forecast.","","","","","","","","","","","",""
"Source: U.S. Bureau of Labor Statistics Producer Price Indexes (not seasonally adjusted) and forecasts by USDA, Economic Research Service.","","","","","","","","","","","",""
"For questions, contact:","","","","","","","","","","","",""
"Megan Sweitzer, megan.sweitzer@usda.gov or Victoria Davidenko, victoria.davidenko@usda.gov.","","","","","","","","","","","",""
