"","Federal Family Education Loan Program","","Direct Loan Program","","","","","","","","","","","","","","","",""
"Fiscal Year","Dollars Forgiven (in millions)","Borrowers                   (in thousands)","Dollars Forgiven (in millions)","Borrowers                  (in thousands)","","","","","","","","","","","","","","",""
"FY2009"," $ 88.2 ","11.0"," $ 27.7 ","3.5","","","","","","","","","","","","","","",""
"FY2010"," $ 129.5 ","15.7"," $ 41.7 ","5.2","","","","","","","","","","","","","","",""
"FY2011"," $ 167.5 ","20.6"," $ 68.5 ","8.2","","","","","","","","","","","","","","",""
"FY2012"," $ 159.4 ","19.9"," $ 65.3 ","8.5","","","","","","","","","","","","","","",""
"FY2013"," $ 176.1 ","22.1"," $ 106.5 ","12.9","","","","","","","","","","","","","","",""
"FY2014"," $ 173.8 ","22.6"," $ 145.0 ","16.9","","","","","","","","","","","","","","",""
"FY2015"," $ 149.8 ","19.8"," $ 170.0 ","18.6","","","","","","","","","","","","","","",""
"FY2016"," $ 130.7 ","18.1"," $ 187.1 ","20.3","","","","","","","","","","","","","","",""
"FY2017"," $ 118.7 ","17.4"," $ 231.8 ","25.0","","","","","","","","","","","","","","",""
"FY2018"," $ 101.6 ","15.7"," $ 279.9 ","29.3","","","","","","","","","","","","","","",""
"FY2019"," $ 72.2 ","11.6"," $ 269.8 ","28.0","","","","","","","","","","","","","","",""
"FY2020"," $ 50.7 ","8.3"," $ 266.3 ","26.9","","","","","","","","","","","","","","",""
"FY2021"," $ 38.6 ","5.8"," $ 226.2 ","22.3","","","","","","","","","","","","","","",""
"FY2022"," $ 26.5 ","4.0"," $ 196.2 ","19.0","","","","","","","","","","","","","","",""
"FY2023"," $ 14.4 ","2.1"," $ 112.8 ","10.3","","","","","","","","","","","","","","",""
