"Return to contents","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DA1 Channel through which the consumer purchased products that they experienced detriment with 

Base: All detriment incidents in the UK in the 12 months to April 2021","Total","Product type","","Market cluster","","","","","","","","","","","Sector","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Good","Service","Fast-moving retail","(Semi-)durable goods","Automotive goods and services","Telecoms and other digital subscriptions","Utilities","Housing-related services","Banking and insurance","Transport","Personal services","Recreational services","Other services","Groceries and drinks","Clothing, footwear and accessories","House and garden maintenance products","Stationery, books, magazines and newspapers","Personal care products","Spectacles and lenses","Furniture and appliances","Electronic devices and software","Entertainment items","New vehicles","Second-hand vehicles","Fuel and accessories for vehicles","Mobile telephone services","Fixed telephone services","Internet provision","TV and other digital subscriptions","Water services","Electricity and gas services","Real estate services","Renting services","Home and garden maintenance and repair","Removal and storage **","Current accounts, loans and bank services","Pension funds and investment services","Insurance services","Legal and accountancy services","Funeral services **","Vehicle rental **","Public transport and train","Airline","Vehicle maintenance and repair","Private medical and dental services","Prescription and non-prescription medicines","Adult care **","Education fees *","Childcare *","Veterinary","Personal care services","Hotels and holiday accommodation","Package holidays and tours","Restaurants, cafés and take-away","Sport, cultural and entertainment activities","Gambling and lottery services *","Pet breeder **"
"","","A1","B1","C1","D1","E1","F1","G1","H1","I1","J1","K1","L1","M1","N1","O1","P1","Q1","R1","S1","T1","U1","V1","W1","X1","Y1","Z1","A2","B2","C2","D2","E2","F2","G2","H2","I2","J2","K2","L2","M2","N2","O2","P2","Q2","R2","S2","T2","U2","V2","W2","X2","Y2","Z2","A3","B3","C3","D3","E3"
"Unweighted total","9388","3698","5690","1889","1563","844","2228","655","325","522","266","204","640","252","426","821","222","83","148","224","568","590","181","51","183","201","415","275","1023","515","134","521","68","87","148","22","222","71","229","79","23","15","126","125","409","105","134","21","43","35","137","55","180","116","190","110","44","13"
"Weighted total","27838","13275","14563","9047","3678","2217","5222","1719","932","1089","915","515","1835","669","2541","3896","515","309","1167","413","1206","1504","555","83","428","659","1205","540","2357","1121","339","1380","175","403","295","60","463","198","428","164","29","26","622","268","1048","217","430","59","105","134","450","189","367","279","837","226","126","25"
"Online, from the provider's/retailer's/operator's website","36%","40%","31%","44%","35%","10%","36%","35%","17%","31%","42%","24%","38%","26%","39%","62%","34%","13%","23%","5%","39%","38%","41%","19%","9%","17%","31%","30%","39%","38%","14%","40%","12%","15%","22%","","39%","22%","27%","17%","","","27%","80%","5%","2%","10%","","48%","49%","31%","51%","60%","50%","19%","50%","55%",""
"","B1 C1 E1 H1 O1 S1 X1 Y1 D2 F2 G2 N2 Q2 R2 S2 T2 Z2 B3","B1","A1","D1 E1 H1 I1 K1 M1","C1 E1 H1","C1 D1 F1 G1 I1 J1 K1 L1 M1","E1 H1","E1 H1","C1 D1 F1 G1 I1 J1 L1","C1 E1 H1","E1 H1 K1","C1 E1 J1","E1 H1","C1 E1","O1 S1 X1 Y1 D2 F2 G2 N2 Q2 R2 S2 T2 Z2 B3","N1 P1 Q1 R1 S1 T1 U1 V1 W1 X1 Y1 Z1 A2 B2 C2 D2 E2 F2 G2 H2 I2 J2 K2 L2 M2 N2 O2 P2 R2 S2 T2 U2 X2 B3 E3","O1 S1 X1 Q2 R2 S2 T2 Z2","O1 Q2 V2 Z2 A3 C3 D3","O1 Q2 Z2","N1 O1 P1 T1 U1 V1 Z1 A2 B2 C2 E2 H2 J2 K2 L2 P2 Q2 V2 W2 X2 Y2 Z2 A3 C3 D3","O1 S1 X1 Y1 D2 F2 G2 H2 N2 Q2 R2 S2 T2 Z2 B3","O1 S1 X1 Y1 D2 F2 G2 N2 Q2 R2 S2 T2 Z2 B3","O1 S1 X1 Y1 D2 F2 G2 N2 Q2 R2 S2 T2 B3","O1 Q2 R2 S2 Z2 A3 C3 D3","N1 O1 P1 T1 U1 V1 Z1 A2 B2 C2 E2 J2 L2 P2 Q2 V2 W2 X2 Y2 Z2 A3 C3 D3","N1 O1 T1 U1 V1 B2 C2 E2 J2 Q2 V2 W2 Y2 Z2 A3 C3 D3","O1 S1 X1 Q2 R2 S2 T2 Z2 C3","O1 S1 X1 Q2 R2 S2 T2 Z2 C3","O1 S1 X1 Y1 D2 F2 G2 H2 L2 M2 N2 Q2 R2 S2 T2 Z2 B3","O1 S1 X1 Y1 D2 F2 G2 N2 Q2 R2 S2 T2 Z2 B3","N1 O1 T1 U1 V1 B2 C2 E2 J2 Q2 V2 W2 Y2 Z2 A3 C3 D3","O1 S1 X1 Y1 D2 F2 G2 N2 Q2 R2 S2 T2 B3","N1 O1 T1 U1 V1 B2 C2 E2 J2 Q2 V2 W2 Y2 Z2 A3 C3 D3","N1 O1 T1 U1 V1 B2 C2 E2 J2 Q2 V2 W2 Y2 Z2 A3 C3 D3","O1 S1 T1 B2 J2 Q2 R2 S2 V2 Z2 A3 C3 D3","","O1 S1 X1 Y1 D2 F2 G2 H2 M2 N2 Q2 R2 S2 T2 Z2 B3","O1 S1 Q2 R2 S2 Z2 A3 C3 D3","O1 S1 X1 B2 Q2 R2 S2 T2 Z2 A3 C3 D3","O1 B2 J2 Q2 V2 Z2 A3 C3 D3","","","O1 S1 X1 Q2 R2 S2 T2 Z2 C3","N1 P1 Q1 R1 S1 T1 U1 V1 W1 X1 Y1 Z1 A2 B2 C2 D2 E2 F2 G2 H2 I2 J2 K2 L2 M2 N2 O2 P2 R2 S2 T2 U2 V2 W2 X2 A3 B3 C3 E3","N1 O1 P1 T1 U1 V1 W1 Z1 A2 B2 C2 E2 H2 J2 K2 L2 P2 Q2 V2 W2 X2 Y2 Z2 A3 B3 C3 D3","N1 O1 P1 T1 U1 V1 W1 Z1 A2 B2 C2 E2 H2 J2 K2 L2 P2 Q2 V2 W2 X2 Y2 Z2 A3 B3 C3 D3","N1 O1 P1 T1 U1 V1 Z1 A2 B2 C2 E2 J2 L2 P2 Q2 V2 W2 Y2 Z2 A3 C3 D3","","Q1 S1 X1 Y1 D2 F2 G2 H2 M2 N2 Q2 R2 S2 T2 U2 B3","S1 X1 Y1 D2 F2 G2 N2 Q2 R2 S2 T2 U2 B3","O1 S1 X1 Q2 R2 S2","S1 X1 Y1 D2 F2 G2 N2 R2 S2 T2","N1 P1 Q1 R1 S1 T1 U1 W1 X1 Y1 Z1 A2 B2 C2 D2 F2 G2 H2 J2 K2 L2 M2 N2 O2 P2 R2 S2 T2 U2 B3 E3","Q1 S1 W1 X1 Y1 D2 F2 G2 H2 K2 L2 M2 N2 Q2 R2 S2 T2 U2 B3","N1 O1 T1 U1 V1 B2 C2 E2 J2 Q2 R2 S2 V2 W2 Z2 A3 C3 D3","Q1 S1 W1 X1 Y1 Z1 A2 D2 F2 G2 H2 K2 L2 M2 N2 P2 Q2 R2 S2 T2 U2 B3","Q1 S1 W1 X1 Y1 D2 F2 G2 H2 K2 L2 M2 N2 R2 S2 T2 U2 B3",""
"In-person from a shop or other outlet","27%","32%","22%","30%","32%","67%","8%","9%","31%","17%","29%","24%","19%","44%","37%","15%","43%","27%","49%","94%","32%","19%","21%","47%","53%","70%","21%","3%","6%","4%","7%","10%","40%","45%","12%","","30%","15%","5%","13%","","","41%","1%","73%","38%","64%","","1%","27%","55%","40%","12%","8%","23%","20%","29%",""
"","B1 E1 F1 G1 I1 L1 M1 O1 P1 S1 X1 Y1 A2 B2 C2 D2 E2 G2 H2 L2 Q2 R2 T2 V2 X2 A3","B1","A1","E1 F1 G1 I1 L1","E1 F1 G1 I1 L1","C1 D1 F1 G1 H1 I1 J1 K1 L1 M1","C1 D1 E1 H1 I1 J1 K1 L1 M1","C1 D1 E1 H1 J1 K1 M1","E1 F1 G1 I1 L1","C1 D1 E1 F1 H1 J1 M1","E1 F1 G1 I1","E1 F1 G1","C1 D1 E1 F1 H1 M1","E1 F1 G1 I1 L1","O1 S1 U1 Y1 Z1 A2 B2 C2 D2 E2 H2 L2 M2 Q2 R2 T2 V2 Z2 A3","N1 P1 R1 S1 T1 W1 X1 Y1 A2 B2 C2 F2 G2 J2 N2 P2 Q2 R2 S2 T2 X2 E3","O1 S1 U1 V1 Y1 Z1 A2 B2 C2 D2 E2 H2 I2 K2 L2 M2 Q2 R2 T2 V2 Z2 A3 B3 C3","S1 Y1 A2 B2 C2 L2 Q2 R2 T2","O1 S1 U1 A2 B2 C2 D2 E2 H2 L2 Q2 V2 Z2 A3","N1 O1 P1 Q1 R1 T1 U1 V1 W1 X1 Y1 Z1 A2 B2 C2 D2 E2 F2 G2 H2 I2 J2 K2 L2 M2 N2 O2 P2 Q2 S2 T2 U2 V2 W2 X2 Y2 Z2 A3 B3 C3 D3 E3","O1 S1 U1 X1 Y1 A2 B2 C2 D2 E2 H2 L2 Q2 R2 T2 V2 Z2 A3","N1 P1 R1 S1 T1 W1 X1 Y1 A2 B2 C2 F2 G2 L2 N2 P2 Q2 R2 S2 T2 X2 E3","P1 S1 W1 X1 Y1 A2 B2 C2 G2 L2 Q2 R2 T2 X2","O1 S1 U1 V1 Z1 A2 B2 C2 D2 E2 H2 I2 K2 L2 M2 Q2 R2 V2 Z2 A3 C3","O1 S1 T1 U1 V1 Z1 A2 B2 C2 D2 E2 H2 I2 J2 K2 L2 M2 Q2 U2 V2 Z2 A3 B3 C3","N1 O1 P1 Q1 S1 T1 U1 V1 Z1 A2 B2 C2 D2 E2 F2 H2 I2 J2 K2 L2 M2 O2 P2 Q2 S2 U2 V2 W2 Z2 A3 B3 C3 D3","N1 P1 S1 W1 X1 Y1 A2 B2 C2 G2 L2 P2 Q2 R2 T2 X2 E3","N1 O1 P1 Q1 R1 S1 T1 U1 V1 W1 X1 Y1 Z1 F2 G2 J2 K2 N2 O2 P2 R2 S2 T2 W2 X2 Y2 B3 C3 D3 E3","N1 O1 P1 Q1 R1 S1 T1 U1 V1 W1 X1 Y1 Z1 F2 G2 J2 N2 O2 P2 R2 S2 T2 W2 X2 Y2 B3 C3 D3 E3","N1 O1 P1 Q1 R1 S1 T1 U1 V1 W1 X1 Y1 Z1 F2 G2 H2 J2 K2 N2 O2 P2 R2 S2 T2 W2 X2 Y2 B3 C3 D3 E3","N1 P1 R1 S1 T1 W1 X1 Y1 F2 G2 J2 N2 P2 R2 S2 T2 X2 Y2 E3","N1 P1 R1 S1 T1 W1 X1 Y1 F2 G2 J2 N2 P2 R2 S2 T2 X2 Y2 D3 E3","O1 S1 U1 Y1 A2 B2 C2 D2 E2 H2 L2 M2 Q2 R2 V2 Z2 A3","O1 S1 U1 V1 Z1 A2 B2 C2 D2 E2 H2 I2 K2 L2 M2 Q2 R2 V2 Z2 A3 B3 C3","N1 P1 R1 S1 T1 W1 X1 Y1 C2 F2 G2 J2 N2 P2 R2 S2 T2 X2 E3","","O1 S1 X1 Y1 A2 B2 C2 D2 E2 H2 L2 Q2 R2 T2 V2 X2 Z2 A3","P1 S1 W1 X1 Y1 A2 C2 G2 N2 P2 Q2 R2 T2 X2 E3","N1 P1 Q1 R1 S1 T1 U1 V1 W1 X1 Y1 Z1 F2 G2 J2 N2 O2 P2 R2 S2 T2 W2 X2 Y2 B3 C3 D3 E3","N1 P1 S1 W1 X1 Y1 F2 G2 N2 P2 R2 T2 X2 E3","","","O1 S1 U1 Y1 Z1 A2 B2 C2 D2 E2 H2 K2 L2 M2 Q2 R2 V2 Z2 A3","N1 O1 P1 Q1 R1 S1 T1 U1 V1 W1 X1 Y1 Z1 F2 G2 J2 K2 N2 O2 P2 R2 S2 T2 W2 X2 Y2 B3 C3 D3 E3","N1 O1 P1 Q1 T1 U1 V1 W1 Z1 A2 B2 C2 D2 E2 F2 G2 H2 I2 J2 K2 L2 M2 O2 P2 Q2 S2 U2 V2 W2 Z2 A3 B3 C3 D3","O1 S1 U1 Y1 A2 B2 C2 D2 E2 H2 L2 Q2 R2 T2 V2 Z2 A3","N1 O1 P1 Q1 S1 T1 U1 V1 Z1 A2 B2 C2 D2 E2 H2 I2 J2 K2 L2 M2 O2 Q2 S2 U2 V2 W2 Z2 A3 B3 C3 D3","","N1 P1 R1 S1 T1 W1 X1 Y1 F2 G2 J2 N2 O2 P2 R2 S2 T2 W2 X2 Y2 B3 D3 E3","S1 Y1 A2 B2 C2 L2 Q2 R2 T2 V2","O1 S1 U1 V1 Z1 A2 B2 C2 D2 E2 H2 I2 J2 K2 L2 M2 Q2 U2 V2 Z2 A3 B3 C3","S1 A2 B2 C2 D2 E2 L2 Q2 V2 A3","N1 P1 R1 S1 T1 W1 X1 Y1 F2 G2 J2 N2 P2 R2 S2 T2 X2 E3","N1 P1 R1 S1 T1 W1 X1 Y1 F2 G2 J2 N2 P2 R2 S2 T2 X2 Y2 E3","P1 S1 X1 Y1 A2 B2 C2 G2 L2 Q2 R2 T2 V2 X2","P1 S1 W1 X1 Y1 A2 B2 C2 G2 L2 Q2 R2 T2 X2","S1 Y1 A2 B2 C2 E2 L2 Q2 R2 T2 V2",""
