"Please ensure:    ","","","","","","","",""
"All attributes/fields (Age Band, Region, LA, LAD, & PCON) are included at all times in the PivotTable tool or the filters (i.e. they are all ticked in the PivotTable fields pane).","","","","","","","",""
"All the attributes/fields must have 'ALL Total' selected (unless specifically filtering on a particular subset of an attribute/field).","","","","","","","",""
"None of the attributes must have '(All)' selected, unless in the main body of the table itself.","","","","","","","",""
"Measures are provided for Participation and Achievements for all English and maths, English, Maths and ESOL by Entry Level , Level 1 or Level 2. The measure type is pre-fixed by the following letters (P) - Participation and (A) - Achievements","","","","","","","",""
"Never use the Grand Totals or Subtotals automatically generated by Excel PivotTables as these will double count.","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","Key numbers to match to","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","Values","201819","","","","","",""
"","Sum of Participation - English and maths","  573,480 ","","","","","",""
"","Sum of Participation - English","  360,270 ","","","","","",""
"","Sum of Participation - Maths","  364,000 ","","","","","",""
"","Sum of Participation - ESOL","  120,490 ","","","","","",""
"","Sum of Achievement - English and maths","  363,830 ","","","","","",""
"","Sum of Achievement - English","  183,060 ","","","","","",""
"","Sum of Achievement - Maths","  186,930 ","","","","","",""
"","Sum of Achievement - ESOL","  106,170 ","","","","","",""
"","","","","","","","",""
"","Please see the 'How to use a Pivot Table' guide for further explanation.","","","","","","",""
