"Please ensure:    ","","","","",""
"All attributes/fields (Age Band, Region, LA, LAD, & PCON) are included at all times in the PivotTable tool or the filters (i.e. they are all ticked in the PivotTable fields pane).","","","","",""
"All the attributes/fields must have 'Total' selected (unless specifically filtering on a particular subset of an attribute/field).","","","","",""
"None of the attributes must have '(All)' selected, unless in the main body of the table itself.","","","","",""
"Measures are provided for Participation and Achievements for all English and maths, English, Maths and ESOL by Entry Level , Level 1 or Level 2. The measure type is pre-fixed by the following letters (P) - Participation and (A) - Achievements","","","","",""
"Never use the Grand Totals or Subtotals automatically generated by Excel PivotTables as these will double count.","","","","",""
"","","","","",""
"","Key numbers to match to","","","",""
"","","","","",""
"","","201415","201516","201617","201718"
"","Sum of Participation - English and maths","  1,344,570 ","  1,224,210 ","  1,156,780 ","  1,046,240 "
"","Sum of Participation - English","  1,013,900 ","  897,040 ","  819,820 ","  714,760 "
"","Sum of Participation - Maths","  972,360 ","  893,980 ","  848,120 ","  751,560 "
"","Sum of Participation - ESOL","  140,700 ","  121,050 ","  125,700 ","  125,990 "
"","Sum of Achievement -English and maths","  816,430 ","  726,180 ","  694,970 ","  685,300 "
"","Sum of Achievement - English","  518,800 ","  445,900 ","  411,670 ","  405,010 "
"","Sum of Achievement - Maths","  479,990 ","  438,100 ","  426,210 ","  427,640 "
"","Sum of Achievement - ESOL","  117,380 ","  102,210 ","  107,610 ","  110,130 "
"","","","","",""
"","Please see the 'How to use a Pivot Table' guide for further explanation.","","","",""
"","","","","",""
"","Academic Years from 2014/15 to 2017/18","","","",""
