"","Participation","","","","","","","Achievement","","","","","","",""
"All Ages","General FE College incl Tertiary","Sixth form college","Special colleges","Other Public Funded","Schools","Private Sector Public Funded","Total","General FE College incl Tertiary","Sixth form college","Special colleges","Other Public Funded","Schools","Private Sector Public Funded","Total",""
"of which EnglishR","482,570","20,300","17,460","106,730","540","323,490","951,100","309,460","15,010","11,900","77,020","380","157,140","570,900",""
"of which mathsR","402,680","23,540","15,180","84,650","580","346,230","872,800","257,910","17,230","10,010","58,880","420","170,890","515,300",""
"of which ESOL (English for Speakers of Other Languages)R","125,410","3,230","6,250","44,180","120","13,260","192,400","91,770","2,120","5,210","33,680","90","5,950","138,800",""
"Total Learners","753,390","37,070","29,260","186,590","990","423,320","1,430,600","529,250","28,770","21,820","140,570","740","231,280","952,400",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
