"","Unemployment rates of tertiary-educated adults, by field of study, tertiary educational attainment, age group and gender","","","","","","","","","","","",""
"","Age: From 25 to 64 years","","","","","","","","","","","",""
"","Educational attainment level: Tertiary education","","","","","","","","","","","",""
"","Measure: Unemployment rate","","","","","","","","","","","",""
"","Education status: In education or not in education","","","","","","","","","","","",""
"","Statistical operation: Observed","","","","","","","","","","","",""
"","Frequency of observation: Triennial","","","","","","","","","","","",""
"","Combined unit of measure: Percentage of labour force in the same subgroup","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","Field of education","","Education (broad field level)","Arts and humanities","Social sciences, journalism and information","Business, administration and law","Natural sciences, mathematics and statistics","Information and Communication Technologies (ICTs) (broad field level)","Engineering, manufacturing and construction","Agriculture, forestry, fisheries and veterinary","Health and welfare (broad field level)","Services (broad field level)",""
"","Reference area","","","","","","","","","","","",""
"","Time period: 2021","","","","","","","","","","","",""
"","Labour force status: Population > Labour force > Unemployment","","","","","","","","","","","",""
"","Australia","","1.6","5.0","3.1","3.7","4.4","3.7","2.7","O ..","2.0","2.4",""
"","Austria","","2.8","5.6","6.1","4.2","4.4","3.8","3.2","4.3","2.6","3.4",""
"","Belgium","","0.5","4.8","4.2","3.3","2.1","3.8","3.2","C ..","1.6","6.2",""
"","Costa Rica","","7.7","C ..","12.2","8.0","C ..","3.9","8.7","C ..","7.4","25.8",""
"","Czechia","","0.6","2.2","2.0","1.2","2.5","0.3","1.3","1.6","0.5","2.4",""
"","Denmark","","3.1","10.8","3.9","4.4","9.1","6.8","4.7","2.7","2.8","7.1",""
"","Estonia","","3.4","4.5","1.7","3.6","3.2","C ..","4.4","6.5","1.9","O ..",""
"","Finland","","3.2","8.2","6.2","5.6","4.8","3.7","4.3","2.9","1.6","4.1",""
"","France","","1.9","7.8","6.6","5.5","4.0","4.3","3.6","4.4","2.0","6.4",""
"","Germany","","1.4","4.2","3.4","2.1","3.2","2.2","2.2","2.2","1.9","2.4",""
"","Greece","","11.8","17.7","8.7","12.2","11.5","10.8","5.4","11.0","7.7","8.7",""
"","Hungary","","1.2","3.2","1.8","1.3","2.7","1.8","1.1","1.5","0.4","2.4",""
"","Italy","","4.5","7.4","6.5","5.0","4.9","U   2.4","2.6","5.3","1.9","9.0",""
"","Latvia","","3.3","7.0","6.5","5.4","C ..","O ..","6.1","C ..","C ..","C ..",""
"","Lithuania","","3.6","4.6","3.1","4.8","3.6","3.2","4.1","4.8","2.8","6.0",""
"","Mexico","","1.9","5.1","5.7","4.4","4.7","4.1","6.1","3.4","2.7","5.1",""
"","Netherlands","","2.1","3.2","2.9","3.2","3.6","1.5","2.7","0.9","1.7","2.0",""
"","Norway","","1.7","4.9","3.1","2.8","4.3","2.9","2.1","C ..","0.6","1.9",""
"","Poland","","1.3","C ..","2.1","2.0","C ..","C ..","C ..","C ..","C ..","C ..",""
"","Portugal","","1.5","9.3","1.7","4.6","C ..","C ..","3.4","C ..","2.9","8.2",""
"","Slovak Republic","","1.9","8.4","2.5","3.1","C ..","C ..","2.0","C ..","3.1","4.3",""
"","Slovenia","","1.9","7.2","3.0","3.8","4.8","1.7","2.6","6.1","1.9","5.4",""
"","Spain","","8.6","11.5","10.3","9.4","8.4","7.0","7.1","12.4","5.5","13.3",""
"","Switzerland","","1.8","5.0","5.1","4.7","3.5","2.8","2.6","1.2","1.8","4.9",""
"","United Kingdom","","3.1","4.0","C ..","3.2","C ..","4.2","2.1","C ..","2.2","2.8",""
"","OECD","","O ..","O ..","O ..","O ..","O ..","O ..","O ..","O ..","O ..","O ..",""
"","Time period: 2017","","","","","","","","","","","",""
"","Labour force status: Population > Labour force > Unemployment","","","","","","","","","","","",""
"","Chile","","4.6","6.4","5.3","5.3","9.1","4.3","5.4","6.0","6.1","8.0",""
"","United States","","1.6","3.4","3.0","2.7","2.5","2.9","2.5","1.8","1.7","2.7",""
"","","","","","","","","","","","","",""
"","© Terms & conditions ","","","","","","","","","","","","Unemployment rates of tertiary-educated adults, by field of study, tertiary educational attainment, age group and gender"
