"DBN","School Name","Environment Score","Environment Grade","Academic Expectations","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Communications","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Engagement","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Safety and Respect","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range"
"01M458","Forsyth Satellite Academy","11.2","A","8.4","7.0","9.0","70.0%","6.9","9.1","68.2%","8.0","5.8","8.2","91.7%","5.9","8.3","87.5%","8.0","6.0","8.6","76.9%","6.1","8.7","73.1%","8.2","6.8","9.0","63.6%","6.9","9.1","59.1%"
"01M515","Lower East Side Preparatory High School","4.9","F","7.3","7.0","9.0","15.0%","6.9","9.1","18.2%","6.6","5.9","8.3","29.2%","5.9","8.3","29.2%","7.1","6.0","8.6","42.3%","6.1","8.7","38.5%","7.9","7.0","9.0","45.0%","6.9","9.1","45.5%"
"01M650","Cascades High School","9.7","B","8.4","7.1","8.9","72.2%","6.9","9.1","68.2%","7.4","5.9","8.1","68.2%","5.9","8.3","62.5%","8.0","6.0","8.6","76.9%","6.1","8.7","73.1%","7.9","7.1","8.9","44.4%","6.9","9.1","45.5%"
"02M313","James Baldwin School, The: A School for Expeditionary Learning","7.1","C","7.8","7.1","8.9","38.9%","6.9","9.1","40.9%","6.8","5.9","8.1","40.9%","5.9","8.3","37.5%","7.7","6.0","8.6","65.4%","6.1","8.7","61.5%","7.9","7.1","8.9","44.4%","6.9","9.1","45.5%"
"02M394","EMMA LAZARUS HIGH SCHOOL",".",".","9.1","7.1","8.9","100.0%","6.9","9.1","100.0%","8.2","5.9","8.1","100.0%","5.9","8.3","95.8%","8.7","6.0","8.6","100.0%","6.1","8.7","100.0%","9.4","7.1","8.9","100.0%","6.9","9.1","100.0%"
"02M432","MURRAY HILL ACADEMY",".",".","8.1","7.1","8.9","55.6%","6.9","9.1","54.5%","7.6","5.9","8.3","70.8%","5.9","8.3","70.8%","7.8","6.0","8.6","69.2%","6.1","8.7","65.4%","8.0","7.0","9.0","50.0%","6.9","9.1","50.0%"
"02M544","Independence High School","6.9","C","7.5","7.0","9.0","25.0%","6.9","9.1","27.3%","6.8","5.8","8.2","41.7%","5.9","8.3","37.5%","7.6","6.0","8.6","61.5%","6.1","8.7","57.7%","8.1","6.8","9.0","59.1%","6.9","9.1","54.5%"
"02M550","Liberty High School Academy for Newcomers","4.2","F","7.4","7.0","9.0","20.0%","6.9","9.1","22.7%","6.2","5.9","8.3","12.5%","5.9","8.3","12.5%","6.9","6.0","8.6","34.6%","6.1","8.7","30.8%","7.9","7.0","9.0","45.0%","6.9","9.1","45.5%"
"02M560","High School M560 - City As School","9.0","B","8.0","7.0","8.8","55.6%","6.9","9.1","50.0%","7.1","5.9","8.1","54.5%","5.9","8.3","50.0%","7.8","6.0","8.6","69.2%","6.1","8.7","65.4%","8.3","7.0","9.0","65.0%","6.9","9.1","63.6%"
"02M565","Urban Academy Laboratory High School","14.7","A","9.3","6.9","9.1","100.0%","6.9","9.1","100.0%","8.3","5.7","8.3","100.0%","5.9","8.3","100.0%","8.8","5.8","8.8","100.0%","6.1","8.7","100.0%","9.0","7.0","9.2","90.9%","6.9","9.1","95.5%"
"02M570","Satellite Academy High School","13.2","A","8.7","7.0","9.0","85.0%","6.9","9.1","81.8%","8.0","5.9","8.3","87.5%","5.9","8.3","87.5%","8.5","6.2","8.6","95.8%","6.1","8.7","92.3%","8.7","6.8","9.0","86.4%","6.9","9.1","81.8%"
"02M575","Manhattan Comprehensive Night and Day High School","10.4","A","8.2","7.0","9.0","60.0%","6.9","9.1","59.1%","7.4","5.9","8.3","62.5%","5.9","8.3","62.5%","8.0","6.0","8.6","76.9%","6.1","8.7","73.1%","8.6","7.0","9.0","80.0%","6.9","9.1","77.3%"
"02M586","Harvey Milk High School","5.3","F","7.4","7.0","9.0","20.0%","6.9","9.1","22.7%","7.2","5.8","8.2","58.3%","5.9","8.3","54.2%","7.0","6.0","8.6","38.5%","6.1","8.7","34.6%","7.4","6.9","8.9","25.0%","6.9","9.1","22.7%"
"02M605","Humanities Preparatory Academy","4.9","F","7.5","6.9","9.1","27.3%","6.9","9.1","27.3%","6.4","5.7","8.3","26.9%","5.9","8.3","20.8%","7.2","5.8","8.8","46.7%","6.1","8.7","42.3%","7.7","7.0","9.2","31.8%","6.9","9.1","36.4%"
"03M404","INNOVATION DIPLOMA PLUS","6.7","D","7.7","7.0","9.0","35.0%","6.9","9.1","36.4%","7.1","5.8","8.2","54.2%","5.9","8.3","50.0%","7.3","6.0","8.6","50.0%","6.1","8.7","46.2%","7.7","6.8","9.0","40.9%","6.9","9.1","36.4%"
"03M505","Edward A. Reynolds West Side High School","6.5","D","7.7","7.1","8.9","33.3%","6.9","9.1","36.4%","6.7","5.9","8.1","36.4%","5.9","8.3","33.3%","7.5","6.3","8.5","54.5%","6.1","8.7","53.8%","7.9","6.8","9.0","50.0%","6.9","9.1","45.5%"
"05M285","Harlem Renaissance High School","7.3","C","7.8","7.1","8.9","38.9%","6.9","9.1","40.9%","7.1","5.9","8.1","54.5%","5.9","8.3","50.0%","7.6","6.3","8.5","59.1%","6.1","8.7","57.7%","7.8","6.8","9.0","45.5%","6.9","9.1","40.9%"
