"State","Schools Reporting","Mathematics  Courses","","","","Number of Schools","Percent of Schools Reporting ","","","","","","","","","","","","","",""
"","","Geometry","","Algebra I","","","","","","","","","","","","","","","","",""
"","","Number","Percent ","Number","Percent ","","","","","","","","","","","","","","","",""
"United States","30,650 ","5,372 ","17.5 ","18,258 ","59.6 ","30,651 ","100.0 ","","","","","","","","","","","","","",""
"Alabama","497 ","21 ","4.2 ","294 ","59.2 ","497 ","100.0 ","","","","","","","","","","","","","",""
"Alaska","296 ","41 ","13.9 ","142 ","48.0 ","296 ","100.0 ","","","","","","","","","","","","","",""
"Arizona","811 ","138 ","17.0 ","390 ","48.1 ","811 ","100.0 ","","","","","","","","","","","","","",""
"Arkansas","338 ","18 ","5.3 ","197 ","58.3 ","338 ","100.0 ","","","","","","","","","","","","","",""
"California","3,150 ","411 ","13.0 ","1,355 ","43.0 ","3,150 ","100.0 ","","","","","","","","","","","","","",""
"Colorado","605 ","192 ","31.7 ","406 ","67.1 ","605 ","100.0 ","","","","","","","","","","","","","",""
"Connecticut","342 ","68 ","19.9 ","229 ","67.0 ","342 ","100.0 ","","","","","","","","","","","","","",""
"Delaware","77 ","17 ","22.1 ","45 ","58.4 ","77 ","100.0 ","","","","","","","","","","","","","",""
"District of Columbia","74 ","6 ","8.1 ","33 ","44.6 ","74 ","100.0 ","","","","","","","","","","","","","",""
"Florida","1,385 ","633 ","45.7 ","1,012 ","73.1 ","1,385 ","100.0 ","","","","","","","","","","","","","",""
"Georgia","679 ","42 ","6.2 ","387 ","57.0 ","679 ","100.0 ","","","","","","","","","","","","","",""
"Hawaii","84 ","10 ","11.9 ","57 ","67.9 ","84 ","100.0 ","","","","","","","","","","","","","",""
"Idaho","220 ","41 ","18.6 ","133 ","60.5 ","220 ","100.0 ","","","","","","","","","","","","","",""
"Illinois","1,537 ","181 ","11.8 ","864 ","56.2 ","1,537 ","100.0 ","","","","","","","","","","","","","",""
"Indiana","518 ","138 ","26.6 ","426 ","82.2 ","518 ","100.0 ","","","","","","","","","","","","","",""
"Iowa","394 ","65 ","16.5 ","301 ","76.4 ","394 ","100.0 ","","","","","","","","","","","","","",""
"Kansas","417 ","80 ","19.2 ","263 ","63.1 ","417 ","100.0 ","","","","","","","","","","","","","",""
"Kentucky","441 ","94 ","21.3 ","235 ","53.3 ","441 ","100.0 ","","","","","","","","","","","","","",""
"Louisiana","557 ","24 ","4.3 ","223 ","40.0 ","557 ","100.0 ","","","","","","","","","","","","","",""
"Maine","205 ","47 ","22.9 ","136 ","66.3 ","205 ","100.0 ","","","","","","","","","","","","","",""
"Maryland","404 ","136 ","33.7 ","252 ","62.4 ","404 ","100.0 ","","","","","","","","","","","","","",""
"Massachusetts","520 ","38 ","7.3 ","316 ","60.8 ","521 ","99.8 ","","","","","","","","","","","","","",""
"Michigan","1,191 ","229 ","19.2 ","707 ","59.4 ","1,191 ","100.0 ","","","","","","","","","","","","","",""
"Minnesota","716 ","174 ","24.3 ","492 ","68.7 ","716 ","100.0 ","","","","","","","","","","","","","",""
"Mississippi","337 ","2 ","0.6 ","83 ","24.6 ","337 ","100.0 ","","","","","","","","","","","","","",""
"Missouri","783 ","62 ","7.9 ","448 ","57.2 ","783 ","100.0 ","","","","","","","","","","","","","",""
"Montana","308 ","21 ","6.8 ","142 ","46.1 ","308 ","100.0 ","","","","","","","","","","","","","",""
"Nebraska","323 ","43 ","13.3 ","225 ","69.7 ","323 ","100.0 ","","","","","","","","","","","","","",""
"Nevada","177 ","33 ","18.6 ","125 ","70.6 ","177 ","100.0 ","","","","","","","","","","","","","",""
"New Hampshire","148 ","15 ","10.1 ","92 ","62.2 ","148 ","100.0 ","","","","","","","","","","","","","",""
"New Jersey","815 ","143 ","17.5 ","593 ","72.8 ","815 ","100.0 ","","","","","","","","","","","","","",""
"New Mexico","254 ","47 ","18.5 ","143 ","56.3 ","254 ","100.0 ","","","","","","","","","","","","","",""
"New York","1,661 ","84 ","5.1 ","1,029 ","62.0 ","1,661 ","100.0 ","","","","","","","","","","","","","",""
"North Carolina","777 ","151 ","19.4 ","557 ","71.7 ","777 ","100.0 ","","","","","","","","","","","","","",""
"North Dakota","193 ","11 ","5.7 ","85 ","44.0 ","193 ","100.0 ","","","","","","","","","","","","","",""
"Ohio","1,169 ","221 ","18.9 ","735 ","62.9 ","1,169 ","100.0 ","","","","","","","","","","","","","",""
"Oklahoma","610 ","59 ","9.7 ","347 ","56.9 ","610 ","100.0 ","","","","","","","","","","","","","",""
"Oregon","469 ","121 ","25.8 ","275 ","58.6 ","469 ","100.0 ","","","","","","","","","","","","","",""
"Pennsylvania","946 ","213 ","22.5 ","652 ","68.9 ","946 ","100.0 ","","","","","","","","","","","","","",""
"Rhode Island","67 ","4 ","6.0 ","45 ","67.2 ","67 ","100.0 ","","","","","","","","","","","","","",""
"South Carolina","347 ","91 ","26.2 ","299 ","86.2 ","347 ","100.0 ","","","","","","","","","","","","","",""
"South Dakota","270 ","7 ","2.6 ","82 ","30.4 ","270 ","100.0 ","","","","","","","","","","","","","",""
"Tennessee","605 ","34 ","5.6 ","252 ","41.7 ","605 ","100.0 ","","","","","","","","","","","","","",""
"Texas","2,386 ","398 ","16.7 ","1,577 ","66.1 ","2,386 ","100.0 ","","","","","","","","","","","","","",""
"Utah","284 ","44 ","15.5 ","143 ","50.4 ","284 ","100.0 ","","","","","","","","","","","","","",""
"Vermont","124 ","10 ","8.1 ","72 ","58.1 ","124 ","100.0 ","","","","","","","","","","","","","",""
"Virginia","502 ","274 ","54.6 ","408 ","81.3 ","502 ","100.0 ","","","","","","","","","","","","","",""
"Washington","657 ","264 ","40.2 ","413 ","62.9 ","657 ","100.0 ","","","","","","","","","","","","","",""
"West Virginia","204 ","5 ","2.5 ","57 ","27.9 ","204 ","100.0 ","","","","","","","","","","","","","",""
"Wisconsin","683 ","157 ","23.0 ","428 ","62.7 ","683 ","100.0 ","","","","","","","","","","","","","",""
"Wyoming","93 ","14 ","15.1 ","56 ","60.2 ","93 ","100.0 ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"NOTE: Table reads (for US Totals):  Of all 30,650 public schools with grades 7 and 8, 18,258 (59.6%) offered Algebra I classes.","","","","","","","","","","","","","","","","","","","","",""
"            Data reported in this table represent 100.0% of responding schools.","","","","","","","","","","","","","","","","","","","","",""
"SOURCE: U.S. Department of Education, Office for Civil Rights, Civil Rights Data Collection, 2013-14, available at http://ocrdata.ed.gov. Data notes are available at https://ocrdata.ed.gov/Downloads/Data-Notes-2015-16-CRDC.pdf.","","","","","","","","","","","","","","","","","","","","",""
