"WP ID","Teaching Group","Condition","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","TOTAL"
"92","4","CAI","1","4","2","0","4","2","0","3","-1","3","4","3","1","1","3","4","2","3","0","0","0","2","3","2","46"
"93","4","CAI","2","2","2","2","2","2","2","2","2","2","2","2","2","0","0","2","2","0","2","2","0","2","0","-2","34"
"94","4","CAI","2","3","1","2","3","2","3","2","1","2","3","3","2","2","2","0","2","2","2","2","-1","2","4","2","48"
"95","4","CAI","0","2","0","0","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","2","38"
"96","4","CAI","-1","2","1","2","4","-1","4","3","1","3","1","2","3","1","0","-1","2","0","3","4","0","2","1","1","37"
"97","4","CAI","0","3","2","3","4","0","3","2","2","1","3","1","3","2","2","0","3","3","1","0","2","3","3","2","48"
"98","4","CAI","0","2","0","1","3","2","3","1","-1","2","3","1","1","-1","1","0","1","2","2","0","1","-1","1","1","25"
"99","4","CAI","4","3","3","3","4","0","4","1","3","2","4","4","2","2","3","4","3","2","4","4","3","4","4","3","73"
"100","4","CAI","-1","3","2","5","4","3","3","-1","1","4","2","4","3","1","2","3","3","3","4","4","0","2","3","0","57"
"101","4","CAI","2","0","0","2","2","2","0","0","2","2","2","0","0","-2","0","0","0","0","0","0","-2","0","0","2","12"
"103","2","CAI","2","2","1","3","4","-1","1","3","0","1","2","-2","1","1","1","2","1","2","0","3","2","2","-1","3","33"
"104","2","CAI","0","4","2","2","4","1","2","2","3","2","2","3","2","2","0","1","3","0","0","0","2","0","3","2","42"
"105","2","CAI","0","0","0","0","2","0","0","0","0","2","2","1","1","2","2","1","2","2","2","-3","1","2","2","-1","20"
"107","2","CAI","0","1","1","1","1","-1","-1","0","1","-1","1","1","1","1","1","1","-1","1","1","-1","0","-1","0","1","8"
"108","2","CAI","1","1","1","1","1","-1","1","-1","-1","1","1","1","-1","1","1","-1","1","1","-1","0","-1","-1","1","1","7"
"130","1","Trad","1","3","1","-1","3","0","3","2","1","2","2","1","1","1","2","2","2","0","3","0","0","2","1","0","32"
"132","1","Trad","0","-1","0","3","4","0","2","3","0","3","1","3","1","0","2","4","4","2","3","0","0","1","0","4","39"
"133","1","Trad","1","2","0","0","2","2","0","0","2","2","0","2","2","2","2","2","2","2","2","0","2","2","2","0","33"
"135","1","Trad","3","0","2","4","4","-1","4","3","-2","-1","3","0","3","1","4","1","1","3","1","0","0","2","0","0","35"
"136","1","Trad","2","2","2","2","2","2","2","2","2","2","2","0","2","2","2","-1","2","2","2","0","2","2","2","0","39"
