"WP ID","Class","Method","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","TOTAL"
"92","4","CAI","0","4","3","0","3","0","0","3","4","3","3","3","0","0","1","4","2","4","0","0","0","4","2","3","46"
"93","4","CAI","2","2","1","3","4","1","2","3","2","1","2","1","3","2","1","1","0","3","2","2","2","1","3","2","46"
"94","4","CAI","0","3","3","4","4","2","4","3","4","3","3","4","4","4","3","3","3","4","3","3","3","4","4","4","79"
"95","4","CAI","0","2","1","3","4","2","4","2","-3","2","3","2","3","2","0","3","1","3","4","2","3","0","1","2","46"
"96","4","CAI","3","3","2","3","4","1","3","3","2","3","4","3","3","1","3","1","2","3","3","3","2","2","3","3","63"
"97","4","CAI","2","3","3","2","4","3","0","3","-2","3","3","1","3","2","0","3","3","2","3","2","2","3","2","-1","49"
"98","4","CAI","0","4","2","2","4","1","-2","2","1","2","1","2","0","1","-1","0","3","2","-1","-1","0","0","1","3","26"
"99","4","CAI","3","3","2","4","4","0","2","2","4","3","2","4","4","3","3","3","3","4","3","4","3","3","3","4","73"
"100","4","CAI","2","3","2","5","4","1","2","3","3","4","3","4","3","2","1","3","3","3","4","3","3","4","3","1","69"
"101","4","CAI","1","2","2","2","3","2","3","2","2","2","-2","2","3","3","2","0","2","2","2","2","2","2","0","2","43"
"103","2","CAI","-1","2","1","4","4","1","2","3","4","2","1","3","3","3","0","1","2","3","3","-1","1","1","2","4","48"
"104","2","CAI","0","3","3","0","4","0","0","2","1","2","1","4","3","2","2","2","2","1","2","-1","-1","1","3","3","39"
"105","2","CAI","0","1","2","3","4","2","3","3","2","1","3","1","2","3","1","3","2","2","2","-2","2","2","4","2","48"
"107","2","CAI","1","0","1","1","3","0","0","1","0","-1","-1","0","-2","2","1","1","0","2","2","1","1","3","-1","2","17"
"130","1","Trad","3","3","2","2","4","2","4","3","2","2","3","1","3","2","2","4","2","4","2","0","2","2","2","0","56"
"132","1","Trad","3","4","1","5","4","0","1","3","2","2","1","2","0","3","3","1","2","3","3","3","2","2","3","4","57"
"133","1","Trad","1","1","1","3","4","2","4","2","3","2","2","2","3","4","3","3","2","3","2","3","2","3","3","3","61"
"135","1","Trad","4","4","2","4","4","1","0","4","3","2","3","0","3","2","3","2","2","3","0","4","4","4","4","0","62"
"136","1","Trad","3","4","3","4","4","3","4","3","2","3","4","4","3","4","4","4","4","4","4","4","3","4","4","3","86"
"137","1","Trad","1","2","2","2","3","-1","3","1","0","2","1","1","3","3","0","0","2","3","1","0","0","2","1","0","32"
"138","1","Trad","3","4","1","3","4","1","4","3","3","3","4","1","4","3","3","4","3","4","3","4","4","3","3","4","76"
"140","3","Trad","0","3","3","2","4","2","2","0","-2","3","0","1","2","2","0","2","2","3","4","3","2","-1","0","2","39"
"141","3","Trad","-1","2","2","0","4","2","2","2","3","4","1","3","3","4","4","0","2","3","2","2","0","3","2","4","53"
"142","3","Trad","3","3","1","4","4","3","4","2","3","3","3","3","3","2","3","2","4","2","3","4","2","4","3","3","71"
"143","3","Trad","0","3","1","4","4","1","4","2","3","2","4","1","3","2","4","3","2","3","4","3","2","2","4","2","63"
"144","3","Trad","0","2","0","2","4","2","4","4","-2","4","2","0","0","0","4","2","2","4","4","4","2","0","2","2","48"
"147","3","Trad","-1","3","3","3","4","1","2","2","3","4","1","4","3","2","4","4","2","3","4","4","2","3","4","4","68"
"148","5","Trad","1","3","3","3","4","2","4","3","3","4","3","4","2","0","4","2","3","4","3","-1","3","1","3","1","62"
"149","5","Trad","3","2","3","1","2","2","3","3","3","2","3","1","3","3","2","0","3","4","2","2","2","2","4","3","58"
"150","5","Trad","2","0","2","2","4","2","2","1","-2","1","2","2","3","2","2","3","2","3","2","2","1","-2","1","3","40"
"151","5","Trad","0","1","1","0","4","0","1","0","0","2","2","0","0","0","3","0","1","0","1","0","0","2","0","0","18"
"152","5","Trad","2","2","1","5","4","1","3","2","2","4","4","2","3","3","2","4","2","4","3","2","3","3","3","3","67"
"154","5","Trad","0","3","1","4","4","3","4","3","4","3","4","4","3","1","4","4","2","3","4","2","1","3","4","3","71"
"","","AVG","1.2121212121212","2.5454545454545","1.8484848484848","2.6969696969697","3.8181818181818","1.3636363636364","2.3636363636364","2.3636363636364","1.7272727272727","2.4848484848485","2.2121212121212","2.1212121212121","2.3939393939394","2.1818181818182","2.1515151515152","2.1818181818182","2.1818181818182","2.969696969697","2.5151515151515","1.8787878787879","1.8181818181818","2.1212121212121","2.4242424242424","2.3636363636364",""
"","","CAI","0.92857142857143","2.5","2","2.5714285714286","3.7857142857143","1.1428571428571","1.6428571428571","2.5","1.7142857142857","2.1428571428571","1.8571428571429","2.4285714285714","2.2857142857143","2.1428571428571","1.2142857142857","2","2","2.7142857142857","2.2857142857143","1.2142857142857","1.6428571428571","2.1428571428571","2.1428571428571","2.4285714285714",""
"","","Trad","1.4210526315789","2.5789473684211","1.7368421052632","2.7894736842105","3.8421052631579","1.5263157894737","2.8947368421053","2.2631578947368","1.7368421052632","2.7368421052632","2.4736842105263","1.8947368421053","2.4736842105263","2.2105263157895","2.8421052631579","2.3157894736842","2.3157894736842","3.1578947368421","2.6842105263158","2.3684210526316","1.9473684210526","2.1052631578947","2.6315789473684","2.3157894736842",""
